capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,"Si $f(x) = 2^x$, ¿cuánto vale $f(3)$?",$6$,$8$,$9$,$16$,B,$f(3) = 2^3 = 8$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,"Para cualquier función exponencial $f(x) = a^x$ con $a > 0$ y $a \neq 1$, ¿cuánto vale $f(0)$?",$0$,$a$,$-1$,$1$,D,$f(0) = a^0 = 1$ para todo $a > 0$ con $a \neq 1$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,¿Cuál es el rango de la función $f(x) = 3^x$?,"$(0, +\infty)$",$\mathbb{R}$,"$[0, +\infty)$","$[1, +\infty)$",A,"$3^x > 0$ para todo $x \in \mathbb{R}$, y la función toma todos los valores positivos sin alcanzar el cero."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,¿Cuál es la asíntota horizontal de $f(x) = 5^x$?,$y = 1$,$y = 5$,$y = 0$,$x = 0$,C,"Cuando $x \to -\infty$, $5^x \to 0$, por lo que la recta $y = 0$ es la asíntota horizontal."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,"Si $f(x) = 4^x$, ¿cuánto vale $f\left(\frac{1}{2}\right)$?",$2$,$4$,$8$,$\frac{1}{2}$,A,$f\left(\frac{1}{2}\right) = 4^{1/2} = \sqrt{4} = 2$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,facil,¿Cuál de las siguientes funciones es exponencial decreciente?,$f(x) = 3^x$,$f(x) = e^x$,$f(x) = \left(\frac{1}{2}\right)^x$,$f(x) = 10^x$,C,"Una función exponencial $f(x) = a^x$ es decreciente cuando $0 < a < 1$. Como $0 < \frac{1}{2} < 1$, la función $f(x) = \left(\frac{1}{2}\right)^x$ es decreciente."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,La función $g(x) = 2^x + 1$ tiene como asíntota horizontal la recta:,$y = 0$,$y = 1$,$y = 2$,$y = -1$,B,"La gráfica de $g(x) = 2^x + 1$ es una traslación de $f(x) = 2^x$ una unidad hacia arriba, por lo que la asíntota pasa de $y = 0$ a $y = 1$."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,"Si $k(x) = 2^{x-1}$, ¿cuánto vale $k(3)$?",$2$,$8$,$6$,$4$,D,$k(3) = 2^{3-1} = 2^2 = 4$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,"Si $f(x) = \left(\frac{1}{3}\right)^x$, ¿cuánto vale $f(-2)$?",$\frac{1}{9}$,$-9$,$9$,$3$,C,$f(-2) = \left(\frac{1}{3}\right)^{-2} = 3^2 = 9$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,Se invierte un capital de 1000 a una tasa de interés del 10% anual con capitalización anual. ¿Cuál es el monto acumulado después de 2 años?,$1210$,$1200$,$1100$,$1331$,A,$A = 1000(1 + 0.10)^2 = 1000 \cdot 1.21 = 1210$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,El rango de la función $h(x) = -2^x$ es:,"$(0, +\infty)$",$\mathbb{R}$,"$(-\infty, 1)$","$(-\infty, 0)$",D,"Como $2^x > 0$ para todo $x$, entonces $-2^x < 0$ para todo $x$, y el rango es $(-\infty, 0)$."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,"Si $g(x) = 3 \cdot 2^x$, ¿cuánto vale $g(2)$?",$8$,$12$,$36$,$6$,B,$g(2) = 3 \cdot 2^2 = 3 \cdot 4 = 12$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,Se invierte un capital de 500 a una tasa del 8% anual con capitalización semestral. ¿Cuál es el monto después de 1 año?,$540.80$,$540.00$,$580.00$,$520.00$,A,$A = 500\left(1 + \frac{0.08}{2}\right)^{2} = 500(1.04)^2 = 500 \cdot 1.0816 = 540.80$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,medio,La gráfica de $g(x) = 2^{x-1}$ se obtiene a partir de $f(x) = 2^x$ mediante:,Una traslación de 1 unidad hacia arriba,Una reflexión respecto del eje $x$,Una traslación de 1 unidad hacia la izquierda,Una traslación de 1 unidad hacia la derecha,D,"Al restar 1 al exponente en $2^{x-1}$, la gráfica de $2^x$ se desplaza 1 unidad hacia la derecha."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,Se invierten 2000 a una tasa del 8% anual con capitalización trimestral durante 3 años. El monto acumulado es aproximadamente:,$2480.00$,$2536.48$,$2530.64$,$2600.00$,B,$A = 2000\left(1 + \frac{0.08}{4}\right)^{12} = 2000(1.02)^{12} \approx 2536.48$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,"Si se invierte un capital de 10000 al 12% anual, ¿cuál es la diferencia entre capitalizar mensualmente y capitalizar anualmente después de 1 año?",$100.00$,$120.00$,$68.25$,$200.00$,C,Capitalización anual: $10000 \cdot 1.12 = 11200$. Capitalización mensual: $10000(1.01)^{12} \approx 11268.25$. Diferencia: $11268.25 - 11200 = 68.25$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,"Si $g(x) = -2^{x+1} + 5$, ¿cuánto vale $g(1)$?",$3$,$9$,$-3$,$1$,D,$g(1) = -2^{1+1} + 5 = -2^2 + 5 = -4 + 5 = 1$.
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,"Si la función $f(x) = a^x$ pasa por el punto $(2, 9)$, ¿cuál es el valor de $a$?",$3$,$\frac{9}{2}$,$81$,$\sqrt{3}$,A,"Si $f(2) = a^2 = 9$, entonces $a = \sqrt{9} = 3$ (ya que $a > 0$)."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,"Si $f(x) = 2^x$ y $g(x) = 4^x$, ¿para qué valor de $x$ se cumple $f(x) + g(x) = 6$?",$0$,$1$,$2$,$-1$,B,"Sea $u = 2^x$. Entonces $u + u^2 = 6$, es decir, $u^2 + u - 6 = 0$. Factorizando: $(u+3)(u-2) = 0$. Como $2^x > 0$, se tiene $2^x = 2$, luego $x = 1$."
Funciones Exponenciales y Logarítmicas,Funciones exponenciales,dificil,La asíntota horizontal de $g(x) = 3 - 2 \cdot 5^{-x}$ es:,$y = -2$,$y = 5$,$y = 3$,$y = 0$,C,"Cuando $x \to +\infty$, $5^{-x} \to 0$, por lo que $g(x) \to 3 - 0 = 3$. La asíntota horizontal es $y = 3$."
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,¿Cuánto vale $\log_2 8$?,$2$,$4$,$3$,$8$,C,$\log_2 8 = 3$ porque $2^3 = 8$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,"¿Cuánto vale $\log_a 1$ para cualquier base $a > 0$, $a \neq 1$?",$0$,$1$,$a$,$-1$,A,$\log_a 1 = 0$ porque $a^0 = 1$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,El dominio de la función $f(x) = \log_2 x$ es:,$\mathbb{R}$,"$[0, +\infty)$","$(-\infty, 0)$","$(0, +\infty)$",D,"El logaritmo solo está definido para argumentos estrictamente positivos, por lo que el dominio es $(0, +\infty)$."
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,¿Cuánto vale $\log_{10} 100$?,$10$,$2$,$100$,$1$,B,$\log_{10} 100 = 2$ porque $10^2 = 100$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,¿Cuánto vale $\ln e$?,$e$,$1$,$0$,$2.71828$,B,$\ln e = \log_e e = 1$ porque $e^1 = e$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,facil,¿Cuál es la asíntota vertical de $f(x) = \log_3 x$?,$y = 0$,$x = 1$,$y = 3$,$x = 0$,D,"La gráfica de $f(x) = \log_3 x$ se acerca al eje $y$ (es decir, $x = 0$) cuando $x \to 0^+$, sin tocarlo."
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,medio,Simplifica $\log_2(8 \cdot 4)$.,$5$,$12$,$32$,$7$,A,Por propiedad del producto: $\log_2(8 \cdot 4) = \log_2 8 + \log_2 4 = 3 + 2 = 5$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,medio,Simplifica $\log_5(25^2)$.,$10$,$50$,$4$,$2$,C,"$\log_5(25^2) = 2\log_5 25 = 2 \cdot 2 = 4$, ya que $5^2 = 25$."
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,medio,¿Cuánto vale $\log_3\left(\frac{1}{9}\right)$?,$2$,$-2$,$-3$,$\frac{1}{2}$,B,$\log_3\left(\frac{1}{9}\right) = \log_3(3^{-2}) = -2$.
Funciones Exponenciales y Logarítmicas,Funciones logarítmicas,medio,La gráfica de $f(x) = \log_2 x$ pasa por el punto:,"$(0, 1)$","$(2, 0)$","$(1, 0)$","$(0, 2)$",C,"$f(1) = \log_2 1 = 0$, por lo que el punto $(1, 0)$ pertenece a la gráfica."
