capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Aplicaciones de la Integral,Áreas entre curvas,facil,"¿Cuál es la fórmula del área entre las curvas $y=f(x)$ y $y=g(x)$ en $[a,b]$ cuando $f(x)\geq g(x)$?","$\int_a^b (f(x)-g(x))\,dx$","$\int_a^b (f(x)+g(x))\,dx$","$\int_a^b (g(x)-f(x))\,dx$","$\int_a^b f(x)g(x)\,dx$",A,"Cuando la curva superior es $f$ y la inferior es $g$, el área es la integral de la diferencia $(f-g)$ en el intervalo."
Aplicaciones de la Integral,Áreas entre curvas,facil,Calcule el área entre $y=2x$ y el eje $x$ desde $x=0$ hasta $x=3$.,$3$,$9$,$6$,$12$,B,"$\int_0^3 2x\,dx = \bigl[x^2\bigr]_0^3 = 9$."
Aplicaciones de la Integral,Áreas entre curvas,facil,¿En qué puntos se intersectan las curvas $y=x^2$ y $y=x$?,$x=1$ únicamente,$x=-1$ y $x=1$,$x=0$ y $x=1$,$x=0$ únicamente,C,"Igualando $x^2=x$ se obtiene $x(x-1)=0$, es decir $x=0$ y $x=1$."
Aplicaciones de la Integral,Áreas entre curvas,facil,"En el intervalo $(0,1)$, ¿cuál función es mayor: $y=x$ o $y=x^2$?",$y=x^2$ es mayor,Son iguales,Depende del valor exacto de $x$,$y=x$ es mayor,D,"Para $0<x<1$, $x^2<x$ ya que multiplicar por $x<1$ reduce el valor."
Aplicaciones de la Integral,Áreas entre curvas,facil,"Si las curvas están dadas como $x=f(y)$ y $x=g(y)$ con $f(y)\geq g(y)$ en $[c,d]$, el área es:","$\int_c^d (f(y)-g(y))\,dy$","$\int_c^d (f(y)+g(y))\,dy$","$\int_c^d (f(y)-g(y))\,dx$",$(d-c)(f(y)-g(y))$,A,"Analogamente al caso respecto a $x$, se integra la diferencia en $dy$ desde $c$ hasta $d$."
Aplicaciones de la Integral,Áreas entre curvas,facil,Calcule el área entre $y=4$ y $y=x^2$ desde $x=-2$ hasta $x=2$.,$\dfrac{16}{3}$,$\dfrac{32}{3}$,$\dfrac{8}{3}$,$16$,B,"$\int_{-2}^{2}(4-x^2)\,dx = \left[4x-\dfrac{x^3}{3}\right]_{-2}^{2} = \dfrac{32}{3}$."
Aplicaciones de la Integral,Áreas entre curvas,medio,Calcule el área entre $y=x^2$ y $y=x$ desde $x=0$ hasta $x=2$.,$\dfrac{2}{3}$,$\dfrac{4}{3}$,$1$,$\dfrac{5}{3}$,C,"En $[0,1]$ $x\geq x^2$ y en $[1,2]$ $x^2\geq x$: $\int_0^1(x-x^2)dx + \int_1^2(x^2-x)dx = \dfrac{1}{6}+\dfrac{5}{6}=1$."
Aplicaciones de la Integral,Áreas entre curvas,medio,Calcule el área de la región encerrada entre $y=x+2$ y $y=x^2$.,$\dfrac{7}{2}$,$\dfrac{15}{2}$,$3$,$\dfrac{9}{2}$,D,"Intersecciones: $x^2=x+2 \Rightarrow x=-1, x=2$. En el intervalo la recta queda arriba: $\int_{-1}^{2}(x+2-x^2)dx=\dfrac{9}{2}$."
Aplicaciones de la Integral,Áreas entre curvas,medio,Calcule el área encerrada entre $y=\sqrt{x}$ y $y=x^2$ en el primer cuadrante.,$\dfrac{1}{3}$,$\dfrac{2}{3}$,$\dfrac{1}{6}$,$1$,A,"Las curvas se cortan en $x=0,1$. $\int_0^1(\sqrt{x}-x^2)dx = \dfrac{2}{3}-\dfrac{1}{3}=\dfrac{1}{3}$."
Aplicaciones de la Integral,Áreas entre curvas,medio,"Calcule el área entre $y=\sin(x)$ y $y=\cos(x)$ en $[0,\pi/4]$.",$\sqrt{2}+1$,$\sqrt{2}-1$,$1-\sqrt{2}$,$\sqrt{2}$,B,"En $[0,\pi/4]$, $\cos x\geq \sin x$. $\int_0^{\pi/4}(\cos x-\sin x)dx=[\sin x+\cos x]_0^{\pi/4}=\sqrt{2}-1$."
Aplicaciones de la Integral,Áreas entre curvas,medio,Calcule el área entre las curvas $x=y^2$ y $x=y+2$ desde $y=-1$ hasta $y=2$.,$\dfrac{7}{2}$,$3$,$\dfrac{9}{2}$,$\dfrac{15}{2}$,C,"En $[-1,2]$ la recta $x=y+2$ queda a la derecha de la parábola $x=y^2$. $\int_{-1}^{2}((y+2)-y^2)dy=\dfrac{9}{2}$."
Aplicaciones de la Integral,Áreas entre curvas,medio,"Calcule el área entre $y=x$ y $y=x^3$ en $[0,1]$.",$\dfrac{1}{2}$,$\dfrac{1}{3}$,$\dfrac{3}{4}$,$\dfrac{1}{4}$,D,"En $[0,1]$, $x\geq x^3$. $\int_0^1(x-x^3)dx=\dfrac{1}{2}-\dfrac{1}{4}=\dfrac{1}{4}$."
Aplicaciones de la Integral,Áreas entre curvas,medio,"¿En qué valor de $x$ se cortan $y=\sin(x)$ y $y=\cos(x)$ en $[0,\pi]$?",$x=\dfrac{\pi}{4}$,$x=\dfrac{\pi}{2}$,$x=\dfrac{\pi}{4}$ y $x=\dfrac{3\pi}{4}$,$x=0$,A,"En $[0,\pi]$, $\sin x=\cos x$ solo cuando $\tan x=1$, es decir $x=\pi/4$."
Aplicaciones de la Integral,Áreas entre curvas,medio,Calcule el área de la región encerrada entre $y=x^2+1$ y $y=3-x$.,$\dfrac{7}{2}$,$\dfrac{9}{2}$,$3$,$\dfrac{11}{2}$,B,"Intersecciones: $x^2+1=3-x \Rightarrow x=-2, x=1$. La recta queda arriba. $\int_{-2}^{1}(2-x-x^2)dx=\dfrac{9}{2}$."
Aplicaciones de la Integral,Áreas entre curvas,dificil,Calcule el área entre $y=\sin(x)$ y $y=\cos(x)$ desde $x=0$ hasta $x=\pi$.,$2\sqrt{2}$,$\sqrt{2}+1$,$\sqrt{2}$,$2\sqrt{2}-1$,A,Las curvas se cruzan en $x=\pi/4$. $\int_0^{\pi/4}(\cos x-\sin x)dx+\int_{\pi/4}^{\pi}(\sin x-\cos x)dx=(\sqrt{2}-1)+(1+\sqrt{2})=2\sqrt{2}$.
Aplicaciones de la Integral,Áreas entre curvas,dificil,Calcule el área de la región encerrada entre $y=x^2$ y $y=2x-x^2$.,$\dfrac{2}{3}$,$\dfrac{1}{6}$,$\dfrac{1}{3}$,$1$,C,"Intersecciones en $x=0,1$. En el intervalo, $2x-x^2\geq x^2$. $\int_0^1(2x-2x^2)dx=1-\dfrac{2}{3}=\dfrac{1}{3}$."
Aplicaciones de la Integral,Áreas entre curvas,dificil,"Calcule el área total entre $y=x$ y $y=x^3$ en el intervalo $[-1,1]$.",$\dfrac{1}{4}$,$\dfrac{1}{2}$,$\dfrac{3}{4}$,$0$,B,"Las curvas se cortan en $x=-1,0,1$. Por simetría $2\int_0^1(x-x^3)dx=2(\dfrac{1}{2}-\dfrac{1}{4})=\dfrac{1}{2}$."
Aplicaciones de la Integral,Áreas entre curvas,dificil,¿Cuál es la ventaja principal de integrar respecto a $y$ en lugar de $x$ al calcular un área entre curvas?,Siempre da un resultado más preciso,Permite usar menos pasos en cualquier caso,Elimina la necesidad del valor absoluto,Puede evitar dividir la integral en subintervalos cuando la curva superior cambia,D,"Si las curvas son funciones más simples de $y$ que de $x$, integrar en $dy$ puede eliminar la necesidad de partir el intervalo donde cambia la curva que está por encima."
Aplicaciones de la Integral,Áreas entre curvas,dificil,Calcule el área de la región encerrada entre $y=\lvert x\rvert$ y $y=x^2-2$.,$\dfrac{10}{3}$,$\dfrac{16}{3}$,$8$,$\dfrac{20}{3}$,D,"Las curvas se cortan en $x=\pm 2$. Por simetría, $2\int_0^2(x-(x^2-2))dx=2\cdot\dfrac{10}{3}=\dfrac{20}{3}$."
Aplicaciones de la Integral,Áreas entre curvas,dificil,Calcule el área encerrada entre $x=y^2$ y $x=2y$ integrando respecto a $y$.,$\dfrac{2}{3}$,$\dfrac{5}{3}$,$\dfrac{4}{3}$,$\dfrac{8}{3}$,C,"$y^2=2y \Rightarrow y=0, 2$. En $[0,2]$, $2y\geq y^2$. $\int_0^2(2y-y^2)dy=4-\dfrac{8}{3}=\dfrac{4}{3}$."
