capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Espacio,Vectores,facil,"Dado el punto $A(3, -1, 5)$ en el espacio tridimensional, ¿cual es su coordenada en el eje $z$?",$-1$,$3$,$5$,$0$,C,"La coordenada en el eje $z$ es la tercera componente del punto. Para $A(3, -1, 5)$, la coordenada $z$ es $5$."
Espacio,Vectores,facil,"¿Cual es la distancia entre los puntos $P(1, 0, 0)$ y $Q(1, 0, 4)$?",$3$,$16$,$5$,$4$,D,Aplicando la formula: $d = \sqrt{(1-1)^2 + (0-0)^2 + (4-0)^2} = \sqrt{16} = 4$.
Espacio,Vectores,facil,¿Cual es la ecuacion de la esfera con centro en el origen y radio $3$?,$x^2 + y^2 + z^2 = 3$,$x^2 + y^2 + z^2 = 6$,$x^2 + y^2 + z^2 = 9$,$x^2 + y^2 + z^2 = 27$,C,"La ecuacion de la esfera con centro $(0,0,0)$ y radio $r$ es $x^2 + y^2 + z^2 = r^2$. Con $r = 3$, se obtiene $x^2 + y^2 + z^2 = 9$."
Espacio,Vectores,facil,"Si $\vec{v} = (2, -3, 1)$, ¿cual es la magnitud de $\vec{v}$?",$\sqrt{10}$,$4$,$\sqrt{6}$,$\sqrt{14}$,D,La magnitud es $\lVert \vec{v} \rVert = \sqrt{2^2 + (-3)^2 + 1^2} = \sqrt{4 + 9 + 1} = \sqrt{14}$.
Espacio,Vectores,facil,"¿Cual es el vector que va del punto $A(1, 2, 3)$ al punto $B(4, 0, 1)$?","$(-3, 2, 2)$","$(5, 2, 4)$","$(3, 2, 2)$","$(3, -2, -2)$",D,"El vector $\vec{AB} = B - A = (4-1, 0-2, 1-3) = (3, -2, -2)$."
Espacio,Vectores,facil,"¿En que plano coordenado se encuentra el punto $P(0, 3, -2)$?",Plano $xy$,Plano $xz$,Plano $yz$,No esta en ningun plano coordenado,C,"Un punto esta en el plano $yz$ cuando su coordenada $x = 0$. Como $P(0, 3, -2)$ tiene $x = 0$, esta en el plano $yz$."
Espacio,Vectores,medio,"Calcule la distancia entre los puntos $A(1, 0, 2)$ y $B(3, 4, -1)$.",$\sqrt{25}$,$\sqrt{21}$,$\sqrt{29}$,$\sqrt{17}$,C,Usando la formula: $d = \sqrt{(3-1)^2 + (4-0)^2 + (-1-2)^2} = \sqrt{4 + 16 + 9} = \sqrt{29}$.
Espacio,Vectores,medio,¿Cual es el centro y el radio de la esfera $(x - 2)^2 + (y + 1)^2 + (z - 3)^2 = 25$?,"Centro $(2, 1, 3)$, radio $5$","Centro $(2, -1, 3)$, radio $5$","Centro $(-2, 1, -3)$, radio $25$","Centro $(2, -1, 3)$, radio $25$",B,"De la forma $(x-h)^2 + (y-k)^2 + (z-l)^2 = r^2$, se lee centro $(2, -1, 3)$ y radio $r = \sqrt{25} = 5$."
Espacio,Vectores,medio,"¿Cual es la ecuacion del plano que pasa por $(1, 2, 3)$ con vector normal $\vec{n} = (2, -1, 4)$?",$2x - y + 4z = 12$,$2x - y + 4z = 4$,$2x + y + 4z = 16$,$2x - y + 4z = 10$,A,"Usando $a(x-x_0) + b(y-y_0) + c(z-z_0) = 0$: $2(x-1) - 1(y-2) + 4(z-3) = 0$, que simplifica a $2x - y + 4z = 12$."
Espacio,Vectores,medio,"Calcule la distancia del punto $(1, 2, 3)$ al plano $2x - y + 3z = 6$.",$\frac{3}{\sqrt{14}}$,$\frac{1}{\sqrt{14}}$,$\frac{7}{\sqrt{14}}$,$\frac{5}{\sqrt{14}}$,A,Reescribiendo como $2x - y + 3z - 6 = 0$: $D = \frac{\lvert 2(1) - 1(2) + 3(3) - 6 \rvert}{\sqrt{4+1+9}} = \frac{\lvert 2-2+9-6 \rvert}{\sqrt{14}} = \frac{3}{\sqrt{14}}$.
