capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Matrices Simétricas,Diagonalización ortogonal,facil,¿Cuál de las siguientes matrices es simétrica?,$\begin{pmatrix} 1 & 3 \\ 2 & 5 \end{pmatrix}$,$\begin{pmatrix} 1 & 3 \\ 3 & 5 \end{pmatrix}$,$\begin{pmatrix} 1 & 0 \\ 3 & 5 \end{pmatrix}$,$\begin{pmatrix} 0 & 3 \\ -3 & 5 \end{pmatrix}$,B,Una matriz es simétrica si $A = A^T$. Solo la opción B cumple que $a_{12} = a_{21} = 3$.
Matrices Simétricas,Diagonalización ortogonal,facil,"Si $A$ es una matriz simétrica real, ¿qué se puede afirmar sobre sus valores propios?",Son complejos conjugados,Son todos reales,Son todos positivos,Son todos enteros,B,El teorema espectral establece que toda matriz simétrica real tiene todos sus valores propios reales.
Matrices Simétricas,Diagonalización ortogonal,facil,Una matriz $A$ de $n \times n$ es diagonalizable ortogonalmente si y solo si:,Es simétrica,Es triangular superior,Es invertible,Tiene valores propios distintos,A,"Por el Teorema 2, una matriz es diagonalizable ortogonalmente si y solo si es simétrica."
Matrices Simétricas,Diagonalización ortogonal,facil,"Si $P$ es una matriz ortogonal, ¿cuál es su inversa?",$P^2$,$-P$,$P$,$P^T$,D,"Por definición, una matriz ortogonal cumple $P^{-1} = P^T$."
Matrices Simétricas,Diagonalización ortogonal,facil,"Sea $A$ una matriz simétrica con valores propios $\lambda_1 = 4$ y $\lambda_2 = -1$. Si $A = PDP^T$, ¿cuál es la matriz $D$?",$\begin{pmatrix} -1 & 0 \\ 0 & 4 \end{pmatrix}$,$\begin{pmatrix} 4 & -1 \\ -1 & 4 \end{pmatrix}$,$\begin{pmatrix} 4 & 0 \\ 0 & -1 \end{pmatrix}$,$\begin{pmatrix} 3 & 0 \\ 0 & 0 \end{pmatrix}$,C,La matriz $D$ es diagonal con los valores propios en la diagonal: $D = \begin{pmatrix} 4 & 0 \\ 0 & -1 \end{pmatrix}$.
Matrices Simétricas,Diagonalización ortogonal,facil,"Si $A$ es simétrica y $v_1$, $v_2$ son vectores propios asociados a valores propios distintos, entonces $v_1$ y $v_2$ son:",Paralelos,Linealmente dependientes,Iguales,Ortogonales,D,"Por el Teorema 1, vectores propios de una matriz simétrica asociados a valores propios distintos son ortogonales entre sí."
Matrices Simétricas,Diagonalización ortogonal,medio,"Sea $A = \begin{pmatrix} 6 & -2 & -1 \\ -2 & 6 & -1 \\ -1 & -1 & 5 \end{pmatrix}$. Si la ecuación característica es $-(\lambda - 8)(\lambda - 6)(\lambda - 3) = 0$, ¿cuál es la traza de $A$?",$14$,$17$,$15$,$18$,B,La traza es la suma de los elementos diagonales: $6 + 6 + 5 = 17$. Esto coincide con la suma de valores propios $8 + 6 + 3 = 17$.
Matrices Simétricas,Diagonalización ortogonal,medio,Sea $A = \begin{pmatrix} 3 & -2 & 4 \\ -2 & 6 & 2 \\ 4 & 2 & 3 \end{pmatrix}$ con ecuación característica $-(\lambda - 7)^2(\lambda + 2) = 0$. ¿Cuál es la multiplicidad algebraica de $\lambda = 7$?,$3$,$1$,$2$,$0$,C,"El factor $(\lambda - 7)^2$ indica que $\lambda = 7$ es raíz doble, por lo que su multiplicidad algebraica es 2."
Matrices Simétricas,Diagonalización ortogonal,medio,"Para diagonalizar ortogonalmente $A = \begin{pmatrix} 3 & -2 & 4 \\ -2 & 6 & 2 \\ 4 & 2 & 3 \end{pmatrix}$, se obtienen dos vectores propios linealmente independientes $v_1$ y $v_2$ para $\lambda = 7$. ¿Qué proceso se debe aplicar a $v_1$ y $v_2$?",Calcular su producto cruz,Sumarlos para obtener un solo vector propio,Multiplicarlos por $\lambda = 7$,Gram-Schmidt para obtener un conjunto ortogonal y luego normalizar,D,"Cuando un espacio propio tiene dimensión mayor que 1, se aplica Gram-Schmidt a los vectores propios para obtener una base ortogonal, y luego se normaliza."
Matrices Simétricas,Diagonalización ortogonal,medio,"Sea $A = \begin{pmatrix} 7 & 2 \\ 2 & 4 \end{pmatrix}$. Si la descomposición espectral es $A = \lambda_1 u_1 u_1^T + \lambda_2 u_2 u_2^T$ con $\lambda_1 = 8$ y $\lambda_2 = 3$, ¿cuántas matrices de rango 1 se suman?",$1$,$3$,$4$,$2$,D,La descomposición espectral de una matriz $2 \times 2$ con dos valores propios distintos es la suma de 2 matrices de rango 1: $\lambda_1 u_1 u_1^T$ y $\lambda_2 u_2 u_2^T$.
Matrices Simétricas,Diagonalización ortogonal,medio,Sea $u = \frac{1}{\sqrt{2}}\begin{pmatrix} -1 \\ 1 \\ 0 \end{pmatrix}$ un vector propio unitario de una matriz simétrica $A$. ¿Cuánto vale $u^T u$?,$\frac{1}{2}$,$\sqrt{2}$,$1$,$0$,C,"Como $u$ es un vector unitario (normalizado), se cumple $u^T u = \frac{1}{2}(1 + 1 + 0) = 1$."
Matrices Simétricas,Diagonalización ortogonal,medio,Sea $A$ simétrica con $A = PDP^T$ donde $D = \begin{pmatrix} 8 & 0 & 0 \\ 0 & 6 & 0 \\ 0 & 0 & 3 \end{pmatrix}$. ¿Cuánto vale $\det(A)$?,$17$,$48$,$144$,$24$,C,"Como $A = PDP^T$ y $P$ es ortogonal ($\det(P) = \pm 1$), se tiene $\det(A) = \det(D) = 8 \cdot 6 \cdot 3 = 144$."
Matrices Simétricas,Diagonalización ortogonal,medio,"En la descomposición espectral $A = \lambda_1 u_1 u_1^T + \lambda_2 u_2 u_2^T$, cada término $u_i u_i^T$ es:",Un escalar,Una matriz de proyección ortogonal sobre el subespacio generado por $u_i$,Una matriz invertible,Una matriz antisimétrica,B,Cada $u_i u_i^T$ es la matriz de proyección ortogonal sobre el subespacio generado por $u_i$. Cumple $(u_i u_i^T)^2 = u_i u_i^T$ y es simétrica.
