capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Sea $f(x,y) = x^2 + y^2$. Determine la ecuacion del plano tangente a la superficie $z = f(x,y)$ en el punto $(1, 0, 1)$.",$z = x + 1$,$z = 2x + 1$,$z = 2x - 1$,$z = 2x + 2y - 1$,C,"Se calcula $f_x = 2x$ y $f_y = 2y$. En $(1,0)$: $f_x = 2$, $f_y = 0$. El plano tangente es $z - 1 = 2(x-1)$, es decir, $z = 2x - 1$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Si $f(x,y) = 3x + 4y$, cual es la ecuacion del plano tangente en cualquier punto $(a, b, f(a,b))$?",$z = 3x + 4y + 1$,$z = 7x + 7y$,$z = 3(x-a) + 4(y-b)$,$z = 3x + 4y$,D,"Para una funcion lineal $f(x,y) = 3x + 4y$, las derivadas parciales son $f_x = 3$ y $f_y = 4$. El plano tangente coincide con la funcion misma: $z = 3x + 4y$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Calcule la diferencial total $dz$ de $f(x,y) = x^2 y$ en el punto $(1, 2)$.","$dz = 4\,dx + dy$","$dz = 2\,dx + dy$","$dz = 4\,dx + 1\,dy$","$dz = 2\,dx + 2\,dy$",C,"$f_x = 2xy$ y $f_y = x^2$. En $(1,2)$: $f_x = 4$ y $f_y = 1$. Por tanto $dz = 4\,dx + 1\,dy$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Sea $f(x,y) = x + y^2$. Determine la linealizacion $L(x,y)$ de $f$ en $(2, 1)$.","$L(x,y) = x + 2y - 1$","$L(x,y) = x + 2y$","$L(x,y) = x + 2y + 1$","$L(x,y) = x + 2y - 2$",D,"$f(2,1) = 3$, $f_x = 1$, $f_y = 2y = 2$. Entonces $L(x,y) = 3 + 1(x-2) + 2(y-1) = x + 2y - 2$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Si $z = f(x,y)$ y la ecuacion del plano tangente en $(a,b)$ es $z = f(a,b) + f_x(a,b)(x-a) + f_y(a,b)(y-b)$, que representa geometricamente este plano?","Un plano perpendicular a la superficie en $(a,b)$",Un plano que pasa por el origen,"La mejor aproximacion lineal de la superficie cerca de $(a, b, f(a,b))$","El plano normal a la superficie en $(a,b)$",C,"El plano tangente es la mejor aproximacion lineal de la superficie en un entorno del punto de tangencia, ya que coincide con la superficie en el punto y tiene las mismas derivadas parciales."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,facil,"Sea $f(x,y) = 5x - 3y + 7$. Cual es la diferencial total $dz$?","$dz = 5\,dx + 3\,dy$","$dz = 5\,dx - 3\,dy + 7$","$dz = -5\,dx + 3\,dy$","$dz = 5\,dx - 3\,dy$",D,"$f_x = 5$ y $f_y = -3$. La diferencial total es $dz = 5\,dx - 3\,dy$. La constante 7 no afecta la diferencial."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,medio,"Determine la ecuacion del plano tangente a $z = 2x^2 + y^2$ en el punto $(1, 1, 3)$.",$z = 4x + 2y + 3$,$z = 4x + y - 2$,$z = 2x + 2y - 1$,$z = 4x + 2y - 3$,D,"$f_x = 4x = 4$ y $f_y = 2y = 2$ en $(1,1)$. El plano tangente: $z - 3 = 4(x-1) + 2(y-1)$, lo que da $z = 4x + 2y - 3$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,medio,"Sea $f(x,y) = xe^{xy}$. Calcule $f_x(1,0)$.",$0$,$1$,$2$,$e$,B,"$f_x = e^{xy} + xye^{xy}$. En $(1,0)$: $f_x = e^0 + 0 = 1$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,medio,"Utilice la aproximacion lineal de $f(x,y) = \sqrt{x + 3y}$ en $(1, 0)$ para estimar $f(1{,}1, \, 0{,}1)$.","$1{,}25$","$1{,}20$","$1{,}35$","$1{,}30$",D,"$f(1,0) = 1$, $f_x = \frac{1}{2\sqrt{x+3y}} = \frac{1}{2}$, $f_y = \frac{3}{2\sqrt{x+3y}} = \frac{3}{2}$. Entonces $L(1{,}1, 0{,}1) = 1 + \frac{1}{2}(0{,}1) + \frac{3}{2}(0{,}1) = 1 + 0{,}05 + 0{,}15 = 1{,}20$."
Aplicaciones de las Derivadas Parciales,Planos tangentes y aproximaciones lineales,medio,"El radio de la base de un cono circular mide $r = 10$ cm y la altura $h = 25$ cm, con error de hasta $0{,}1$ cm en cada medida. Use diferenciales para estimar el error maximo en el volumen $V = \frac{\pi r^2 h}{3}$.",$\frac{100\pi}{3}$ cm$^3$,$20\pi$ cm$^3$,$\frac{200\pi}{3}$ cm$^3$,$25\pi$ cm$^3$,B,"$dV = \frac{2\pi rh}{3}dr + \frac{\pi r^2}{3}dh = \frac{500\pi}{3}(0{,}1) + \frac{100\pi}{3}(0{,}1) = \frac{50\pi + 10\pi}{3}\cdot\frac{10}{10} = 20\pi$."
