capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Aplicaciones de Integrales Múltiples,Centros de masa,facil,"La masa total $M$ de una lámina sobre $D$ con densidad superficial $\rho(x,y)$ es:","$M=\iint_D \rho(x,y)\,dA$","$M=\iint_D \rho^{2}(x,y)\,dA$","$M=\iint_D x\,\rho(x,y)\,dA$","$M=\rho(x,y)\cdot A(D)$",A,"Por definición, la masa total es la integral de la densidad sobre la región. Esto generaliza $m=\rho\cdot V$ del caso uniforme."
Aplicaciones de Integrales Múltiples,Centros de masa,facil,El momento $M_y$ (respecto al eje $y$) tiene en su integrando:,"$y\,\rho$","$x\,\rho$","$xy\,\rho$",$\rho$ solo,B,"Momento respecto al eje $y$ usa la $\textbf{distancia}$ al eje $y$, que es $|x|$. Por eso $M_y=\iint_D x\,\rho\,dA$."
Aplicaciones de Integrales Múltiples,Centros de masa,facil,El centro de masa $\bar{x}$ de una lámina se calcula como:,$\bar{x}=M_x\cdot M$,$\bar{x}=M_x/M$,$\bar{x}=M_y/M$,$\bar{x}=M\cdot M_y$,C,$\bar{x}=\dfrac{M_y}{M}$ porque $M_y$ usa $x$ en el integrando: es el balance de torques alrededor del eje $y$.
Aplicaciones de Integrales Múltiples,Centros de masa,facil,"Si la densidad de una lámina es constante, su centro de masa coincide con:",El origen siempre,Un vértice de la región,Un punto en el borde,El centroide (centro geométrico) de la región,D,"Con $\rho_0$ constante, esta cantidad sale de las integrales y se cancela al dividir, dejando una fórmula que solo depende de la geometría de $D$."
Aplicaciones de Integrales Múltiples,Centros de masa,facil,"Para $\rho_0$ constante, el centroide de una región $D$ representa:",La posición promedio de los puntos de $D$,El punto donde la densidad es máxima,Un punto del borde de $D$,El centro de un círculo inscrito,A,"$\bar{x}=\dfrac{1}{A(D)}\iint_D x\,dA$ y $\bar{y}=\dfrac{1}{A(D)}\iint_D y\,dA$ son simplemente promedios espaciales de las coordenadas."
Aplicaciones de Integrales Múltiples,Centros de masa,facil,El centroide del disco unitario centrado en el origen es:,"$(1,1)$","$(0,0)$","$(1/2,1/2)$","$(\pi,0)$",B,"Por simetría respecto a ambos ejes, $\bar{x}=\bar{y}=0$. El centroide de un disco está en su centro geométrico."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"Una lámina ocupa $[0,1]\times[0,1]$ con densidad constante $\rho_0=1$. ¿Cuál es su masa total?",$0$,$2$,$1$,$\pi$,C,"$M=\iint_R 1\,dA=A(R)=1\cdot 1=1$."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"El centroide del triángulo con vértices $(0,0)$, $(a,0)$, $(0,b)$ es:","$(a/2,b/2)$","$(0,0)$","$(a,b)$","$(a/3,b/3)$",D,"Resultado clásico: el centroide de un triángulo es el promedio de sus vértices, $\bigl((0+a+0)/3,(0+0+b)/3\bigr)=(a/3,b/3)$."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"El centroide del semicírculo $\{x^{2}+y^{2}\le R^{2},\, y\ge 0\}$ es:","$\bigl(0,\,4R/(3\pi)\bigr)$","$(0,R/2)$","$(R,0)$","$\bigl(0,\,R/(2\pi)\bigr)$",A,"Por simetría $\bar{x}=0$. En polares $\iint y\,dA=\int_0^{\pi}\!\int_0^R r^{2}\sin\theta\,dr\,d\theta=2R^{3}/3$. Como $A=\pi R^{2}/2$, $\bar{y}=4R/(3\pi)$."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"La masa de la lámina sobre $[0,1]\times[0,1]$ con densidad $\rho(x,y)=x$ es:",$1$,$\dfrac{1}{2}$,$\dfrac{1}{4}$,$\dfrac{1}{3}$,B,"$M=\int_0^1\!\int_0^1 x\,dy\,dx=\int_0^1 x\,dx=\dfrac{1}{2}$."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"Para la misma lámina anterior ($[0,1]^{2}$, $\rho=x$, $M=1/2$), el valor de $\bar{x}$ es:",$\dfrac{1}{3}$,$\dfrac{1}{2}$,$\dfrac{2}{3}$,$\dfrac{3}{4}$,C,"$M_y=\iint x^{2}\,dA=\int_0^1 x^{2}\,dx=\dfrac{1}{3}$. Luego $\bar{x}=\dfrac{1/3}{1/2}=\dfrac{2}{3}$. Coherente: la densidad crece con $x$, así el centro se desplaza hacia la derecha."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"Para la misma lámina ($[0,1]^{2}$, $\rho=x$), el valor de $\bar{y}$ es:",$\dfrac{1}{4}$,$\dfrac{1}{3}$,$\dfrac{2}{3}$,$\dfrac{1}{2}$,D,"$M_x=\iint xy\,dA=\int_0^1 x\,dx\cdot\int_0^1 y\,dy=\dfrac{1}{4}$. Luego $\bar{y}=\dfrac{1/4}{1/2}=\dfrac{1}{2}$. La densidad no depende de $y$, así $\bar{y}$ es el centro vertical."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"El centroide del rectángulo $[0,a]\times[0,b]$ es:","$(a/2,b/2)$","$(0,0)$","$(a,b)$","$(a/3,b/3)$",A,"Por simetría doble respecto a las medianas, el centroide del rectángulo es su centro geométrico."
Aplicaciones de Integrales Múltiples,Centros de masa,medio,"Si una lámina es simétrica respecto al eje $y$ y la densidad también lo es, entonces $\bar{x}$ vale:",Depende de $\rho$,$0$,$M_y$,$1/2$,B,"Bajo simetría respecto al eje $y$, los aportes de $x>0$ y $x<0$ se cancelan en $M_y=\iint x\,\rho\,dA$, así $M_y=0$ y $\bar{x}=0$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"Una varilla en $[0,2]$ tiene densidad lineal $\rho(x)=3+x$. Su centro de masa es:",$1$,$\dfrac{8}{3}$,$\dfrac{13}{12}$,$\dfrac{26}{3}$,C,"$M=\int_0^2(3+x)\,dx=8$. $M_0=\int_0^2 x(3+x)\,dx=6+\dfrac{8}{3}=\dfrac{26}{3}$. $\bar{x}=\dfrac{M_0}{M}=\dfrac{26/3}{8}=\dfrac{13}{12}$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"Para un sólido $E$ en $\mathbb{R}^{3}$ con densidad $\rho(x,y,z)$, la coordenada $\bar{z}$ del centro de masa es:",$M_{xy}\cdot M$,$M\cdot z$,"$\iiint_E z\,dV$",$M_{xy}/M$,D,"Por analogía 2D→3D: $\bar{z}=\dfrac{M_{xy}}{M}$, donde $M_{xy}=\iiint z\,\rho\,dV$ es el momento respecto al plano $xy$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"El centroide del cuarto de disco $\{x^{2}+y^{2}\le R^{2},\, x\ge 0,\, y\ge 0\}$ es:","$\bigl(4R/(3\pi),\,4R/(3\pi)\bigr)$","$(R/2,R/2)$","$(R,R)$","$\bigl(R/(2\pi),\,R/(2\pi)\bigr)$",A,"$A=\pi R^{2}/4$. Por simetría $x\leftrightarrow y$, $\bar{x}=\bar{y}$. En polares $\iint x\,dA=\int_0^{\pi/2}\!\int_0^R r^{2}\cos\theta\,dr\,d\theta=R^{3}/3$. $\bar{x}=\dfrac{R^{3}/3}{\pi R^{2}/4}=\dfrac{4R}{3\pi}$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"Una lámina sobre el triángulo de vértices $(0,0)$, $(1,0)$, $(0,2)$ tiene densidad $\rho(x,y)=1+3x+y$. Su masa total vale:",$\dfrac{4}{3}$,$\dfrac{8}{3}$,$2$,$\dfrac{11}{6}$,B,"$M=\int_0^1\!\int_0^{2-2x}(1+3x+y)\,dy\,dx=\int_0^1(4-4x^{2})\,dx=4-\dfrac{4}{3}=\dfrac{8}{3}$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"Para la misma lámina anterior ($\rho=1+3x+y$ sobre el triángulo $(0,0),(1,0),(0,2)$), el valor de $\bar{x}$ es:",$\dfrac{1}{3}$,$\dfrac{1}{2}$,$\dfrac{3}{8}$,$\dfrac{11}{16}$,C,"$M_y=\int_0^1\!\int_0^{2-2x} x(1+3x+y)\,dy\,dx=\int_0^1 x(4-4x^{2})\,dx=2-1=1$. Luego $\bar{x}=\dfrac{M_y}{M}=\dfrac{1}{8/3}=\dfrac{3}{8}$."
Aplicaciones de Integrales Múltiples,Centros de masa,dificil,"Considere la región bajo $y=\sin x$ entre $x=0$ y $x=\pi$ con densidad constante. Sabiendo que el área es $2$, calcule $\bar{y}$.",$\dfrac{\pi}{4}$,$\dfrac{2}{\pi}$,$\dfrac{1}{2}$,$\dfrac{\pi}{8}$,D,"$\iint y\,dA=\int_0^{\pi}\!\int_0^{\sin x} y\,dy\,dx=\int_0^{\pi}\dfrac{\sin^{2}x}{2}\,dx=\dfrac{\pi}{4}$. Luego $\bar{y}=\dfrac{\pi/4}{2}=\dfrac{\pi}{8}$."
