capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Funciones Polinomiales y Racionales,Función cuadrática,facil,¿Cuál es la forma general de una función cuadrática?,$f(x) = ax^2 + bx + c$ con $a \neq 0$,$f(x) = ax^3 + bx + c$ con $a \neq 0$,$f(x) = ax + b$ con $a \neq 0$,$f(x) = ax^2 + bx + c$ con $a = 0$,A,"Una función cuadrática es un polinomio de grado 2, con la forma $f(x) = ax^2 + bx + c$ donde $a \neq 0$."
Funciones Polinomiales y Racionales,Función cuadrática,facil,"Dada $f(x) = 3x^2 - 5x + 2$, ¿cuál es el valor del coeficiente $a$?",$-5$,$3$,$2$,$5$,B,"En $f(x) = ax^2 + bx + c$, el coeficiente $a$ acompaña a $x^2$. Aquí $a = 3$."
Funciones Polinomiales y Racionales,Función cuadrática,facil,"Si $f(x) = -2x^2 + 4x - 1$, ¿hacia dónde abre la parábola?","Hacia arriba, porque $c < 0$","Hacia arriba, porque $b > 0$","Hacia abajo, porque $a = -2 < 0$","Hacia abajo, porque $b > a$",C,"La parábola abre hacia abajo cuando $a < 0$. Como $a = -2 < 0$, abre hacia abajo."
Funciones Polinomiales y Racionales,Función cuadrática,facil,¿Cuál es el vértice de la función $f(x) = (x - 4)^2 + 7$?,"$(-4, -7)$","$(-4, 7)$","$(4, -7)$","$(4, 7)$",D,"En la forma $f(x) = a(x - h)^2 + k$, el vértice es $(h, k)$. Aquí $h = 4$, $k = 7$."
Funciones Polinomiales y Racionales,Función cuadrática,facil,"Dada $f(x) = x^2 + 6x + 5$, ¿cuál es el eje de simetría?",$x = -3$,$x = 3$,$x = -6$,$x = 5$,A,El eje de simetría es $x = -\frac{b}{2a} = -\frac{6}{2} = -3$.
Funciones Polinomiales y Racionales,Función cuadrática,facil,"Si $f(x) = x^2 - 8x + 12$, ¿cuál es el valor de $f(0)$?",$-8$,$12$,$0$,$4$,B,$f(0) = 0 - 0 + 12 = 12$. Corresponde al coeficiente $c$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,Exprese $f(x) = x^2 - 10x + 21$ en forma normal.,$f(x) = (x + 5)^2 - 4$,$f(x) = (x - 5)^2 + 4$,$f(x) = (x - 5)^2 - 4$,$f(x) = (x - 10)^2 + 21$,C,Completando el cuadrado: $x^2 - 10x + 25 - 25 + 21 = (x - 5)^2 - 4$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,¿Cuál es el valor mínimo de $f(x) = 2x^2 + 8x + 3$?,$-8$,$3$,$-2$,$-5$,D,El mínimo ocurre en $x = -\frac{8}{4} = -2$. $f(-2) = 8 - 16 + 3 = -5$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,Exprese $f(x) = 3x^2 + 12x + 7$ en forma normal.,$f(x) = 3(x + 2)^2 - 5$,$f(x) = 3(x - 2)^2 - 5$,$f(x) = 3(x + 2)^2 + 7$,$f(x) = 3(x + 4)^2 - 5$,A,$3(x^2 + 4x) + 7 = 3(x^2 + 4x + 4) + 7 - 12 = 3(x + 2)^2 - 5$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,¿Cuál es el valor máximo de $g(x) = -3x^2 + 6x + 1$?,$1$,$4$,$6$,$-3$,B,"Como $a < 0$, hay máximo en $x = -\frac{6}{-6} = 1$. $g(1) = -3 + 6 + 1 = 4$."
Funciones Polinomiales y Racionales,Función cuadrática,medio,"Dada $f(x) = -x^2 + 4x - 3$, ¿cuáles son las intersecciones con el eje $x$?",$x = -1$ y $x = 3$,$x = -1$ y $x = -3$,$x = 1$ y $x = 3$,$x = 1$ y $x = -3$,C,$-x^2 + 4x - 3 = 0$ equivale a $x^2 - 4x + 3 = (x-1)(x-3) = 0$. Ceros: $x = 1$ y $x = 3$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,Exprese $f(x) = 2x^2 - 12x + 23$ en forma normal.,$f(x) = 2(x - 3)^2 - 5$,$f(x) = 2(x - 6)^2 + 23$,$f(x) = 2(x + 3)^2 + 5$,$f(x) = 2(x - 3)^2 + 5$,D,$2(x^2 - 6x) + 23 = 2(x^2 - 6x + 9) + 23 - 18 = 2(x - 3)^2 + 5$.
Funciones Polinomiales y Racionales,Función cuadrática,medio,¿Cuál es el rango de $f(x) = -2(x + 1)^2 + 8$?,"$(-\infty, 8]$","$[8, +\infty)$","$(-\infty, -1]$","$[-2, +\infty)$",A,"Como $a = -2 < 0$, la parábola abre hacia abajo y el máximo es $k = 8$. Rango: $(-\infty, 8]$."
Funciones Polinomiales y Racionales,Función cuadrática,medio,"Si $f(x) = x^2 + 4x$, ¿cuál es el valor mínimo de la función?",$0$,$-4$,$4$,$-2$,B,Mínimo en $x = -\frac{4}{2} = -2$. $f(-2) = 4 - 8 = -4$.
Funciones Polinomiales y Racionales,Función cuadrática,dificil,Un agricultor tiene 120 m de cerca para un corral rectangular junto a un río (un lado no necesita cerca). ¿Cuál es el área máxima?,$3600 \text{ m}^2$,$900 \text{ m}^2$,$1800 \text{ m}^2$,$1200 \text{ m}^2$,C,$A(x) = x(120 - 2x) = -2x^2 + 120x$. Máximo en $x = 30$: $A(30) = 1800 \text{ m}^2$.
Funciones Polinomiales y Racionales,Función cuadrática,dificil,Exprese $f(x) = -x^2 + x + 2$ en forma normal e identifique su valor máximo.,$f(x) = -(x - 1)^2 + 2$; valor máximo $2$,$f(x) = -(x + \frac{1}{2})^2 + \frac{9}{4}$; valor máximo $\frac{9}{4}$,$f(x) = -(x - \frac{1}{2})^2 + \frac{7}{4}$; valor máximo $\frac{7}{4}$,$f(x) = -(x - \frac{1}{2})^2 + \frac{9}{4}$; valor máximo $\frac{9}{4}$,D,$-(x^2 - x) + 2 = -(x^2 - x + \frac{1}{4}) + 2 + \frac{1}{4} = -(x - \frac{1}{2})^2 + \frac{9}{4}$.
Funciones Polinomiales y Racionales,Función cuadrática,dificil,La altura de un proyectil es $h(t) = -5t^2 + 40t + 3$ (metros). ¿Cuál es la altura máxima?,$83$ m,$80$ m,$43$ m,$163$ m,A,Máximo en $t = -\frac{40}{-10} = 4$. $h(4) = -80 + 160 + 3 = 83$ m.
