capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Sistemas de Ecuaciones,Matrices,facil,"Considere el sistema $x_1 - 2x_2 = -1$, $-x_1 + 3x_2 = 3$. ¿Cual es la matriz aumentada $[A \mid b]$?",$\begin{pmatrix} 1 & -2 & -1 \\ -1 & 3 & 3 \end{pmatrix}$,$\begin{pmatrix} 1 & -2 & 1 \\ -1 & 3 & -3 \end{pmatrix}$,$\begin{pmatrix} -1 & 2 & -1 \\ 1 & -3 & 3 \end{pmatrix}$,$\begin{pmatrix} 1 & -2 & -1 \\ 1 & 3 & 3 \end{pmatrix}$,A,"Se toman los coeficientes de cada ecuacion y el termino independiente como ultima columna: fila 1 es $(1, -2, -1)$ y fila 2 es $(-1, 3, 3)$."
Sistemas de Ecuaciones,Matrices,facil,Sea $B = \begin{pmatrix} 2 & 1 & 0 & -1 \\ 3 & 4 & 5 & 6 \\ 0 & -2 & 7 & 8 \end{pmatrix}$. ¿Cual es el tamano de $B$?,$4 \times 3$,$4 \times 4$,$3 \times 3$,$3 \times 4$,D,"La matriz tiene 3 filas y 4 columnas, por lo que su tamano es $3 \times 4$."
Sistemas de Ecuaciones,Matrices,facil,"En la matriz $B = \begin{pmatrix} 2 & 1 & 0 & -1 \\ 3 & 4 & 5 & 6 \\ 0 & -2 & 7 & 8 \end{pmatrix}$, ¿cual es la entrada $b_{23}$?",$7$,$-2$,$5$,$0$,C,"La entrada $b_{23}$ corresponde a la fila 2, columna 3. En la fila $(3, 4, 5, 6)$ la tercera entrada es $5$."
Sistemas de Ecuaciones,Matrices,facil,"Un sistema lineal tiene la forma $Ax = b$ con $A \in \mathbb{R}^{3 \times 2}$, $x \in \mathbb{R}^2$ y $b \in \mathbb{R}^3$. ¿Cual es el tamano de la matriz aumentada $[A \mid b]$?",$3 \times 2$,$3 \times 4$,$2 \times 4$,$3 \times 3$,D,La matriz aumentada $[A \mid b]$ tiene tamano $m \times (n+1) = 3 \times (2+1) = 3 \times 3$.
Sistemas de Ecuaciones,Matrices,facil,¿Que tipo de sistema lineal tiene exactamente una solucion?,SI (incompatible),SCI (compatible indeterminado),SCD (compatible determinado),Ninguno de los anteriores,C,Un SCD (sistema compatible determinado) es aquel que tiene exactamente una solucion unica.
Sistemas de Ecuaciones,Matrices,facil,Sea $A = \begin{pmatrix} 2 & -1 & 4 \\ -3 & 5 & -2 \end{pmatrix}$. ¿Cual es la fila 1 de $A$?,"$(2, -3)$","$(2, -1, 4, -3, 5, -2)$","$(2, -1)$","$(2, -1, 4)$",D,"La fila 1 es el vector formado por todas las entradas de la primera fila: $(2, -1, 4)$."
Sistemas de Ecuaciones,Matrices,medio,"Escriba el sistema $2x_1 - x_2 + 4x_3 = 7$, $-3x_1 + 5x_2 - 2x_3 = 0$ en forma $Ax = b$. ¿Cual es la matriz $A$?",$\begin{pmatrix} 2 & -1 & 4 \\ -3 & 5 & -2 \end{pmatrix}$,$\begin{pmatrix} 2 & -3 \\ -1 & 5 \\ 4 & -2 \end{pmatrix}$,$\begin{pmatrix} 2 & -1 & 4 & 7 \\ -3 & 5 & -2 & 0 \end{pmatrix}$,$\begin{pmatrix} 7 & 0 \\ 2 & -3 \\ -1 & 5 \end{pmatrix}$,A,La matriz de coeficientes $A$ tiene los coeficientes de las incognitas (sin el termino independiente). Es de tamano $2 \times 3$.
Sistemas de Ecuaciones,Matrices,medio,"El sistema $x_1 - 2x_2 = -1$, $-2x_1 + 4x_2 = 2$ tiene ecuaciones proporcionales. ¿Como se clasifica?",SCD (solucion unica),SCI (infinitas soluciones),SI (incompatible),No se puede determinar sin reducir,B,"La segunda ecuacion es $-2$ veces la primera, por lo que son dependientes. Parametrizando $x_2 = t$, se obtiene $x_1 = 2t - 1$, dando infinitas soluciones (SCI)."
Sistemas de Ecuaciones,Matrices,medio,"Dado el sistema $x_1 - 2x_2 + x_3 = 0$, $2x_2 - 8x_3 = 8$, $-4x_1 + 5x_2 + 9x_3 = -9$, ¿cual es el vector $b$?",$\begin{pmatrix} 1 \\ 2 \\ -4 \end{pmatrix}$,$\begin{pmatrix} 0 \\ 8 \\ 9 \end{pmatrix}$,$\begin{pmatrix} 0 \\ 8 \\ -9 \end{pmatrix}$,$\begin{pmatrix} -2 \\ -8 \\ 9 \end{pmatrix}$,C,"El vector $b$ contiene los terminos independientes de cada ecuacion: $0$, $8$ y $-9$."
Sistemas de Ecuaciones,Matrices,medio,"Si $A \in \mathbb{R}^{m \times n}$ y el sistema $Ax = b$ se representa con la matriz aumentada $[A \mid b]$, ¿cuantas columnas tiene $[A \mid b]$?",$n$,$m + 1$,$m + n$,$n + 1$,D,"La matriz aumentada $[A \mid b]$ agrega la columna $b$ a las $n$ columnas de $A$, resultando en $n + 1$ columnas."
Sistemas de Ecuaciones,Matrices,medio,"El sistema $x_1 - 2x_2 = -1$, $-x_1 + 2x_2 = 3$ se clasifica como:",SCI (infinitas soluciones),SI (sin solucion),SCD (solucion unica),No se puede determinar,B,"Sumando ambas ecuaciones se obtiene $0 = 2$, una contradiccion. Por lo tanto el sistema es incompatible (SI)."
