capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Trigonometría Analítica,Identidades trigonométricas,facil,¿Cuál es el valor de $\csc x$ en términos de $\operatorname{sen} x$?,$\frac{1}{\cos x}$,$\frac{\cos x}{\operatorname{sen} x}$,$\frac{\operatorname{sen} x}{\cos x}$,$\frac{1}{\operatorname{sen} x}$,D,"Por definición de la identidad recíproca, $\csc x = \frac{1}{\operatorname{sen} x}$."
Trigonometría Analítica,Identidades trigonométricas,facil,"Según la identidad pitagórica fundamental, ¿cuál es el valor de $\operatorname{sen}^2 x + \cos^2 x$?",$0$,$1$,$2$,$\operatorname{sen} x + \cos x$,B,La identidad pitagórica fundamental establece que $\operatorname{sen}^2 x + \cos^2 x = 1$ para todo valor de $x$.
Trigonometría Analítica,Identidades trigonométricas,facil,¿Cuál es el valor de $\cos(-x)$?,$\cos x$,$-\cos x$,$\operatorname{sen} x$,$-\operatorname{sen} x$,A,"El coseno es una función par, por lo que $\cos(-x) = \cos x$."
Trigonometría Analítica,Identidades trigonométricas,facil,¿Cómo se expresa $\tan x$ en términos de seno y coseno?,$\cos x \cdot \operatorname{sen} x$,$\frac{\cos x}{\operatorname{sen} x}$,$\frac{\operatorname{sen} x}{\cos x}$,$\operatorname{sen} x + \cos x$,C,"Por definición, $\tan x = \frac{\operatorname{sen} x}{\cos x}$."
Trigonometría Analítica,Identidades trigonométricas,facil,¿Cuál es el valor de $\operatorname{sen}(-x)$?,$-\operatorname{sen} x$,$\operatorname{sen} x$,$-\cos x$,$\cos x$,A,"El seno es una función impar, por lo que $\operatorname{sen}(-x) = -\operatorname{sen} x$."
Trigonometría Analítica,Identidades trigonométricas,facil,¿Cuál de las siguientes es una identidad pitagórica correcta?,$\tan^2 x - 1 = \sec^2 x$,$\operatorname{sen}^2 x - \cos^2 x = 1$,$1 - \cot^2 x = \csc^2 x$,$\tan^2 x + 1 = \sec^2 x$,D,La identidad pitagórica $\tan^2 x + 1 = \sec^2 x$ se obtiene dividiendo $\operatorname{sen}^2 x + \cos^2 x = 1$ por $\cos^2 x$.
Trigonometría Analítica,Identidades trigonométricas,medio,Simplifique la expresión $\cos t + \tan t \operatorname{sen} t$.,$\sec t$,$\csc t$,$1$,$\cos^2 t$,A,Reemplazando $\tan t = \frac{\operatorname{sen} t}{\cos t}$: $\cos t + \frac{\operatorname{sen}^2 t}{\cos t} = \frac{\cos^2 t + \operatorname{sen}^2 t}{\cos t} = \frac{1}{\cos t} = \sec t$.
Trigonometría Analítica,Identidades trigonométricas,medio,Simplifique $\frac{1 - \cos^2 x}{\operatorname{sen} x}$.,$\cos x$,$\operatorname{sen} x$,$\tan x$,$\csc x$,B,El numerador es $\operatorname{sen}^2 x$ por la identidad pitagórica. Entonces $\frac{\operatorname{sen}^2 x}{\operatorname{sen} x} = \operatorname{sen} x$.
Trigonometría Analítica,Identidades trigonométricas,medio,¿Cuál es el valor de $\operatorname{sen}\left(\frac{\pi}{2} - u\right)$?,$\operatorname{sen} u$,$-\cos u$,$\cos u$,$-\operatorname{sen} u$,C,"Por la identidad de cofunción, $\operatorname{sen}\left(\frac{\pi}{2} - u\right) = \cos u$."
Trigonometría Analítica,Identidades trigonométricas,medio,Simplifique $\sec^2 x - \tan^2 x$.,$0$,$\operatorname{sen}^2 x$,$\cos^2 x$,$1$,D,De la identidad pitagórica $\tan^2 x + 1 = \sec^2 x$ se deduce que $\sec^2 x - \tan^2 x = 1$.
