capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Curvas,Ecuaciones paramétricas,facil,"Dada la curva parametrica $x = t^2 - 2t$, $y = t + 1$, ¿cual es el punto $(x, y)$ cuando $t = 0$?","$(0, 1)$","$(1, 0)$","$(-2, 1)$","$(0, -1)$",A,"Sustituyendo $t = 0$: $x = 0 - 0 = 0$, $y = 0 + 1 = 1$. El punto es $(0, 1)$."
Curvas,Ecuaciones paramétricas,facil,"Las ecuaciones parametricas $x = \cos t$, $y = \sin t$ con $0 \le t \le 2\pi$ describen:",Una elipse centrada en el origen,Una circunferencia de radio 1 centrada en el origen,Una parabola con vertice en el origen,Una recta que pasa por el origen,B,"Al eliminar el parametro: $x^2 + y^2 = \cos^2 t + \sin^2 t = 1$, que es una circunferencia de radio 1."
Curvas,Ecuaciones paramétricas,facil,"Para la curva $x = t^2 - 2t$, $y = t + 1$, al eliminar el parametro se obtiene:",$x = y^2 + 4y + 3$,$x = y^2 + 4y - 3$,$x = y^2 - 4y + 3$,$x = y^2 - 4y - 3$,C,De $y = t+1$ se obtiene $t = y-1$. Sustituyendo: $x = (y-1)^2 - 2(y-1) = y^2 - 4y + 3$.
Curvas,Ecuaciones paramétricas,facil,"¿Cual es la pendiente de la recta tangente a una curva parametrica $x = f(t)$, $y = g(t)$?",$\frac{dx}{dy} = \frac{f'(t)}{g'(t)}$,$\frac{dy}{dx} = \frac{f'(t)}{g'(t)}$,$\frac{dy}{dx} = f'(t) \cdot g'(t)$,$\frac{dy}{dx} = \frac{g'(t)}{f'(t)}$,D,Por la regla de la cadena: $\frac{dy}{dx} = \frac{dy/dt}{dx/dt} = \frac{g'(t)}{f'(t)}$.
Curvas,Ecuaciones paramétricas,facil,"Si $x = 3t$ y $y = 2t + 5$, la ecuacion cartesiana de la curva es:",$y = \frac{2}{3}x + 5$,$y = \frac{3}{2}x + 5$,$y = 2x + 5$,$y = \frac{2}{3}x - 5$,A,De $x = 3t$ se obtiene $t = x/3$. Sustituyendo: $y = 2(x/3) + 5 = \frac{2}{3}x + 5$.
Curvas,Ecuaciones paramétricas,facil,La tangente a una curva parametrica es horizontal cuando:,$\frac{dx}{dt} = 0$ y $\frac{dy}{dt} \neq 0$,$\frac{dy}{dt} = 0$ y $\frac{dx}{dt} = 0$,$\frac{dy}{dt} = 0$ y $\frac{dx}{dt} \neq 0$,$\frac{dx}{dt} \neq 0$ y $\frac{dy}{dt} \neq 0$,C,"La tangente es horizontal cuando $dy/dx = 0$, es decir $dy/dt = 0$ con $dx/dt \neq 0$."
Curvas,Ecuaciones paramétricas,medio,"Para la curva $x = t^2$, $y = t^3 - 3t$, la pendiente de la tangente es:",$\frac{3t^2 - 3}{2}$,$\frac{3}{2}\left(t - \frac{1}{t}\right)$,$\frac{2t}{3t^2 - 3}$,$\frac{3t^2 + 3}{2t}$,B,$\frac{dy}{dx} = \frac{3t^2 - 3}{2t} = \frac{3}{2}\left(t - \frac{1}{t}\right)$.
Curvas,Ecuaciones paramétricas,medio,"Para la curva $x = t^2$, $y = t^3 - 3t$, ¿en que punto la tangente es vertical?","$(1, -2)$","$(1, 2)$","$(3, 0)$","$(0, 0)$",D,"Tangente vertical cuando $dx/dt = 2t = 0$, es decir $t = 0$. El punto es $(0, 0)$."
Curvas,Ecuaciones paramétricas,medio,La segunda derivada $\frac{d^2y}{dx^2}$ para una curva parametrica se calcula como:,$\frac{\frac{d}{dt}\left(\frac{dy}{dx}\right)}{\frac{dx}{dt}}$,$\frac{d}{dt}\left(\frac{dy}{dx}\right)$,$\frac{g''(t)}{f''(t)}$,$\frac{d^2y/dt^2}{d^2x/dt^2}$,A,"La formula correcta es $\frac{d^2y}{dx^2} = \frac{d}{dt}(dy/dx) \div \frac{dx}{dt}$, aplicando la regla de la cadena."
Curvas,Ecuaciones paramétricas,medio,"El area bajo la curva parametrica $x = f(t)$, $y = g(t)$ entre $t = \alpha$ y $t = \beta$ se calcula como:","$A = \int_{\alpha}^{\beta} g(t) \, dt$","$A = \int_{\alpha}^{\beta} f(t) g'(t) \, dt$","$A = \int_{\alpha}^{\beta} g(t) f'(t) \, dt$","$A = \int_{\alpha}^{\beta} f(t) g(t) \, dt$",C,"Por sustitucion: $A = \int y\,dx = \int_{\alpha}^{\beta} g(t) f'(t)\,dt$, donde $dx = f'(t)\,dt$."
Curvas,Ecuaciones paramétricas,medio,"¿Cual es el punto $(x,y)$ sobre la curva $x = 2\cos t$, $y = 2\sin t$ cuando $t = \frac{\pi}{4}$?","$(1, 1)$","$(\sqrt{3}, 1)$","$(2, 0)$","$(\sqrt{2}, \sqrt{2})$",D,"$x = 2\cos(\pi/4) = 2 \cdot \frac{\sqrt{2}}{2} = \sqrt{2}$, $y = 2\sin(\pi/4) = \sqrt{2}$."
Curvas,Ecuaciones paramétricas,medio,"La curva parametrica $x = a\cos t$, $y = b\sin t$ con $a \neq b$ y $0 \le t \le 2\pi$ describe:",Una circunferencia de radio $a$,Una elipse con semiejes $a$ y $b$,Una hiperbola con semiejes $a$ y $b$,"Una parabola con vertice en $(a, b)$",B,"Al eliminar $t$: $x^2/a^2 + y^2/b^2 = 1$, que es una elipse con semiejes $a$ y $b$."
Curvas,Ecuaciones paramétricas,medio,"Para la curva $x = t^2$, $y = t^3 - 3t$, ¿en que puntos la tangente es horizontal?","$(0, 0)$","$(3, 0)$","$(1, 0)$ y $(9, 0)$","$(1, -2)$ y $(1, 2)$",D,"Tangente horizontal cuando $dy/dt = 3t^2 - 3 = 0$, es decir $t = \pm 1$. Para $t=1$: $(1,-2)$; para $t=-1$: $(1,2)$."
