capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,¿Cuál es la forma general de una ecuación diferencial lineal de segundo orden?,$A(x)y'' + B(x)y' + C(x)y = F(x)$,$y'' = y y'$,$y' + p(x)y = f(x)$,$y'' + 3(y')^2 + 4y^3 = 0$,A,"Por definición, una EDO lineal de segundo orden se escribe como combinación lineal de $y$, $y'$ e $y''$ con coeficientes que pueden depender de $x$."
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,Una EDO lineal $A(x)y'' + B(x)y' + C(x)y = F(x)$ se llama homogénea cuando:,$A(x)=0$,$F(x)=0$,$B(x)=C(x)$,$y=0$,B,El término homogéneo hace referencia a la ausencia del término independiente $F(x)$; la ecuación queda $A(x)y''+B(x)y'+C(x)y=0$.
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,¿Cuál es la ecuación homogénea asociada a $x^2 y'' + 2x y' + 3y = \cos x$?,$x^2 y'' + 2x y' = 0$,$y'' + y' + y = 0$,$x^2 y'' + 2x y' + 3y = 0$,$x^2 y'' + 3y = \cos x$,C,La ecuación homogénea asociada se obtiene reemplazando el término no homogéneo $F(x)$ por $0$ y conservando el resto.
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,La EDO que modela las vibraciones libres de una masa sujeta a un resorte y a un amortiguador (sin fuerza externa) es:,$m x'' = F(t)$,$m x'' + k x = 0$,$x'' + c x + k = 0$,$m x'' + c x' + k x = 0$,D,Por segunda ley de Newton con fuerzas de resorte $-kx$ y amortiguador $-c x'$ se obtiene $m x'' + c x' + k x = 0$.
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,¿Cuál par de funciones es linealmente dependiente en $\mathbb{R}$?,$\operatorname{sen}(2x)$ y $2\operatorname{sen} x\cos x$,$\operatorname{sen} x$ y $\cos x$,$e^x$ y $xe^x$,$x$ y $x^2$,A,"Por la identidad $\operatorname{sen}(2x)=2\operatorname{sen} x\cos x$, una función es múltiplo constante (igual a $1$) de la otra, así que son linealmente dependientes."
EDO de Orden Superior,"Modelos, existencia y unicidad",facil,¿Cuál de las siguientes NO es una EDO lineal?,$e^x y'' + (\cos x) y' + y = \tan^{-1}(x)$,$y'' = y y'$,$x^2 y'' + 2x y' + 3 y = 0$,$y'' + y = 0$,B,"En $y''=y y'$ aparece el producto entre $y$ y $y'$, por lo que la ecuación no es lineal en la variable dependiente."
EDO de Orden Superior,"Modelos, existencia y unicidad",medio,"Según el principio de superposición para EDO lineales homogéneas, si $y_1$ e $y_2$ son soluciones, entonces $c_1 y_1 + c_2 y_2$ es:",Solución solo si $c_1=c_2=1$,Solución únicamente si la EDO es no homogénea,"Solución de la misma EDO para cualesquiera constantes $c_1,c_2$","En general, no es solución",C,El principio de superposición para EDO lineales homogéneas garantiza que cualquier combinación lineal de soluciones también es solución.
EDO de Orden Superior,"Modelos, existencia y unicidad",medio,Las funciones $f(x)\equiv 0$ y $g(x)=\operatorname{sen} x$ son:,Linealmente independientes en todo intervalo,Independientes solo si $x\neq 0$,Soluciones de la misma ecuación $y''+y=0$,Linealmente dependientes en todo intervalo,D,"Como $0\cdot g(x)=0=f(x)$, existe una combinación no trivial que las anula, por lo que son linealmente dependientes."
EDO de Orden Superior,"Modelos, existencia y unicidad",medio,"Para $y''+y=0$, dada la solución general $y=c_1\cos x + c_2\operatorname{sen} x$, la solución que cumple $y(0)=0$ e $y'(0)=1$ es:",$y(x)=\operatorname{sen} x$,$y(x)=\cos x$,$y(x)=\cos x + \operatorname{sen} x$,$y(x)=-\operatorname{sen} x$,A,"$y(0)=c_1=0$ y $y'(0)=c_2=1$, entonces $y(x)=\operatorname{sen} x$."
EDO de Orden Superior,"Modelos, existencia y unicidad",medio,El teorema de existencia y unicidad para $y''+p(x)y'+q(x)y=f(x)$ garantiza solución única en un intervalo $I$ si:,$f(x)=0$ en $I$,"$p,q,f$ son continuas en $I$ (abierto que contiene al punto inicial)",$y(a)=y'(a)$,$p=q$,B,"El teorema requiere la continuidad de los coeficientes $p,q$ y del término no homogéneo $f$ en un intervalo abierto que contenga al punto donde se imponen las condiciones iniciales."
