capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Integrales de Línea,Campos vectoriales y escalares,facil,Un campo escalar es una función que asigna a cada punto del espacio:,Un número real,Un vector,Una matriz,Un par ordenado,A,"Por definición, un campo escalar asigna un número real a cada punto, como la temperatura o la presión."
Integrales de Línea,Campos vectoriales y escalares,facil,"Si $\vec{F}(x,y) = x^2\,\hat{i} + xy\,\hat{j}$, entonces $\vec{F}(1,2)$ es:",$\hat{i} + \hat{j}$,$\hat{i} + 2\hat{j}$,$2\hat{i} + \hat{j}$,$2\hat{i} + 2\hat{j}$,B,"Se evalúa $P(1,2) = 1^2 = 1$ y $Q(1,2) = (1)(2) = 2$, dando $\vec{F}(1,2) = \hat{i} + 2\hat{j}$."
Integrales de Línea,Campos vectoriales y escalares,facil,"El gradiente de $f(x,y) = x^2 y - y^3$ es:","$(2x - 3y^2)\,\hat{i} + (x^2)\,\hat{j}$","$(x^2)\,\hat{i} + (2xy - 3y^2)\,\hat{j}$","$(2xy)\,\hat{i} + (x^2 - 3y^2)\,\hat{j}$","$(2xy)\,\hat{i} + (x^2 + 3y^2)\,\hat{j}$",C,$\frac{\partial f}{\partial x} = 2xy$ y $\frac{\partial f}{\partial y} = x^2 - 3y^2$.
Integrales de Línea,Campos vectoriales y escalares,facil,"Un campo vectorial en $\mathbb{R}^2$ es una función que asigna a cada punto $(x,y)$:",Un número real,Una función escalar,Un escalar independiente de la posición,Un vector bidimensional,D,"Por definición, un campo vectorial en $\mathbb{R}^2$ asigna a cada punto un vector del plano."
Integrales de Línea,Campos vectoriales y escalares,facil,"Si $f(x,y) = x^2 + 3xy$, el valor de $\nabla f(1,2)$ es:","$(8, 3)$","$(3, 8)$","$(2, 3)$","$(8, 6)$",A,"$\frac{\partial f}{\partial x} = 2x + 3y = 8$ y $\frac{\partial f}{\partial y} = 3x = 3$ evaluados en $(1,2)$."
Integrales de Línea,Campos vectoriales y escalares,facil,"¿Cuál de las siguientes expresiones corresponde al gradiente de una función escalar $f(x,y)$?",$\frac{\partial f}{\partial x} + \frac{\partial f}{\partial y}$,"$\frac{\partial f}{\partial x}\,\hat{i} + \frac{\partial f}{\partial y}\,\hat{j}$",$\frac{\partial^2 f}{\partial x \partial y}$,$\frac{\partial f}{\partial x} \cdot \frac{\partial f}{\partial y}$,B,"El gradiente se define como $\nabla f = \frac{\partial f}{\partial x}\,\hat{i} + \frac{\partial f}{\partial y}\,\hat{j}$, un campo vectorial formado por las derivadas parciales."
Integrales de Línea,Campos vectoriales y escalares,medio,"El gradiente de $f(x,y,z) = x^2 yz + xz^3$ es:","$(2xyz + z^3)\,\hat{i} + (x^2 z)\,\hat{j} + (x^2 y + xz^2)\,\hat{k}$","$(2xy + z^3)\,\hat{i} + (x^2 z)\,\hat{j} + (x^2 y + 3xz^2)\,\hat{k}$","$(2xyz + z^3)\,\hat{i} + (x^2 z)\,\hat{j} + (x^2 y + 3xz^2)\,\hat{k}$","$(2xyz + 3z^2)\,\hat{i} + (x^2 z)\,\hat{j} + (x^2 y + z^3)\,\hat{k}$",C,"$f_x = 2xyz + z^3$, $f_y = x^2 z$, $f_z = x^2 y + 3xz^2$."
Integrales de Línea,Campos vectoriales y escalares,medio,"¿Es el campo $\vec{F}(x,y) = y^2\,\hat{i} + 2xy\,\hat{j}$ conservativo?","No, porque $\frac{\partial P}{\partial y} \neq \frac{\partial Q}{\partial x}$","No, porque $\vec{F}$ no es continuo","Sí, porque $\frac{\partial P}{\partial x} = \frac{\partial Q}{\partial y}$","Sí, porque $\frac{\partial P}{\partial y} = \frac{\partial Q}{\partial x} = 2y$",D,"$\frac{\partial P}{\partial y} = 2y$ y $\frac{\partial Q}{\partial x} = 2y$; como son iguales y el dominio es $\mathbb{R}^2$, el campo es conservativo."
Integrales de Línea,Campos vectoriales y escalares,medio,La función potencial del campo gravitacional $\vec{F}(\vec{x}) = -\frac{mMG}{\lVert\vec{x}\rVert^3}\vec{x}$ es:,$f = -\frac{mMG}{\sqrt{x^2+y^2+z^2}}$,$f = \frac{mMG}{\sqrt{x^2+y^2+z^2}}$,$f = -\frac{mMG}{x^2+y^2+z^2}$,$f = -mMG\sqrt{x^2+y^2+z^2}$,A,"La función potencial es $f = -\frac{mMG}{\sqrt{x^2+y^2+z^2}}$, ya que $\nabla f = \vec{F}$."
Integrales de Línea,Campos vectoriales y escalares,medio,"Si $Q > 0$, las líneas del campo eléctrico $\vec{E}(\vec{x}) = \frac{Q}{\lVert\vec{x}\rVert^3}\vec{x}$:",Apuntan hacia el origen,Apuntan hacia afuera del origen,Son paralelas al eje $x$,Forman círculos alrededor del origen,B,"Cuando $Q > 0$, el factor $\frac{Q}{\lVert\vec{x}\rVert^3}$ es positivo, por lo que $\vec{E}$ apunta en la misma dirección que $\vec{x}$, es decir, hacia afuera (repulsión)."
Integrales de Línea,Campos vectoriales y escalares,medio,"¿Es el campo $\vec{F}(x,y) = (x + y)\,\hat{i} + (x + y)\,\hat{j}$ conservativo?","No, porque $P = Q$","No, porque $\frac{\partial P}{\partial y} \neq \frac{\partial Q}{\partial x}$","Sí, porque $\frac{\partial P}{\partial y} = \frac{\partial Q}{\partial x} = 1$",No se puede determinar,C,"$\frac{\partial P}{\partial y} = 1$ y $\frac{\partial Q}{\partial x} = 1$; como coinciden en todo $\mathbb{R}^2$, el campo es conservativo."
Integrales de Línea,Campos vectoriales y escalares,medio,"El gradiente $\nabla f(0, \frac{\pi}{2})$ de $f(x,y) = e^x \sin y$ es:","$(1, 1)$","$(0, 1)$","$(e, 0)$","$(1, 0)$",D,"$f_x = e^x \sin y = 1$ y $f_y = e^x \cos y = 0$ evaluados en $(0, \frac{\pi}{2})$."
