capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Polinomios,Algoritmo de la división,facil,"¿Cuál es el grado del polinomio $P(x) = 4x^5 - 3x^2 + 7$?",$3$,$5$,$7$,$4$,B,"El grado es el mayor exponente con coeficiente no nulo. En $P(x) = 4x^5 - 3x^2 + 7$ el mayor es $x^5$, luego $\text{grad}(P) = 5$."
Polinomios,Algoritmo de la división,facil,"Identifique el coeficiente principal y el coeficiente constante de $P(x) = -2x^3 + x^2 - 5x + 8$.","Principal $-2$, constante $8$","Principal $8$, constante $-2$","Principal $-2$, constante $-5$","Principal $1$, constante $8$",A,"El coeficiente principal acompaña la potencia mayor ($x^3 \Rightarrow a_3 = -2$) y el constante es $a_0 = 8$."
Polinomios,Algoritmo de la división,facil,"¿Cuál de los siguientes polinomios pertenece a $\mathbb{Q}[x]$?","$P(x) = x^2 + \sqrt{3}\, x - 1$",$P(x) = \pi x + 5$,$P(x) = \tfrac{1}{2}x^2 - \tfrac{3}{4}x + 2$,$P(x) = x + e$,C,"Para estar en $\mathbb{Q}[x]$ todos los coeficientes deben ser racionales. $\tfrac{1}{2}$ y $-\tfrac{3}{4}$ son racionales; $\sqrt{3}$, $\pi$ y $e$ no lo son."
Polinomios,Algoritmo de la división,facil,"Si $\text{grad}(P) = 4$ y $\text{grad}(Q) = 3$, ¿cuánto vale $\text{grad}(P \cdot Q)$?",$4$,$7$,$12$,$3$,B,"Por la propiedad del grado del producto: $\text{grad}(P \cdot Q) = \text{grad}(P) + \text{grad}(Q) = 4 + 3 = 7$."
Polinomios,Algoritmo de la división,facil,"Sean $P(x) = 2x^3 + x$ y $Q(x) = -2x^3 + 5$. ¿Cuál es el grado de $P + Q$?",$3$,$1$,$0$,$5$,B,"Sumando: $P + Q = (2x^3 - 2x^3) + x + 5 = x + 5$. Los términos $x^3$ se cancelaron y el grado bajó a $1$."
Polinomios,Algoritmo de la división,facil,"En el Algoritmo de la División $P = D \cdot Q + R$, ¿qué condición debe cumplir el resto $R$?",$\text{grad}(R) > \text{grad}(D)$,$\text{grad}(R) = \text{grad}(D)$,$\text{grad}(R) < \text{grad}(D)$ o $R \equiv 0$,$\text{grad}(R) = \text{grad}(P)$,C,"La condición de unicidad del algoritmo es $\text{grad}(R) < \text{grad}(D)$, o bien $R \equiv 0$."
Polinomios,Algoritmo de la división,facil,"Al dividir un polinomio por uno **lineal** ($\text{grad}(D) = 1$), ¿qué grado puede tener el resto?",Grado $0$ o $R \equiv 0$,Grado $1$,Grado $2$ o más,Cualquier grado,A,"Como $\text{grad}(R) < \text{grad}(D) = 1$, el resto debe tener grado $0$ (constante no nula) o ser el polinomio cero."
Polinomios,Algoritmo de la división,facil,"Si $P(x) = D(x) \cdot Q(x) + R(x)$ con $\text{grad}(P) = 7$ y $\text{grad}(D) = 2$, ¿cuál es $\text{grad}(Q)$?",$5$,$9$,$2$,$7$,A,"$\text{grad}(Q) = \text{grad}(P) - \text{grad}(D) = 7 - 2 = 5$ (siempre que $\text{grad}(R) < \text{grad}(D)$)."
Polinomios,Algoritmo de la división,facil,"¿Cuál afirmación sobre el polinomio cero $P(x) = 0$ es **correcta**?",Tiene grado $0$,No tiene grado asociado,Tiene grado $-1$,Tiene grado $\infty$,B,"Por convención el polinomio cero **no tiene grado**. Grado $0$ está reservado para constantes no nulas."
Polinomios,Algoritmo de la división,medio,"Calcule el cociente y el resto al dividir $P(x) = x^2 + 5x + 6$ entre $D(x) = x + 2$.","$Q(x) = x + 3$, $R = 0$","$Q(x) = x - 3$, $R = 0$","$Q(x) = x + 7$, $R = -8$","$Q(x) = x + 3$, $R = 6$",A,"Aplicando división larga: $x^2 / x = x$, resto parcial $3x + 6$; $3x / x = 3$, resto $0$. Luego $Q(x) = x + 3$, $R = 0$."
Polinomios,Algoritmo de la división,medio,"Calcule $Q(x)$ y $R(x)$ al dividir $P(x) = 2x^3 - 3x^2 + 4x - 5$ entre $D(x) = x - 1$.","$Q(x) = 2x^2 - x + 3$, $R = -2$","$Q(x) = 2x^2 - x + 3$, $R = -8$","$Q(x) = 2x^2 + x + 5$, $R = 0$","$Q(x) = 2x^2 - 5x + 9$, $R = -14$",A,"División larga paso a paso: cociente $2x^2 - x + 3$ y resto $-2$. Verificación: $(x-1)(2x^2 - x + 3) - 2 = 2x^3 - 3x^2 + 4x - 5$ ✓."
