capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Funciones Exponencial y Logarítmica,Función exponencial,facil,"¿Cuál es la definición rigurosa de $e^x$?",$e^x = \lim_{n\to\infty} (1 + x/n)^n$,$e^x = e \cdot x$,$e^x = x \cdot e$,$e^x = \sum 1/n!$,A,"$e^x$ se define como límite de la sucesión $(1 + x/n)^n$, generalizando la definición de $e$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"¿Cuál es el dominio de $e^x$?",$\mathbb{R}$,"$(0, +\infty)$","$[0, +\infty)$",$\mathbb{R} \setminus \{0\}$,A,"$e^x$ está definida para todo $x \in \mathbb{R}$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"¿Cuál es el recorrido de $e^x$?",$\mathbb{R}$,"$(0, +\infty)$","$[0, +\infty)$","$(-\infty, 0)$",B,"$e^x > 0$ siempre, y alcanza todo positivo. Recorrido: $(0, +\infty)$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"La desigualdad fundamental de la exponencial es:",$e^x \leq 1 - x$,$e^x \geq 1 + x$,$e^x = 1 + x$ siempre,$e^x < x$,B,"$e^x \geq 1 + x$ para todo $x \in \mathbb{R}$, con igualdad solo en $x = 0$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"¿$e^x$ tiene ceros?","Sí, en $x = 0$","Sí, en $x = 1$",No,Sí en $x = -\infty$,C,"$e^x > 0$ siempre. No tiene ceros."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"$\lim_{x \to -\infty} e^x =$",$+\infty$,$-\infty$,$0$,$1$,C,"Eje $x$ es asíntota horizontal cuando $x \to -\infty$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"$\lim_{x \to +\infty} e^x =$",$+\infty$,$0$,$1$,$e$,A,"Crece sin cota."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"$e^0 =$",$0$,$1$,$e$,Indefinido,B,"$e^0 = 1$ por convención (y por la fórmula del límite con $x = 0$)."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"$e^{x+y} =$",$e^x + e^y$,$e^x \cdot e^y$,$e^{xy}$,$e^x / e^y$,B,"Propiedad fundamental de la exponencial: producto de potencias."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"$e^{-x} =$",$-e^x$,$1/e^x$,$e^x$,$0$,B,"$e^{-x} = e^{0-x} = e^0/e^x = 1/e^x$."
Funciones Exponencial y Logarítmica,Función exponencial,facil,"La función exponencial es:",Estrictamente creciente,Estrictamente decreciente,Constante,Periódica,A,"$x < y \Rightarrow e^x < e^y$. Inyectiva por crecimiento estricto."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"$e^x = e^y$ implica:",$x = y$,$x = -y$,Imposible,$x \cdot y = 1$,A,"Inyectividad: la exponencial es inyectiva por ser estrictamente creciente."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"Resuelva $e^{2x - 1} > e^{x + 3}$.",$x > 4$,$x < 4$,$x > -4$,$\mathbb{R}$,A,"Por inyectividad y crecimiento estricto: $2x - 1 > x + 3 \iff x > 4$."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"¿Cuál es la asíntota horizontal de $g(x) = e^{-x}$?",$y = 0$,$y = 1$,$y = e$,No tiene,A,"$\lim_{x\to+\infty} e^{-x} = 0$. Asíntota horizontal $y = 0$."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"$g(x) = e^{-x}$ es:",Estrictamente creciente,Estrictamente decreciente,Constante,Acotada,B,"Composición $e \circ (-x)$: la negación invierte la monotonía. $e^{-x}$ decrece."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"Para la función logística $h(x) = \dfrac{10}{1 + e^{-x}}$, ¿cuál es el límite cuando $x \to +\infty$?",$0$,$5$,$10$,$+\infty$,C,"$e^{-x} \to 0$, luego $h(x) \to 10/(1+0) = 10$."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"En la función logística $h(x) = 10 / (1 + e^{-x})$, $h(0) =$",$0$,$5$,$10$,$1$,B,"$h(0) = 10/(1 + e^0) = 10/2 = 5$."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"En el modelo de propagación $v(t) = \dfrac{10000}{5 + 1245 e^{-0.97t}}$, $v(0) =$",$10000$,$8$,$2000$,$0$,B,"$v(0) = 10000/(5 + 1245) = 10000/1250 = 8$."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"Aplicando la desigualdad fundamental con $x = 0.5$, ¿se cumple $e^{0.5} \geq 1.5$?",Sí,No,Solo aproximadamente,Solo si $x > 1$,A,"$e^{0.5} \approx 1.649 \geq 1.5 = 1 + 0.5$. La desigualdad se cumple estrictamente (igualdad solo en $x = 0$)."
Funciones Exponencial y Logarítmica,Función exponencial,medio,"$(e^x)^z =$",$e^x \cdot z$,$e^{x+z}$,$e^{xz}$,$z^{e^x}$,C,"Propiedad de potencia: $(a^m)^n = a^{mn}$."
Funciones Exponencial y Logarítmica,Función exponencial,dificil,"Demuestre $e^x > x$ para todo $x \geq 0$ usando la desigualdad fundamental.",Es imposible,Por desigualdad fundamental: $e^x \geq 1 + x > x$,Por inducción,Solo es cierto para $x \in \mathbb{N}$,B,"Como $e^x \geq 1 + x$ y $1 + x > x$ siempre, se sigue $e^x > x$ para $x \geq 0$."
Funciones Exponencial y Logarítmica,Función exponencial,dificil,"En el modelo logístico, ¿qué representa la asíntota superior?",El valor inicial,La tasa de crecimiento,El valor de saturación (carga máxima),La pendiente máxima,C,"La asíntota superior es el valor que la función nunca supera — el techo del modelo."
Funciones Exponencial y Logarítmica,Función exponencial,dificil,"$\lim_{x \to 0} \dfrac{e^x - 1}{x}$ es:",$0$,$1$,$e$,No existe,B,"Resultado clásico (límite notable). Usando $e^x \geq 1 + x$ se acota por arriba."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(x)$ se define como:",Inversa de $e^x$,$1/e^x$,$x \cdot e$,$\log_{10}(x)$,A,"$\ln$ es la función inversa de la exponencial."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(1) =$",$0$,$1$,$e$,Indefinido,A,"$\ln(1) = 0$ porque $e^0 = 1$."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(e) =$",$0$,$1$,$e$,$1/e$,B,"$\ln(e) = 1$ porque $e^1 = e$."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"¿Cuál es el dominio de $\ln(x)$?",$\mathbb{R}$,"$(0, +\infty)$","$[0, +\infty)$","$(-\infty, 0)$",B,"$\ln$ está definido solo para argumentos estrictamente positivos."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"¿Cuál es el recorrido de $\ln(x)$?",$\mathbb{R}$,"$(0, +\infty)$","$[0, +\infty)$",$\mathbb{R}^+$,A,"Como inversa de $e^x: \mathbb{R} \to (0, +\infty)$, $\ln$ alcanza todo $\mathbb{R}$."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(xy) =$",$\ln(x) \cdot \ln(y)$,$\ln(x) + \ln(y)$,$\ln(x) - \ln(y)$,$\ln(x)/\ln(y)$,B,"Propiedad fundamental: producto a suma."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(x/y) =$",$\ln(x)/\ln(y)$,$\ln(x) + \ln(y)$,$\ln(x) - \ln(y)$,$\ln(x) \cdot \ln(y)$,C,"Cociente a diferencia."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(x^z) =$",$z \cdot \ln(x)$,$\ln(x)^z$,$x \cdot \ln(z)$,$\ln(x \cdot z)$,A,"Potencia sale como factor."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(e^x) =$",$x$,$e^x$,$1$,$0$,A,"$\ln$ y $\exp$ son inversas: cancelan."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$e^{\ln x} =$ (para $x > 0$)",$x$,$\ln x$,$e^x$,$1$,A,"Cancelación inversa-función."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$\ln(x) > 0$ si y solo si:",$x > 0$,$x > 1$,$0 < x < 1$,$x = e$,B,"$\ln$ creciente y $\ln(1) = 0$, luego $\ln(x) > 0$ exactamente cuando $x > 1$."
Funciones Exponencial y Logarítmica,Función logarítmica,facil,"$a^x$ con $a > 0$, $a \neq 1$ se define como:",$\exp(x \ln a)$,$x \cdot a$,$a + x$,$x^a$,A,"Definición: $a^x = e^{x \ln a}$. Extiende potencias a exponentes reales."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Simplifique $\ln(8) - \ln(2) + \ln(5)$.",$\ln(20)$,$\ln(11)$,$\ln(80)$,$\ln(2)$,A,"$\ln(8) - \ln(2) = \ln(4)$. Sumando: $\ln(4) + \ln(5) = \ln(20)$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Exprese $\ln(x^2 \sqrt{y})$ como suma de logaritmos.",$2\ln x + \tfrac{1}{2} \ln y$,$\ln x + \ln y$,$2\ln x \cdot \tfrac{1}{2} \ln y$,$\ln x + 2\ln y$,A,"$\ln(x^2 \sqrt{y}) = \ln(x^2) + \ln(y^{1/2}) = 2\ln x + \tfrac{1}{2}\ln y$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"La desigualdad fundamental del logaritmo natural es:",$\ln(x) \leq x - 1$,$\ln(x) \geq x + 1$,$\ln(x) = x - 1$,$\ln(x) \leq 1/x$,A,"$\ln(x) \leq x - 1$ para todo $x > 0$, igualdad solo en $x = 1$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Calcule $\log_2(8)$.",$2$,$3$,$4$,$8$,B,"$2^3 = 8 \Rightarrow \log_2(8) = 3$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Calcule $\log_5(1/25)$.",$-2$,$2$,$-1/25$,$0$,A,"$5^{-2} = 1/25$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Fórmula de cambio de base: $\log_a(x) =$",$\ln(a)/\ln(x)$,$\ln(x)/\ln(a)$,$\ln(x)\ln(a)$,$\ln(x) + \ln(a)$,B,"$\log_a(x) = \ln(x)/\ln(a)$. Permite expresar todo en logaritmo natural."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"En el modelo $N(t) = N_0 e^{\lambda t}$, despejar $t$ da:",$t = \tfrac{1}{\lambda} \ln(N/N_0)$,$t = \lambda \cdot N_0$,$t = N_0/\lambda$,$t = \ln(\lambda N)$,A,"Aplicar $\ln$ a $N/N_0 = e^{\lambda t}$: $\lambda t = \ln(N/N_0)$, despejar $t$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Una bacteria crece al $5\%$/hora desde $400$. ¿Cuántas horas para alcanzar $10000$?",$\ln(25) / 0.05$,$25 \cdot 0.05$,$10000 / 400$,$5 / 0.05$,A,"$N(t) = 400 e^{0.05 t} = 10000 \iff e^{0.05 t} = 25 \iff t = \ln(25)/0.05 \approx 64$ horas."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"Si una sustancia tiene vida media de 10 años, $\lambda =$",$-\ln(2)/10$,$\ln(2)/10$,$1/10$,$2/10$,A,"$M(10) = M_0/2 \iff e^{10\lambda} = 1/2 \iff 10\lambda = -\ln 2 \iff \lambda = -\ln 2 /10$."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"$\log_a(1) =$",$0$,$1$,$a$,$\log_a(a)$,A,"$\log_a(1) = \ln(1)/\ln(a) = 0$ para todo $a$ válido."
Funciones Exponencial y Logarítmica,Función logarítmica,medio,"$\log_a(a) =$",$0$,$1$,$a$,$\ln(a)$,B,"$\log_a(a) = \ln(a)/\ln(a) = 1$."
Funciones Exponencial y Logarítmica,Función logarítmica,dificil,"$a^x$ es estrictamente decreciente cuando:",$a > 1$,$0 < a < 1$,$a = 1$,$a < 0$,B,"$a^x = e^{x \ln a}$. Si $0 < a < 1$, $\ln a < 0$, luego $x \ln a$ es decreciente."
Funciones Exponencial y Logarítmica,Función logarítmica,dificil,"Pruebe que $\ln(n+1) > \dfrac{1}{n+1}$. La técnica clave es:",Aplicar desigualdad fundamental $\ln(x) \geq 1 - 1/x$ con $x = n+1$,Inducción matemática,Cambio de variable,Es falso,A,"$\ln(n+1) \geq 1 - 1/(n+1) = n/(n+1) > 1/(n+1)$ para $n \geq 1$."
Funciones Exponencial y Logarítmica,Función logarítmica,dificil,"Resuelva $3^{2x-1} = 5^{x+2}$ usando logaritmos.",$x = \dfrac{2 \ln 5 + \ln 3}{2 \ln 3 - \ln 5}$,$x = \ln(5/3)$,$x = 5 - 3$,$x = \log_3(5)$,A,"Aplicando $\ln$: $(2x-1)\ln 3 = (x+2)\ln 5 \iff 2x\ln 3 - x\ln 5 = 2\ln 5 + \ln 3 \iff x(2\ln 3 - \ln 5) = 2\ln 5 + \ln 3$."
Funciones Exponencial y Logarítmica,Función logarítmica,dificil,"Si una población se duplica cada 3 horas, ¿cuántas horas para multiplicarse por 10?",$3 \log_2(10)$,$3 \cdot 10$,$\log_{10}(3)$,$10 \cdot 3$,A,"$N(t) = N_0 \cdot 2^{t/3}$. $2^{t/3} = 10 \iff t/3 = \log_2(10) \iff t = 3\log_2(10) \approx 9.97$ horas."
Funciones Exponencial y Logarítmica,Ecuaciones exponenciales y logarítmicas,facil,"Para resolver $a^x = a^y$, ¿qué propiedad usamos?",Inyectividad de $a^x$,Aditividad,Cancelación,Desigualdad triangular,A,"$a^x = a^y \iff x = y$ por inyectividad de la función exponencial."
Funciones Exponencial y Logarítmica,Ecuaciones exponenciales y logarítmicas,facil,"Resuelva $2^x = 32$.",$x = 4$,$x = 5$,$x = 6$,$x = 16$,B,"$32 = 2^5$, luego $x = 5$."
Funciones Exponencial y Logarítmica,Ecuaciones exponenciales y logarítmicas,facil,"Resuelva $3^{x+1} = 81$.",$x = 3$,$x = 4$,$x = 81$,$x = 27$,A,"$81 = 3^4 \iff 3^{x+1} = 3^4 \iff x + 1 = 4 \iff x = 3$."
Funciones Exponencial y Logarítmica,Ecuaciones exponenciales y logarítmicas,facil,"Después de hacer cambio de variable $u = a^x$, ¿qué condición debe cumplir $u$?",$u > 0$,$u < 0$,$u = 0$,$u \in \mathbb{Z}$,A,"$a^x > 0$ siempre, así que $u > 0$. Soluciones nulas o negativas se descartan."
