capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,¿Cuántos axiomas debe satisfacer un conjunto $V$ con suma y producto por escalar para ser un espacio vectorial sobre $\mathbb{R}$?,8,10,6,12,B,"La definición de espacio vectorial exige exactamente 10 axiomas: cierre de la suma, conmutatividad, asociatividad, elemento neutro aditivo, inverso aditivo, cierre del producto por escalar, dos distributividades, compatibilidad y la identidad escalar $1\mathbf{u} = \mathbf{u}$."
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,"Sea $V$ un espacio vectorial. Si $\mathbf{u} \in V$, ¿cuál es el resultado de $0\mathbf{u}$?",$\mathbf{u}$,$-\mathbf{u}$,$\mathbf{0}$,$2\mathbf{u}$,C,Es una propiedad inmediata de los axiomas: el escalar $0$ multiplicado por cualquier vector produce el vector cero $\mathbf{0}$.
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,¿Cuál de las siguientes es una de las tres condiciones para que un subconjunto $H \subseteq V$ sea un subespacio vectorial?,$H$ debe contener exactamente dos vectores,$H$ debe ser un conjunto finito,$H$ debe contener al vector cero $\mathbf{0}$ de $V$,$H$ debe contener todos los vectores de $V$,C,"Las tres condiciones son: (a) $\mathbf{0} \in H$, (b) $H$ es cerrado bajo la suma, y (c) $H$ es cerrado bajo multiplicación por escalares."
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,"En el espacio vectorial $\mathbb{R}^n$, la operación de suma se define entrada a entrada como $(\mathbf{u} + \mathbf{v})_i = u_i + v_i$. ¿Cuál es el vector cero de $\mathbb{R}^3$?","$(1, 1, 1)$","$(0, 0, 0)$","$(0, 0)$","$(1, 0, 0)$",B,"El vector cero de $\mathbb{R}^3$ es $(0,0,0)$ ya que $\mathbf{u} + (0,0,0) = \mathbf{u}$ para todo $\mathbf{u} \in \mathbb{R}^3$."
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,Sea $V$ un espacio vectorial y $\mathbf{u} \in V$. ¿Qué vector resulta de $(-1)\mathbf{u}$?,$\mathbf{0}$,$\mathbf{u}$,$2\mathbf{u}$,$-\mathbf{u}$,D,"Es una propiedad inmediata de los axiomas: $(-1)\mathbf{u} = -\mathbf{u}$, es decir, el inverso aditivo de $\mathbf{u}$."
Espacios y Subespacios Vectoriales,Espacios vectoriales,facil,"El conjunto $\mathcal{P}_2$ de polinomios de grado menor o igual a $2$ con coeficientes reales, ¿es un espacio vectorial con la suma y el producto por escalar usuales?","Sí, porque cumple los 10 axiomas","No, porque no contiene al polinomio cero","No, porque no es cerrado bajo la suma","No, porque no es un subconjunto de $\mathbb{R}^n$",A,"$\mathcal{P}_2$ con la suma $(p+q)(t) = p(t)+q(t)$ y el producto por escalar $(cp)(t) = c\,p(t)$ satisface los 10 axiomas, por lo que es un espacio vectorial."
Espacios y Subespacios Vectoriales,Espacios vectoriales,medio,"Sea $V$ un espacio vectorial, $c \in \mathbb{R}$ y $\mathbf{u} \in V$. Si $c\mathbf{u} = \mathbf{0}$, ¿qué se puede concluir?",Necesariamente $c = 0$,Necesariamente $\mathbf{u} = \mathbf{0}$,$c = 0$ o $\mathbf{u} = \mathbf{0}$ (o ambos),$c = 1$ y $\mathbf{u} = \mathbf{0}$,C,"Es una propiedad inmediata de los axiomas: si $c\mathbf{u} = \mathbf{0}$, entonces $c = 0$ o $\mathbf{u} = \mathbf{0}$. No basta con una sola de las condiciones."
Espacios y Subespacios Vectoriales,Espacios vectoriales,medio,"Considere el conjunto $H = \{(s, t, 0) \in \mathbb{R}^3 : s, t \in \mathbb{R}\}$. ¿Es $H$ un subespacio de $\mathbb{R}^3$?","No, porque no contiene al vector $(0,0,0)$","Sí, porque contiene al cero, es cerrado bajo suma y bajo multiplicación por escalares","No, porque no es cerrado bajo la suma","No, porque sus elementos tienen la tercera componente fija en $0$",B,"$H$ contiene a $(0,0,0)$. Si $(s_1,t_1,0),(s_2,t_2,0) \in H$, su suma $(s_1+s_2,t_1+t_2,0) \in H$, y $c(s,t,0) = (cs,ct,0) \in H$. Cumple las tres condiciones."
Espacios y Subespacios Vectoriales,Espacios vectoriales,medio,"El conjunto $P = \{(x,y,z) \in \mathbb{R}^3 : x + y + z = 1\}$, ¿es un subespacio de $\mathbb{R}^3$?","Sí, porque es un plano en $\mathbb{R}^3$","Sí, porque es cerrado bajo la suma","No, porque no contiene al vector cero $(0,0,0)$","No, porque contiene infinitos vectores",C,"El vector $(0,0,0)$ no satisface $0+0+0=1$, por lo que $(0,0,0) \notin P$. Al no contener al vector cero, $P$ no puede ser subespacio."
Espacios y Subespacios Vectoriales,Espacios vectoriales,medio,¿Cuál de los siguientes conjuntos NO es un espacio vectorial con las operaciones usuales?,$\mathbb{R}^4$,$\mathcal{P}_3$ (polinomios de grado $\leq 3$),$\mathbb{R}^{2 \times 3}$ (matrices reales de $2 \times 3$),El conjunto de polinomios de grado exactamente $2$,D,"El conjunto de polinomios de grado exactamente $2$ no contiene al polinomio cero (que tiene grado indefinido o $-\infty$), por lo que no es cerrado bajo la suma ni es un espacio vectorial."
