capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Sucesiones,Límites y convergencia,facil,"Una sucesión es:","Cualquier conjunto de números reales","Una función con dominio $\mathbb{N}$","Un polinomio","Una función continua",B,"Una sucesión es una función $f: \mathbb{N} \to \mathbb{R}$. Sus valores son los términos."
Sucesiones,Límites y convergencia,facil,"En la definición ε-N de límite, ¿qué cuantificador estructura el orden?",Existe ε tal que para todo N,Para todo ε existe N,Existe N tal que para todo ε,Existe ε y existe N,B,"$\forall \varepsilon > 0 \, \exists N \, (n > N \Rightarrow |a_n - L| < \varepsilon)$. El $N$ depende de $\varepsilon$."
Sucesiones,Límites y convergencia,facil,"¿Cuál es el límite de la sucesión $a_n = 1/n$?",$0$,$1$,$\infty$,No tiene límite,A,"$1/n \to 0$ por la propiedad arquimediana."
Sucesiones,Límites y convergencia,facil,"La propiedad arquimediana establece que:","$\mathbb{N}$ no está acotado superiormente","$\mathbb{N}$ es finito","$\mathbb{N}$ contiene a $\mathbb{R}$","Todo real es natural",A,"Para todo $a \in \mathbb{R}$ existe $n \in \mathbb{N}$ con $a < n$. Equivalente a que $\mathbb{N}$ no está acotado."
Sucesiones,Límites y convergencia,facil,"Una sucesión convergente es:","Aquella que está acotada","Aquella que tiene límite finito","Aquella que es creciente","Aquella que es periódica",B,"Una sucesión converge si posee límite. En caso contrario, diverge."
Sucesiones,Límites y convergencia,facil,"Si $\lim a_n = L$, ¿el límite es único?","Sí, siempre","No, puede haber varios","Solo si la sucesión es monótona","Solo si la sucesión es positiva",A,"Teorema de unicidad: el límite, cuando existe, es único."
Sucesiones,Límites y convergencia,facil,"Si $\lim a_n = L$, entonces $\{a_n\}$ es:","Acotada","Monótona","Positiva","Periódica",A,"Toda sucesión convergente es acotada. El recíproco es FALSO."
Sucesiones,Límites y convergencia,facil,"¿Cuál sucesión es acotada pero divergente?",$a_n = n$,$a_n = 1/n$,$a_n = (-1)^n$,$a_n = n^2$,C,"$(-1)^n$ alterna entre $-1$ y $1$, está acotada por $1$ pero no converge."
Sucesiones,Límites y convergencia,medio,"Demuestre que $\lim (3 + 2/n) = 3$. ¿Cuál es la condición a despejar?",$|a_n - 3| < \varepsilon$,$|a_n + 3| < \varepsilon$,$|a_n| > N$,$a_n > 0$,A,"$|a_n - L| = |3 + 2/n - 3| = 2/n < \varepsilon \iff n > 2/\varepsilon$."
Sucesiones,Límites y convergencia,medio,"Si $\{a_n\}$ no está acotada, entonces:","$\{a_n\}$ converge","$\{a_n\}$ diverge","$\{a_n\}$ es creciente","Nada se puede afirmar",B,"Criterio de divergencia (contrarrecíproco de \"convergente $\Rightarrow$ acotada\")."
Sucesiones,Límites y convergencia,medio,"¿Cuál es el límite de la sucesión constante $a_n = c$?",$c$,$0$,$\infty$,$1$,A,"$|a_n - c| = 0 < \varepsilon$ para todo $n$, así que cualquier $N$ sirve. Límite $= c$."
Sucesiones,Límites y convergencia,medio,"Para demostrar $\lim \dfrac{n}{n+1} = 1$, $|a_n - 1|$ es igual a:","$\dfrac{1}{n+1}$","$\dfrac{n}{n+1}$","$1$","$\dfrac{n}{n+1} - 1$",A,"$\dfrac{n}{n+1} - 1 = \dfrac{-1}{n+1}$, valor absoluto $= \dfrac{1}{n+1}$."
Sucesiones,Límites y convergencia,medio,"En la prueba ε-N de $\lim 1/n^p = 0$ ($p > 0$), la condición $1/n^p < \varepsilon$ equivale a:",$n > 1/\varepsilon^{1/p}$,$n < \varepsilon^p$,$n^p < \varepsilon$,$n > \varepsilon \cdot p$,A,"$1/n^p < \varepsilon \iff n^p > 1/\varepsilon \iff n > (1/\varepsilon)^{1/p}$."
Sucesiones,Límites y convergencia,medio,"¿Por qué el recíproco \"acotada $\Rightarrow$ convergente\" es falso?","Por $a_n = (-1)^n$","Por $a_n = n$","Por $a_n = 1/n$","Es verdadero",A,"$(-1)^n$ es acotada ($|a_n| = 1$) pero diverge — oscila sin acumular en un punto."
Sucesiones,Límites y convergencia,dificil,"En la demostración de unicidad del límite, ¿qué $\varepsilon$ se elige?",$\varepsilon = |L - M|$,$\varepsilon = |L - M| / 2$,$\varepsilon = 1$,$\varepsilon$ arbitrario,B,"Eligiendo $\varepsilon < |L-M|/2$ los intervalos $(L-\varepsilon, L+\varepsilon)$ y $(M-\varepsilon, M+\varepsilon)$ son disjuntos."
Sucesiones,Operaciones con límites,facil,"Si $\lim a_n = 0$ y $\{b_n\}$ está acotada, entonces $\lim a_n b_n =$",$0$,$\infty$,$1$,Indeterminado,A,"Teorema producto nula × acotada → 0. NO requiere convergencia de $b_n$, solo acotación."
Sucesiones,Operaciones con límites,facil,"Calcule $\lim_{n\to\infty} \dfrac{\sin(n)}{n}$.",$0$,$1$,$\infty$,No existe,A,"$\sin(n)$ acotada, $1/n \to 0$. Por producto nula × acotada: $0$."
Sucesiones,Operaciones con límites,facil,"Si $\lim a_n = L$ y $\lim b_n = M$, $\lim (a_n + b_n) =$",$L + M$,$LM$,$L/M$,"$\max(L,M)$",A,"Álgebra de límites: la suma converge a la suma de los límites."
Sucesiones,Operaciones con límites,facil,"Si $\lim a_n = L$ y $\lim b_n = M \neq 0$, $\lim a_n / b_n =$",$LM$,$L + M$,$L/M$,$L - M$,C,"Cociente: $L/M$ siempre que el límite del denominador sea no nulo."
Sucesiones,Operaciones con límites,facil,"$\lim_{n\to\infty} 1/n^2 =$",$0$,$\infty$,$1$,$1/2$,A,"$1/n^p \to 0$ para todo $p > 0$. Aquí $p = 2$."
Sucesiones,Operaciones con límites,facil,"Para calcular $\lim \dfrac{P(n)}{Q(n)}$ con polinomios, se amplifica por:",$1/n^p$ con $p = \text{grad}(Q)$,$1/n$ siempre,$Q(n)$,$P(n)$,A,"Dividir por $1/n^p$ con $p$ igual al grado del denominador."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{2n^2 + 1}{n^2 - 3}$.",$2$,$0$,$\infty$,$-1/3$,A,"Grados iguales (2 y 2). Límite = cociente de coeficientes líder = $2/1 = 2$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{n^2 + 1}{n^3 - 5}$.",$0$,$1$,$\infty$,$-1/5$,A,"Grado num (2) < grado den (3). Límite $= 0$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{n^3 - n}{n^2 + 4}$.",$+\infty$,$0$,$1$,$-1/4$,A,"Grado num (3) > grado den (2). Diverge a $+\infty$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} (\sqrt{n+1} - \sqrt{n})$.",$0$,$1$,$\infty$,$1/2$,A,"Racionalizando: $\dfrac{1}{\sqrt{n+1} + \sqrt{n}} \to 0$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{\cos(n^2)}{n}$.",$0$,$1$,No existe,$1/n$,A,"$\cos(n^2)$ acotada, $1/n \to 0$. Por producto nula × acotada: $0$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{(-1)^n}{n^2 + 1}$.",$0$,$1$,No existe,$\pm 1$,A,"$(-1)^n$ acotada, $1/(n^2+1) \to 0$. Producto nula × acotada: $0$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \left(1 + \dfrac{2}{n}\right)$.",$1$,$2$,$3$,$0$,A,"Por álgebra: $\lim 1 + \lim 2/n = 1 + 0 = 1$."
Sucesiones,Operaciones con límites,medio,"Calcule $\lim_{n\to\infty} \dfrac{n^2}{n^3 + 2n^2 - 4}$ amplificando por $1/n^3$:",$0$,$1$,$\infty$,$1/2$,A,"$\dfrac{1/n}{1 + 2/n - 4/n^3} \to 0/1 = 0$."
Sucesiones,Operaciones con límites,dificil,"Calcule $\lim_{n\to\infty} (\sqrt{n^2 + n} - n)$.",$1/2$,$0$,$1$,$\infty$,A,"Racionalizando: $\dfrac{n}{\sqrt{n^2+n} + n} = \dfrac{1}{\sqrt{1 + 1/n} + 1} \to \dfrac{1}{1+1} = \dfrac{1}{2}$."
Sucesiones,Operaciones con límites,dificil,"Calcule $\lim_{n\to\infty} \dfrac{2^n - 1}{3^n + 1}$.",$0$,$2/3$,$1$,$\infty$,A,"Dividir por $3^n$: $\dfrac{(2/3)^n - (1/3)^n}{1 + (1/3)^n} \to \dfrac{0 - 0}{1 + 0} = 0$."
Sucesiones,Operaciones con límites,dificil,"Calcule $\lim_{n\to\infty} \dfrac{n + (-1)^n}{n^2 + 1}$.",$0$,$1$,No existe,$\infty$,A,"$\dfrac{n + (-1)^n}{n^2 + 1}$. Numerador acotado por $n + 1$, denominador $\sim n^2$. Por amplificación por $1/n^2$: $\to 0$."
Sucesiones,Teorema del Sandwich,facil,"El Teorema del Sandwich requiere que las cotas $a_n$ y $c_n$:",Tengan el mismo límite,Sean monótonas,Sean acotadas,Sean positivas,A,"$a_n \leq b_n \leq c_n$ con $\lim a_n = \lim c_n = L \Rightarrow \lim b_n = L$."
Sucesiones,Teorema del Sandwich,facil,"$\lim_{n\to\infty} \sqrt[n]{n} =$",$0$,$1$,$\infty$,$e$,B,"Resultado clásico demostrado vía Sandwich y Binomio de Newton."
Sucesiones,Teorema del Sandwich,facil,"$\lim_{n\to\infty} r^n = 0$ requiere:",$|r| < 1$,$|r| > 1$,$r > 0$,$r = 1$,A,"Si $|r| < 1$, $r^n \to 0$. Si $|r| > 1$, diverge. Si $|r| = 1$, depende del signo."
Sucesiones,Teorema del Sandwich,facil,"$\lim_{n\to\infty} \sqrt[n]{a}$ con $a > 0$ es:",$1$,$0$,$a$,$\infty$,A,"Para todo $a > 0$, la raíz $n$-ésima tiende a $1$."
Sucesiones,Teorema del Sandwich,facil,"¿Cuál cota es válida para $\sin(n^2)$?",$|\sin(n^2)| \leq 1$,$|\sin(n^2)| < n$,$|\sin(n^2)| > 0$,$\sin(n^2) > -2$,A,"La función seno está acotada por $1$ en valor absoluto."
