capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Transformada de Laplace,Transformada de Laplace e inversa,facil,"Usando la definicion, calcule $\mathcal{L}\{1\}$ para $t \geq 0$.","$\dfrac{1}{s}$, con $s>0$","$\dfrac{1}{s^2}$, con $s>0$","$s$, con $s>0$","$1$, con $s>0$",A,"Por definicion, $\mathcal{L}\{1\}=\int_0^\infty e^{-st}dt=\left[-\tfrac{1}{s}e^{-st}\right]_0^\infty=\tfrac{1}{s}$ si $s>0$."
Transformada de Laplace,Transformada de Laplace e inversa,facil,Calcule $\mathcal{L}\{e^{4t}\}$.,$\dfrac{1}{s+4}$,$\dfrac{1}{s-4}$,$\dfrac{4}{s^2-16}$,$\dfrac{s}{s^2+16}$,B,"De la tabla, $\mathcal{L}\{e^{at}\}=\tfrac{1}{s-a}$ para $s>a$. Con $a=4$ se obtiene $\tfrac{1}{s-4}$."
Transformada de Laplace,Transformada de Laplace e inversa,facil,Calcule $\mathcal{L}\{\sin(3t)\}$.,$\dfrac{s}{s^2+9}$,$\dfrac{3}{s^2-9}$,$\dfrac{3}{s^2+9}$,$\dfrac{s}{s^2-9}$,C,"De la tabla, $\mathcal{L}\{\sin(kt)\}=\tfrac{k}{s^2+k^2}$ para $s>0$. Con $k=3$: $\tfrac{3}{s^2+9}$."
Transformada de Laplace,Transformada de Laplace e inversa,facil,Calcule $\mathcal{L}\{\cos(2t)\}$.,$\dfrac{2}{s^2+4}$,$\dfrac{2}{s^2-4}$,$\dfrac{s}{s^2-4}$,$\dfrac{s}{s^2+4}$,D,"De la tabla, $\mathcal{L}\{\cos(kt)\}=\tfrac{s}{s^2+k^2}$ para $s>0$. Con $k=2$: $\tfrac{s}{s^2+4}$."
Transformada de Laplace,Transformada de Laplace e inversa,facil,Calcule $\mathcal{L}\{t\}$.,$\dfrac{1}{s^2}$,$\dfrac{1}{s}$,$\dfrac{2}{s^3}$,$\dfrac{t}{s}$,A,"De la tabla, $\mathcal{L}\{t^n\}=\tfrac{n!}{s^{n+1}}$. Con $n=1$: $\tfrac{1!}{s^2}=\tfrac{1}{s^2}$."
Transformada de Laplace,Transformada de Laplace e inversa,facil,Calcule $\mathcal{L}\{t^5\}$.,$\dfrac{5!}{s^5}$,$\dfrac{120}{s^6}$,$\dfrac{24}{s^6}$,$\dfrac{5}{s^5}$,B,$\mathcal{L}\{t^n\}=\tfrac{n!}{s^{n+1}}$. Con $n=5$: $\tfrac{5!}{s^6}=\tfrac{120}{s^6}$.
Transformada de Laplace,Transformada de Laplace e inversa,medio,"Aplicando linealidad, calcule $\mathcal{L}\{3+2t\}$.",$\dfrac{3}{s}-\dfrac{2}{s^2}$,$\dfrac{3+2t}{s}$,$\dfrac{3}{s}+\dfrac{2}{s^2}$,$\dfrac{5}{s^2}$,C,"Por linealidad, $\mathcal{L}\{3+2t\}=3\mathcal{L}\{1\}+2\mathcal{L}\{t\}=\tfrac{3}{s}+\tfrac{2}{s^2}$."
Transformada de Laplace,Transformada de Laplace e inversa,medio,Calcule $\mathcal{L}\{4e^{2t}-5\}$.,$\dfrac{4}{s+2}-\dfrac{5}{s}$,$\dfrac{4}{s-2}+\dfrac{5}{s}$,$\dfrac{-1}{s-2}$,$\dfrac{4}{s-2}-\dfrac{5}{s}$,D,"Por linealidad, $\mathcal{L}\{4e^{2t}-5\}=4\cdot\tfrac{1}{s-2}-5\cdot\tfrac{1}{s}=\tfrac{4}{s-2}-\tfrac{5}{s}$."
Transformada de Laplace,Transformada de Laplace e inversa,medio,Calcule $\mathcal{L}\{2\cos(4t)+3\sin(4t)\}$.,$\dfrac{2s+12}{s^2+16}$,$\dfrac{2s+3}{s^2+16}$,$\dfrac{2s+12}{s^2+4}$,$\dfrac{s+12}{s^2+16}$,A,Linealidad: $2\cdot\tfrac{s}{s^2+16}+3\cdot\tfrac{4}{s^2+16}=\tfrac{2s+12}{s^2+16}$.
Transformada de Laplace,Transformada de Laplace e inversa,medio,"Usando la relacion $\Gamma(n+1)=n!$ para $n$ entero no negativo, calcule $\Gamma(6)$.",$720$,$120$,$6$,$24$,B,$\Gamma(6)=\Gamma(5+1)=5!=120$.
