capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Funciones Reales,Funciones reales,facil,"¿Cuáles son los tres componentes que definen una función real?","Dominio, codominio y regla","Variables, ecuaciones y solución","Entrada, salida y proceso","Imagen, preimagen y signo",A,"Una función real $f: A \to B$ consta de tres partes: dominio $A$, codominio $B$ y una regla que asocia a cada $x \in A$ un único $f(x) \in B$."
Funciones Reales,Funciones reales,facil,"¿Qué cuantificador captura que cada entrada tiene exactamente una salida?",$\forall$,$\exists$,$\exists!$,$\nexists$,C,"$\exists!$ significa \"existe un único\". Es el cuantificador clave en la definición formal de función."
Funciones Reales,Funciones reales,facil,"Dos funciones $f$ y $g$ son iguales si y solo si:",Tienen la misma fórmula,Tienen el mismo dominio y la misma fórmula,"Tienen mismo dominio, mismo codominio y misma regla",Sus gráficas coinciden en algún punto,C,"Las tres componentes deben coincidir: dominio, codominio y regla. La sola igualdad de fórmulas no basta."
Funciones Reales,Funciones reales,facil,"¿Cuál es el dominio natural de $f(x) = \sqrt{x}$?","$\mathbb{R}$","$(0, +\infty)$","$[0, +\infty)$","$(-\infty, 0]$",C,"La raíz cuadrada exige radicando $\geq 0$, luego $\text{Dom}(f) = [0, +\infty)$."
Funciones Reales,Funciones reales,facil,"¿Cuál es el dominio natural de $f(x) = \dfrac{1}{x - 3}$?","$\mathbb{R}$","$\mathbb{R} \setminus \{3\}$","$\mathbb{R} \setminus \{0\}$","$(3, +\infty)$",B,"El denominador debe ser no nulo: $x - 3 \neq 0 \iff x \neq 3$. $\text{Dom}(f) = \mathbb{R} \setminus \{3\}$."
Funciones Reales,Funciones reales,facil,"El recorrido de una función es:",El conjunto de entradas,El conjunto de valores que la función efectivamente alcanza,Igual al codominio siempre,La gráfica de la función,B,"$\text{Rec}(f) = \{y \in \mathbb{R} \mid \exists x \in \text{Dom}(f) : f(x) = y\}$. Conjunto de salidas alcanzadas."
Funciones Reales,Funciones reales,facil,"¿Cuál es el dominio natural de $f(x) = \ln(x + 1)$?","$\mathbb{R}$","$(-1, +\infty)$","$[-1, +\infty)$","$(0, +\infty)$",B,"El logaritmo exige argumento estrictamente positivo: $x + 1 > 0 \iff x > -1$. Dominio: $(-1, +\infty)$."
Funciones Reales,Funciones reales,medio,"Halle el dominio natural de $f(x) = \dfrac{x + 2}{x^2 - 4}$.","$\mathbb{R}$","$\mathbb{R} \setminus \{2\}$","$\mathbb{R} \setminus \{-2, 2\}$","$\mathbb{R} \setminus \{-2\}$",C,"Denominador $x^2 - 4 = (x-2)(x+2) \neq 0 \iff x \neq \pm 2$."
Funciones Reales,Funciones reales,medio,"Halle el dominio natural de $f(x) = \sqrt{4 - x^2}$.","$[-2, 2]$","$(-2, 2)$","$\mathbb{R}$","$[0, 2]$",A,"$4 - x^2 \geq 0 \iff x^2 \leq 4 \iff -2 \leq x \leq 2$."
Funciones Reales,Funciones reales,medio,"Sean $f(x) = \dfrac{x^2 - 1}{x - 1}$ y $g(x) = x + 1$. ¿Son iguales como funciones?","Sí, sus fórmulas coinciden tras simplificar","No, $\text{Dom}(f) \neq \text{Dom}(g)$","Sí, ambas tienen dominio $\mathbb{R}$","Imposible determinar",B,"$\text{Dom}(f) = \mathbb{R} \setminus \{1\}$, $\text{Dom}(g) = \mathbb{R}$. Distintos dominios $\Rightarrow f \neq g$ aunque la fórmula simplificada coincida."
Funciones Reales,Funciones reales,medio,"Halle el recorrido de $f(x) = x^2 + 1$.","$\mathbb{R}$","$[1, +\infty)$","$(1, +\infty)$","$[0, +\infty)$",B,"$x^2 \geq 0$ siempre, luego $x^2 + 1 \geq 1$, alcanzando todo $[1, +\infty)$."
Funciones Reales,Funciones reales,medio,"Halle el dominio de $f(x) = \dfrac{1}{\sqrt{x^2 - 1}}$.","$(-\infty, -1) \cup (1, +\infty)$","$(-\infty, -1] \cup [1, +\infty)$","$(-1, 1)$","$\mathbb{R}$",A,"$\sqrt{x^2 - 1}$ en denominador exige $x^2 - 1 > 0$ (estricto): $x < -1$ o $x > 1$."
Funciones Reales,Funciones reales,medio,"Halle el recorrido de $f(x) = \dfrac{1}{x}$ con $\text{Dom}(f) = \mathbb{R} \setminus \{0\}$.","$\mathbb{R} \setminus \{0\}$","$\mathbb{R}$","$(0, +\infty)$","$[0, +\infty)$",A,"$y = 1/x \iff x = 1/y$, válido para $y \neq 0$. Recorrido: $\mathbb{R} \setminus \{0\}$."
Funciones Reales,Funciones reales,dificil,"Halle el recorrido de $f(x) = \dfrac{x}{x^2 + 1}$.","$\mathbb{R}$","$\left[ -\dfrac{1}{2}, \dfrac{1}{2} \right]$","$(0, 1)$","$\left( -\dfrac{1}{2}, \dfrac{1}{2} \right)$",B,"Despejando $x$ desde $y = \dfrac{x}{x^2+1}$: $yx^2 - x + y = 0$. Para soluciones reales, discriminante $1 - 4y^2 \geq 0 \iff |y| \leq 1/2$."
Funciones Reales,Funciones reales,dificil,"Halle el dominio de $f(x) = \sqrt{\dfrac{x - 2}{x + 1}}$.","$(-1, 2]$","$(-\infty, -1) \cup [2, +\infty)$","$[-1, 2]$","$(-\infty, -1] \cup [2, +\infty)$",B,"Cociente $\geq 0$: tabla de signos da $x < -1$ (excluido por dominio) o $x \geq 2$. Más $x = -1$ excluido por denominador. $S = (-\infty, -1) \cup [2, +\infty)$."
Funciones Reales,Gráficas de funciones,facil,"¿Qué es formalmente el gráfico de $f: A \to B$?","Una curva dibujada en el plano","Un subconjunto de $A \times B$ formado por pares $(x, f(x))$","La fórmula de $f$","La derivada de $f$",B,"$G(f) = \{(x, y) \in A \times B \mid y = f(x)\}$. Definición formal."
Funciones Reales,Gráficas de funciones,facil,"El criterio de la recta vertical dice que una curva es gráfica de una función si y solo si:",Es continua,Toda recta vertical la corta a lo más una vez,Toda recta horizontal la corta una vez,Pasa por el origen,B,"Si una vertical cortara la curva en dos puntos $(a, b)$ y $(a, c)$, $a$ tendría dos imágenes. Contradicción con la definición."
Funciones Reales,Gráficas de funciones,facil,"¿Qué es la proyección de $G(f)$ sobre el eje $x$?",El recorrido,El dominio,El codominio,La imagen inversa,B,"El dominio se lee proyectando los puntos del gráfico sobre el eje $x$."
Funciones Reales,Gráficas de funciones,facil,"¿Cuál es el dominio de $f(x) = x^n$ con $n$ par?","$[0, +\infty)$","$\mathbb{R}$","$(-\infty, 0]$","$\mathbb{R} \setminus \{0\}$",B,"Las potencias enteras tienen dominio $\mathbb{R}$ siempre. Lo que cambia con la paridad es la simetría."
Funciones Reales,Gráficas de funciones,facil,"¿Cuál es el recorrido de $f(x) = x^4$?","$\mathbb{R}$","$[0, +\infty)$","$(0, +\infty)$","$\mathbb{R} \setminus \{0\}$",B,"$x^4 \geq 0$ siempre, alcanza todo $[0, +\infty)$."
Funciones Reales,Gráficas de funciones,facil,"¿Cuál es la gráfica de $f(x) = |x|$?",Recta horizontal,Parábola,Forma de V con vértice en el origen,Hipérbola,C,"$|x|$ es definida por partes: $x$ para $x \geq 0$ y $-x$ para $x < 0$. Forma de V con vértice $(0, 0)$."
Funciones Reales,Gráficas de funciones,facil,"La función $f(x) = -f_0(x)$ se obtiene reflejando $f_0$ respecto al eje:",$x$,$y$,$y = x$,Origen,A,"El signo negativo afuera invierte los valores de salida $\Rightarrow$ refleja respecto al eje $x$."
Funciones Reales,Gráficas de funciones,facil,"La función $f(-x)$ se obtiene reflejando $f$ respecto al eje:",$x$,$y$,$y = x$,Origen,B,"Cambiar el signo del argumento refleja respecto al eje $y$."
Funciones Reales,Gráficas de funciones,medio,"¿Cuál es el recorrido de $f(x) = \dfrac{1}{x^2}$?","$\mathbb{R} \setminus \{0\}$","$(0, +\infty)$","$[0, +\infty)$","$\mathbb{R}$",B,"$1/x^2 > 0$ para todo $x \neq 0$, y nunca vale $0$. $\text{Rec} = (0, +\infty)$."
Funciones Reales,Gráficas de funciones,medio,"Sea $f(x) = \begin{cases} x + 1 & \text{si } x < 0 \\ x^2 & \text{si } x \geq 0 \end{cases}$. ¿Cuánto vale $f(0)$?",$1$,$0$,No está definido,$-1$,B,"Para $x = 0$ aplica el segundo tramo ($x \geq 0$): $f(0) = 0^2 = 0$."
Funciones Reales,Gráficas de funciones,medio,"En el gráfico de la función por partes anterior, en $x = 0$:","Hay un punto cerrado en $(0, 0)$","Hay un punto cerrado en $(0, 1)$",La función no está definida,Es continua,A,"Para $x \geq 0$: $f(0) = 0$, punto cerrado en $(0, 0)$. El otro tramo $x + 1$ se aproxima a $1$ pero no incluye $x = 0$."
Funciones Reales,Gráficas de funciones,medio,"Si el dominio de $f$ es $[2, 5]$, ¿cuál es el dominio de $f(-x)$?","$[2, 5]$","$[-5, -2]$","$[-2, -5]$","$[-5, 2]$",B,"$f(-x)$ refleja en eje $y$: dominio $[a, b]$ pasa a $[-b, -a]$. Aquí $[2, 5] \to [-5, -2]$."
