capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,¿Cuál es la forma matricial general de un sistema lineal de primer orden no homogéneo?,$y' = Ay + f(t)$,$y'' = Ay + f(t)$,$y' = A y^2 + f(t)$,$y = Ay' + f(t)$,A,"Un sistema lineal de primer orden en forma matricial se escribe $y'=Ay+f(t)$, donde $A$ es la matriz de coeficientes y $f(t)$ el término no homogéneo."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,"Si $A(t)=\begin{pmatrix} t & 1 \\ 0 & t^2 \end{pmatrix}$, ¿cuál es $A'(t)$?",$\begin{pmatrix} 1 & 1 \\ 0 & 2t \end{pmatrix}$,$\begin{pmatrix} 1 & 0 \\ 0 & 2t \end{pmatrix}$,$\begin{pmatrix} 0 & 1 \\ 0 & 2t \end{pmatrix}$,$\begin{pmatrix} 1 & 0 \\ 1 & 2t \end{pmatrix}$,B,"Se deriva entrada a entrada: $\frac{d}{dt}t=1$, $\frac{d}{dt}1=0$, $\frac{d}{dt}0=0$, $\frac{d}{dt}t^2=2t$."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,Un sistema lineal $y'=Ay+f(t)$ es homogéneo si y sólo si:,$A=0$,$y(0)=0$,$f(t)\equiv 0$,$A$ es invertible,C,"Por definición, el sistema es homogéneo cuando el término independiente $f(t)$ es idénticamente cero."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,¿Qué dimensión tiene la matriz $A$ en un sistema lineal de primer orden con $n$ ecuaciones y $n$ incógnitas?,$1\times n$,$n\times 1$,$n\times (n+1)$,$n\times n$,D,"Como $y\in\mathbb{R}^n$ y $Ay\in\mathbb{R}^n$, la matriz $A$ debe ser cuadrada $n\times n$."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,"Dado el sistema $\begin{cases} x'=2x+y \\ y'=-x+3y \end{cases}$, ¿cuál es la matriz de coeficientes $A$?",$\begin{pmatrix} 2 & -1 \\ 1 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 1 \\ 1 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 1 \\ -1 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 3 \\ -1 & 1 \end{pmatrix}$,C,"Los coeficientes se ordenan fila por fila según las ecuaciones: fila 1 es $(2,1)$ y fila 2 es $(-1,3)$."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,facil,¿Cuál de los siguientes NO es un sistema lineal de primer orden?,$y_1'=3y_1+2y_2$,"$y_1'=t\,y_1+y_2+\operatorname{sen}(t)$",$y_1'=y_1-y_2$,$y_1'=y_1^2+y_2$,D,El término $y_1^2$ es no lineal; un sistema lineal admite sólo combinaciones lineales de las incógnitas.
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,medio,"Transforme $y''+3y'+2y=0$ a un sistema lineal de primer orden usando $x_1=y$, $x_2=y'$. La matriz $A$ es:",$\begin{pmatrix} 0 & 1 \\ -2 & -3 \end{pmatrix}$,$\begin{pmatrix} 0 & 1 \\ 2 & 3 \end{pmatrix}$,$\begin{pmatrix} 1 & 0 \\ -3 & -2 \end{pmatrix}$,$\begin{pmatrix} -2 & -3 \\ 0 & 1 \end{pmatrix}$,A,Con $x_1'=x_2$ y $x_2'=y''=-3y'-2y=-2x_1-3x_2$ se obtiene $A=\begin{pmatrix}0&1\\-2&-3\end{pmatrix}$.
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,medio,"Para dos tanques conectados donde $x(t)$ e $y(t)$ son la sal (kg) en cada tanque, con $x'=-\tfrac{3}{10}x+\tfrac{1}{20}y$, $y'=\tfrac{3}{10}x-\tfrac{3}{20}y$, la matriz del sistema es:",$\begin{pmatrix} -3/10 & 1/20 \\ 3/10 & -3/20 \end{pmatrix}$,$\begin{pmatrix} 3/10 & 1/20 \\ 3/10 & 3/20 \end{pmatrix}$,$\begin{pmatrix} -3/10 & -1/20 \\ 3/10 & -3/20 \end{pmatrix}$,$\begin{pmatrix} -3/10 & 1/20 \\ -3/10 & 3/20 \end{pmatrix}$,A,"Los coeficientes se leen directamente de las ecuaciones respetando signos: fila 1 $(-3/10, 1/20)$, fila 2 $(3/10, -3/20)$."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,medio,"Si $A(t)=\begin{pmatrix} \cos t & t \\ e^t & 1 \end{pmatrix}$, entonces $\int_0^1 A(t)\,dt=$",$\begin{pmatrix} \operatorname{sen}(1) & 1 \\ e-1 & 1 \end{pmatrix}$,$\begin{pmatrix} \operatorname{sen}(1) & 1/2 \\ e-1 & 1 \end{pmatrix}$,$\begin{pmatrix} \operatorname{sen}(1) & 1/2 \\ e & 1 \end{pmatrix}$,$\begin{pmatrix} 1-\cos(1) & 1/2 \\ e-1 & 1 \end{pmatrix}$,B,"Se integra entrada a entrada: $\int_0^1\cos t\,dt=\operatorname{sen}(1)$, $\int_0^1 t\,dt=1/2$, $\int_0^1 e^t\,dt=e-1$, $\int_0^1 1\,dt=1$."
Sistemas de Ecuaciones Diferenciales,Sistemas lineales de primer orden,medio,"El sistema masa-resorte acoplado $\;2x''=-6x+2y$, $\;y''=2x-2y+40\operatorname{sen}(3t)\;$ se transforma en un sistema de primer orden de tamaño:",$2\times 2$,$4\times 4$,$3\times 3$,$6\times 6$,B,"Hay 2 ecuaciones de segundo orden, así que se introducen $x,x',y,y'$ como 4 variables, generando una matriz $4\times 4$."
