capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
EDO de Primer Orden,Definiciones,facil,¿Cuál de las siguientes ecuaciones es una ecuación diferencial ordinaria (EDO)?,$\frac{dy}{dx} + 3y = 0$,$\frac{\partial u}{\partial t} = k\frac{\partial^2 u}{\partial x^2}$,$x + 2y = 5$,$3x^2 - 7x + 1 = 0$,A,"Una EDO involucra derivadas respecto a una sola variable independiente. La opción A contiene $\frac{dy}{dx}$, que es una derivada ordinaria."
EDO de Primer Orden,Definiciones,facil,¿Cuál es el orden de la ecuación diferencial $\frac{d^2y}{dt^2} + 5\frac{dy}{dt} - y = 0$?,1,2,3,5,B,"El orden es la derivada de mayor orden que aparece. Aquí la mayor es $\frac{d^2y}{dt^2}$, de orden 2."
EDO de Primer Orden,Definiciones,facil,¿Cuál de las siguientes ecuaciones es lineal?,$\frac{dy}{dt} = y^2$,$y \cdot \frac{dy}{dx} = x$,$\frac{dy}{dt} + 2y = \cos t$,$\left(\frac{dy}{dx}\right)^2 + y = 0$,C,"Una EDO es lineal si la función incógnita y sus derivadas aparecen en forma lineal. En la opción C, $y$ y $\frac{dy}{dt}$ aparecen a la primera potencia sin multiplicarse entre sí."
EDO de Primer Orden,Definiciones,facil,La ecuación $\frac{dy}{dt} = y(1-y)$ es autónoma porque:,depende explícitamente de $t$,es de segundo orden,tiene coeficientes constantes,no depende explícitamente de la variable independiente $t$,D,"Una EDO es autónoma si el lado derecho no depende explícitamente de la variable independiente. En $\frac{dy}{dt} = y(1-y)$, la expresión $y(1-y)$ solo depende de $y$."
EDO de Primer Orden,Definiciones,facil,¿Cuál es el orden de la EDO $\frac{dy}{dx} = 5y$?,1,5,2,0,A,"La derivada de mayor orden es $\frac{dy}{dx}$, que es de primer orden."
EDO de Primer Orden,Definiciones,facil,¿Qué tipo de ecuación es $\frac{\partial u}{\partial t} = k\frac{\partial^2 u}{\partial x^2}$?,EDO de primer orden,Ecuación en derivadas parciales (EDP),EDO de segundo orden,Ecuación algebraica,B,"La ecuación involucra derivadas parciales respecto a dos variables independientes ($t$ y $x$), por lo que es una EDP."
EDO de Primer Orden,Definiciones,medio,¿Cuál es el grado de la ecuación $\left(\frac{d^2y}{dx^2}\right)^3 + \frac{dy}{dx} = 0$?,1,2,3,6,C,"El grado es el exponente más alto de la derivada de mayor orden. La derivada de mayor orden es $\frac{d^2y}{dx^2}$ y está elevada al cubo, por lo que el grado es 3."
EDO de Primer Orden,Definiciones,medio,La ecuación $\frac{dy}{dt} = t + y$ es:,autónoma y lineal,no autónoma y no lineal,autónoma y no lineal,no autónoma y lineal,D,Es no autónoma porque el lado derecho $t+y$ depende explícitamente de $t$. Es lineal porque $y$ aparece a la primera potencia.
EDO de Primer Orden,Definiciones,medio,¿Cuál de las siguientes ecuaciones es no lineal de primer orden?,$\frac{dy}{dx} = y^2 + x$,$\frac{d^2y}{dx^2} + y = 0$,$\frac{dy}{dx} + 2y = x$,$\frac{dy}{dx} = 3y$,A,La opción A es de primer orden (solo aparece $\frac{dy}{dx}$) y es no lineal porque $y$ aparece al cuadrado.
EDO de Primer Orden,Definiciones,medio,La ley de enfriamiento de Newton $\frac{dT}{dt} = -k(T - T_a)$ es una EDO de:,"segundo orden, lineal","primer orden, lineal","primer orden, no lineal","segundo orden, no lineal",B,La derivada de mayor orden es $\frac{dT}{dt}$ (primer orden) y $T$ aparece linealmente en la ecuación.
EDO de Primer Orden,Definiciones,medio,¿Cuál de las siguientes ecuaciones modela el crecimiento poblacional simple $\frac{dP}{dt} = rP$?,Es de segundo orden y autónoma,Es de primer orden y no autónoma,"Es de primer orden, lineal y autónoma",Es de primer orden y no lineal,C,"Es de primer orden ($\frac{dP}{dt}$), lineal ($P$ a la primera potencia) y autónoma (el lado derecho $rP$ no depende de $t$)."
EDO de Primer Orden,Definiciones,medio,La ecuación del movimiento armónico simple $\frac{d^2x}{dt^2} + \omega^2 x = 0$ tiene orden y linealidad:,"orden 1, no lineal","orden 1, lineal","orden 2, no lineal","orden 2, lineal",D,"La derivada de mayor orden es $\frac{d^2x}{dt^2}$ (orden 2). La función $x$ y sus derivadas aparecen a la primera potencia, por lo que es lineal."
EDO de Primer Orden,Definiciones,medio,¿Cuál de las siguientes NO es una EDO autónoma?,$\frac{dy}{dt} = t \cdot y$,$\frac{dy}{dt} = \sin(y)$,$\frac{dy}{dt} = y^2 - 4$,$\frac{dy}{dt} = y(1-y)$,A,"En la opción A, el lado derecho $t \cdot y$ depende explícitamente de $t$, por lo que no es autónoma."
