capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Números Complejos,Definición y forma estándar,facil,¿Cuál es la parte real del número complejo $z = 3 + 5i$?,$3$,$5$,$5i$,$3i$,A,"En $z = a + bi$, la parte real es $a$. Aquí $a = 3$."
Números Complejos,Definición y forma estándar,facil,¿Cuál es la parte imaginaria del número complejo $z = -2 + 7i$?,$-2$,$7$,$7i$,$-2i$,B,"En $z = a + bi$, la parte imaginaria es $b$. Aquí $b = 7$."
Números Complejos,Definición y forma estándar,facil,¿Cuánto vale $i^2$?,$1$,$i$,$-1$,$-i$,C,"Por definición, la unidad imaginaria cumple $i^2 = -1$."
Números Complejos,Definición y forma estándar,facil,¿Cuál de los siguientes es un número puramente imaginario?,$3 + 2i$,$5$,$1 - i$,$4i$,D,Un número es puramente imaginario cuando su parte real es $0$. Solo $4i = 0 + 4i$ cumple esa condición.
Números Complejos,Definición y forma estándar,facil,El número complejo $z = 6$ se puede escribir en forma estándar como:,$6 + 0i$,$0 + 6i$,$6i$,$6 - i$,A,Todo número real $a$ se escribe como $a + 0i$. Entonces $6 = 6 + 0i$.
Números Complejos,Definición y forma estándar,facil,"En el plano complejo, el número $z = 3i$ se ubica sobre:",El eje real,El eje imaginario,El primer cuadrante,El tercer cuadrante,B,"$z = 3i = 0 + 3i$ tiene parte real $0$, por lo que se ubica sobre el eje imaginario en el punto $(0, 3)$."
Números Complejos,Definición y forma estándar,medio,"Si $z = 4 - 3i$, ¿en qué cuadrante del plano complejo se ubica $z$?",Primer cuadrante,Segundo cuadrante,Cuarto cuadrante,Tercer cuadrante,C,"La parte real es $4 > 0$ y la parte imaginaria es $-3 < 0$, lo que corresponde al cuarto cuadrante del plano complejo."
Números Complejos,Definición y forma estándar,medio,¿Cuál número complejo tiene parte real $-1$ y parte imaginaria $4$?,$4 - i$,$1 + 4i$,$-4 + i$,$-1 + 4i$,D,"Si $\text{Re}(z) = -1$ y $\text{Im}(z) = 4$, entonces $z = -1 + 4i$."
Números Complejos,Definición y forma estándar,medio,"Si $z_1 = 2 + 3i$ y $z_2 = 2 - 3i$, ¿qué relación tienen $z_1$ y $z_2$?",Son conjugados,Son iguales,Son opuestos,Son inversamente proporcionales,A,Dos números complejos son conjugados cuando tienen la misma parte real y partes imaginarias de signo opuesto. Aquí $z_2 = \overline{z_1}$.
Números Complejos,Definición y forma estándar,medio,¿Cuál es la representación en el plano complejo de $z = -3 - 2i$?,"El punto $(-2, -3)$","El punto $(-3, -2)$","El punto $(3, 2)$","El punto $(-3, 2)$",B,"El número $z = a + bi$ se representa como el punto $(a, b)$. Aquí $(a, b) = (-3, -2)$."
Números Complejos,Definición y forma estándar,medio,¿Para qué valor de $x$ el número $z = (x - 1) + (x + 2)i$ es puramente imaginario?,$x = -2$,$x = 0$,$x = 1$,$x = -1$,C,"Para que $z$ sea puramente imaginario, la parte real debe ser $0$: $x - 1 = 0$, luego $x = 1$."
Números Complejos,Definición y forma estándar,medio,¿Cuánto vale $i^4$?,$i$,$-1$,$-i$,$1$,D,$i^4 = (i^2)^2 = (-1)^2 = 1$.
Números Complejos,Definición y forma estándar,medio,"Si $z = a + bi$ es un número real, entonces necesariamente:",$b = 0$,$a = 0$,$a = b$,$a + b = 0$,A,"Un número complejo es real cuando su parte imaginaria es cero, es decir, $b = 0$."
Números Complejos,Definición y forma estándar,medio,Las soluciones de la ecuación $x^2 + 4 = 0$ son:,$x = \pm 2$,$x = \pm 2i$,$x = \pm 4i$,$x = \pm 4$,B,"$x^2 = -4$, luego $x = \pm\sqrt{-4} = \pm 2i$."
Números Complejos,Definición y forma estándar,dificil,¿Cuánto vale $i^3 + i^2 + i + 1$?,$2$,$2i$,$0$,$1 + i$,C,"$i^3 = -i$, $i^2 = -1$, $i = i$, $1 = 1$. Sumando: $-i - 1 + i + 1 = 0$."
Números Complejos,Definición y forma estándar,dificil,"Si $z = (2 + i)^2$, ¿cuál es $z$ en forma estándar?",$5 + 4i$,$4 + 4i$,$3 - 4i$,$3 + 4i$,D,$(2+i)^2 = 4 + 4i + i^2 = 4 + 4i - 1 = 3 + 4i$.
Números Complejos,Definición y forma estándar,dificil,¿Para qué valores de $a$ y $b$ se cumple $(a + 2) + (b - 3)i = 5 - i$?,"$a = 3$, $b = 2$","$a = 5$, $b = -1$","$a = 2$, $b = 3$","$a = 7$, $b = -4$",A,Igualando partes reales: $a + 2 = 5 \Rightarrow a = 3$. Igualando partes imaginarias: $b - 3 = -1 \Rightarrow b = 2$.
Números Complejos,Definición y forma estándar,dificil,¿Cuánto vale $i^{17}$?,$-1$,$i$,$-i$,$1$,B,Las potencias de $i$ se repiten cada $4$: $i^{17} = i^{4 \cdot 4 + 1} = i^1 = i$.
Números Complejos,Definición y forma estándar,dificil,"Si $z_1 = 1 + i$ y $z_2 = 1 - i$, ¿cuánto es $z_1 \cdot z_2$?",$2i$,$1 - i^2$,$2$,$0$,C,$z_1 \cdot z_2 = (1+i)(1-i) = 1 - i^2 = 1 - (-1) = 2$.
Números Complejos,Definición y forma estándar,dificil,Calcule la suma $i + i^2 + i^3 + \cdots + i^{40}$.,$1$,$i$,$-1$,$0$,D,"El patrón $i + i^2 + i^3 + i^4 = i - 1 - i + 1 = 0$ se repite cada $4$ términos. Como $40/4 = 10$ ciclos completos, la suma total es $0$."
Números Complejos,Operaciones con complejos,facil,¿Cuál es el conjugado de $z = 3 + 2i$?,$-3 + 2i$,$3 - 2i$,$-3 - 2i$,$2 + 3i$,B,El conjugado de $z = a + bi$ es $\overline{z} = a - bi$. Entonces $\overline{3 + 2i} = 3 - 2i$.
Números Complejos,Operaciones con complejos,facil,"Si $z_1 = 1 + 3i$ y $z_2 = 4 + 2i$, ¿cuánto es $z_1 + z_2$?",$5 + 5i$,$5 + i$,$3 + 5i$,$5 - 5i$,A,$z_1 + z_2 = (1+4) + (3+2)i = 5 + 5i$.
Números Complejos,Operaciones con complejos,facil,"Si $z_1 = 5 + 3i$ y $z_2 = 2 + i$, ¿cuánto es $z_1 - z_2$?",$3 - 2i$,$7 + 4i$,$-3 - 2i$,$3 + 2i$,D,$z_1 - z_2 = (5-2) + (3-1)i = 3 + 2i$.
Números Complejos,Operaciones con complejos,facil,¿Cuál es el conjugado de $z = -4i$?,$-4$,$4$,$4i$,$-4i$,C,"$z = 0 - 4i$, entonces $\overline{z} = 0 + 4i = 4i$."
Números Complejos,Operaciones con complejos,facil,"Si $z = 2 - 5i$, ¿cuánto vale $z + \overline{z}$?",$4$,$-10i$,$2$,$-10$,A,$z + \overline{z} = 2 \cdot \text{Re}(z) = 2 \cdot 2 = 4$.
Números Complejos,Operaciones con complejos,facil,La suma de un número complejo $z = a + bi$ y su conjugado $\overline{z} = a - bi$ es siempre igual a:,$2bi$,$2a$,$0$,$2a + 2bi$,B,$z + \overline{z} = (a+bi) + (a-bi) = 2a$.
Números Complejos,Operaciones con complejos,medio,"Si $z_1 = 2 + 3i$ y $z_2 = 1 - i$, ¿cuánto es $z_1 \cdot z_2$?",$2 - 3i$,$5 - i$,$-1 + 5i$,$5 + i$,D,$(2+3i)(1-i) = 2 - 2i + 3i - 3i^2 = 2 + i + 3 = 5 + i$.
Números Complejos,Operaciones con complejos,medio,"Si $z = 3 + 4i$, ¿cuánto vale $z \cdot \overline{z}$?",$7$,$9 + 16i$,$25$,$-7$,C,$z \cdot \overline{z} = a^2 + b^2 = 9 + 16 = 25$.
Números Complejos,Operaciones con complejos,medio,"Si $z_1 = 4 + i$ y $z_2 = 2 - 3i$, ¿cuánto es $z_1 \cdot z_2$?",$11 - 10i$,$8 - 3i$,$11 + 10i$,$5 - 10i$,A,$(4+i)(2-3i) = 8 - 12i + 2i - 3i^2 = 8 - 10i + 3 = 11 - 10i$.
Números Complejos,Operaciones con complejos,medio,Calcule $\frac{3 + i}{1 + i}$.,$1 + 2i$,$2 - i$,$2 + i$,$1 - 2i$,B,$\frac{3+i}{1+i} \cdot \frac{1-i}{1-i} = \frac{(3+i)(1-i)}{1+1} = \frac{3 - 3i + i - i^2}{2} = \frac{4 - 2i}{2} = 2 - i$.
