capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Ortogonalidad,Subespacios ortogonales,facil,"Calcule el producto interior de $u = (2, -5, -1)$ y $v = (3, 2, -3)$ en $\mathbb{R}^3$.",$-1$,$1$,$-7$,$7$,A,$u \cdot v = 2(3) + (-5)(2) + (-1)(-3) = 6 - 10 + 3 = -1$.
Ortogonalidad,Subespacios ortogonales,facil,"¿Cuál es la norma del vector $v = (3, -4)$ en $\mathbb{R}^2$?",$7$,$5$,$25$,$1$,B,$\lVert v \rVert = \sqrt{9 + 16} = \sqrt{25} = 5$.
Ortogonalidad,Subespacios ortogonales,facil,Dos vectores $u$ y $v$ en $\mathbb{R}^n$ son ortogonales si y solo si:,$u + v = 0$,$\lVert u \rVert = \lVert v \rVert$,$u \cdot v = 0$,$u \cdot v = 1$,C,"Por definición, dos vectores son ortogonales cuando su producto interior es cero: $u \cdot v = 0$."
Ortogonalidad,Subespacios ortogonales,facil,"Si $c$ es un escalar y $v$ un vector en $\mathbb{R}^n$, la norma de $cv$ es:",$c \cdot \lVert v \rVert$,$c^2 \cdot \lVert v \rVert$,$\lVert v \rVert$,$\lvert c \rvert \cdot \lVert v \rVert$,D,$\lVert cv \rVert = \lvert c \rvert \cdot \lVert v \rVert$ por las propiedades de la norma.
Ortogonalidad,Subespacios ortogonales,facil,"Calcule $\lVert v \rVert$ para $v = (1, -2, 2, 0)$ en $\mathbb{R}^4$.",$3$,$9$,$\sqrt{5}$,$1$,A,$\lVert v \rVert = \sqrt{1 + 4 + 4 + 0} = \sqrt{9} = 3$.
Ortogonalidad,Subespacios ortogonales,facil,¿Cuál de las siguientes es una propiedad del producto interior en $\mathbb{R}^n$?,$u \cdot v = -(v \cdot u)$,$u \cdot v = v \cdot u$,$u \cdot v = u + v$,$u \cdot (v + w) = u \cdot v \cdot w$,B,El producto interior es conmutativo: $u \cdot v = v \cdot u$.
Ortogonalidad,Subespacios ortogonales,medio,"Determine la distancia entre $u = (7, 1)$ y $v = (3, 2)$ en $\mathbb{R}^2$.",$\sqrt{15}$,$5$,$\sqrt{17}$,$\sqrt{13}$,C,"$\text{dist}(u,v) = \lVert u - v \rVert = \lVert (4, -1) \rVert = \sqrt{16 + 1} = \sqrt{17}$."
Ortogonalidad,Subespacios ortogonales,medio,Sea $A$ una matriz de $m \times n$. El complemento ortogonal del espacio fila de $A$ es:,"$\text{Col}\, A$","$\text{Col}\, A^T$","$\text{Fil}\, A^T$","$\text{Nul}\, A$",D,"$(\text{Fil}\, A)^\perp = \text{Nul}\, A$ por el teorema fundamental."
Ortogonalidad,Subespacios ortogonales,medio,"Encuentre un vector unitario en la dirección de $v = (1, -2, 2, 0)$.","$\left(\frac{1}{3}, -\frac{2}{3}, \frac{2}{3}, 0\right)$","$\left(\frac{1}{2}, -1, 1, 0\right)$","$(1, -2, 2, 0)$","$\left(\frac{1}{9}, -\frac{2}{9}, \frac{2}{9}, 0\right)$",A,"$\lVert v \rVert = 3$, así que $\frac{v}{\lVert v \rVert} = \left(\frac{1}{3}, -\frac{2}{3}, \frac{2}{3}, 0\right)$."
Ortogonalidad,Subespacios ortogonales,medio,"$(\text{Col}\, A)^\perp$ es igual a:","$\text{Nul}\, A$","$\text{Nul}\, A^T$","$\text{Fil}\, A$","$\text{Col}\, A^T$",B,"$(\text{Col}\, A)^\perp = \text{Nul}\, A^T$ por el teorema fundamental del álgebra lineal."
Ortogonalidad,Subespacios ortogonales,medio,Calcule $(2u - 3v) \cdot w$ sabiendo que $u \cdot w = 4$ y $v \cdot w = -1$.,$5$,$-5$,$11$,$2$,C,$(2u - 3v) \cdot w = 2(u \cdot w) - 3(v \cdot w) = 2(4) - 3(-1) = 8 + 3 = 11$.
