capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Métodos de Integración,Sustitución simple,facil,"Calcula $\int 2x\,e^{x^{2}}\,dx$.",$e^{x^{2}}+C$,$\dfrac{e^{x^{2}}}{2}+C$,$2e^{x^{2}}+C$,$x^{2}e^{x^{2}}+C$,A,"Con $u=x^{2}$, $du=2x\,dx$, queda $\int e^{u}du=e^{u}+C=e^{x^{2}}+C$."
Métodos de Integración,Sustitución simple,facil,"Calcula $\int 3x^{2}\cos(x^{3})\,dx$.",$\cos(x^{3})+C$,$\sin(x^{3})+C$,$3\sin(x^{3})+C$,$-\sin(x^{3})+C$,B,"Sea $u=x^{3}$, $du=3x^{2}dx$; $\int\cos(u)du=\sin(u)+C=\sin(x^{3})+C$."
Métodos de Integración,Sustitución simple,facil,"Calcula $\int \dfrac{1}{2x+1}\,dx$.",$\ln\lvert 2x+1\rvert+C$,$2\ln\lvert 2x+1\rvert+C$,$\dfrac{1}{2}\ln\lvert 2x+1\rvert+C$,$\dfrac{1}{(2x+1)^{2}}+C$,C,"Con $u=2x+1$, $du=2\,dx$: $\tfrac{1}{2}\int\tfrac{du}{u}=\tfrac{1}{2}\ln\lvert u\rvert+C$."
Métodos de Integración,Sustitución simple,facil,"Calcula $\int \sin(5x)\,dx$.",$-\cos(5x)+C$,$5\cos(5x)+C$,$\cos(5x)+C$,$-\dfrac{1}{5}\cos(5x)+C$,D,"Con $u=5x$, $du=5\,dx$: $\tfrac{1}{5}\int\sin(u)du=-\tfrac{1}{5}\cos(u)+C$."
Métodos de Integración,Sustitución simple,facil,"Calcula $\int (2x+3)^{4}\,dx$.",$\dfrac{(2x+3)^{5}}{5}+C$,$\dfrac{(2x+3)^{5}}{10}+C$,$4(2x+3)^{3}+C$,$\dfrac{(2x+3)^{5}}{2}+C$,B,"Con $u=2x+3$, $du=2dx$: $\tfrac{1}{2}\int u^{4}du=\tfrac{u^{5}}{10}+C$."
Métodos de Integración,Sustitución simple,facil,"Calcula $\int \dfrac{\ln(x)}{x}\,dx$.",$\dfrac{1}{x^{2}}+C$,$\ln(\ln x)+C$,$\dfrac{\ln x}{2}+C$,$\dfrac{(\ln x)^{2}}{2}+C$,D,"Con $u=\ln x$, $du=\tfrac{dx}{x}$: $\int u\,du=\tfrac{u^{2}}{2}+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int x\sqrt{1+x^{2}}\,dx$.",$\dfrac{(1+x^{2})^{3/2}}{3}+C$,$\dfrac{(1+x^{2})^{3/2}}{2}+C$,$\dfrac{2(1+x^{2})^{3/2}}{3}+C$,$\sqrt{1+x^{2}}+C$,A,"Con $u=1+x^{2}$, $du=2x\,dx$: $\tfrac{1}{2}\int u^{1/2}du=\tfrac{u^{3/2}}{3}+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int \dfrac{x}{x^{2}+1}\,dx$.",$\arctan(x)+C$,$\dfrac{1}{2}\ln(x^{2}+1)+C$,$\ln(x^{2}+1)+C$,$\dfrac{x^{2}}{2(x^{2}+1)}+C$,B,"Con $u=x^{2}+1$, $du=2x\,dx$: $\tfrac{1}{2}\int\tfrac{du}{u}$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int \tan(x)\,dx$.",$\ln\lvert\cos x\rvert+C$,$\sec^{2}(x)+C$,$-\ln\lvert\cos x\rvert+C$,$\ln\lvert\sin x\rvert+C$,C,"$\int\tfrac{\sin x}{\cos x}dx$: con $u=\cos x$, queda $-\ln\lvert\cos x\rvert+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int e^{\sin x}\cos x\,dx$.","$\sin x\,e^{\sin x}+C$","$\cos x\,e^{\sin x}+C$",$\dfrac{e^{\sin x}}{\cos x}+C$,$e^{\sin x}+C$,D,"Con $u=\sin x$, $du=\cos x\,dx$: $\int e^{u}du=e^{\sin x}+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int \dfrac{1}{x\ln x}\,dx$.",$\ln\lvert\ln x\rvert+C$,$\dfrac{(\ln x)^{2}}{2}+C$,$\dfrac{1}{\ln x}+C$,$\ln(x\ln x)+C$,A,"Con $u=\ln x$, $du=\tfrac{dx}{x}$: $\int\tfrac{du}{u}=\ln\lvert u\rvert+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int \sec^{2}(x)\,e^{\tan x}\,dx$.","$\tan x\,e^{\tan x}+C$",$e^{\tan x}+C$,$\sec^{2}(x)e^{\tan x}+C$,$\dfrac{e^{\tan x}}{\sec^{2}x}+C$,B,"Con $u=\tan x$, $du=\sec^{2}x\,dx$: $\int e^{u}du=e^{\tan x}+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int x^{2}(x^{3}+2)^{7}\,dx$.",$\dfrac{(x^{3}+2)^{8}}{8}+C$,$\dfrac{(x^{3}+2)^{8}}{3}+C$,$\dfrac{(x^{3}+2)^{8}}{24}+C$,$7x^{2}(x^{3}+2)^{6}+C$,C,"Con $u=x^{3}+2$, $du=3x^{2}dx$: $\tfrac{1}{3}\int u^{7}du=\tfrac{u^{8}}{24}+C$."
Métodos de Integración,Sustitución simple,medio,"Calcula $\int_{0}^{1}2x(x^{2}+1)^{3}\,dx$.",$4$,$\dfrac{15}{2}$,$\dfrac{7}{2}$,$\dfrac{15}{4}$,D,"Con $u=x^{2}+1$: $\int_{1}^{2}u^{3}du=\tfrac{u^{4}}{4}\,\text{ev. en }[1,2]=\tfrac{15}{4}$."
Métodos de Integración,Sustitución simple,dificil,"Calcula $\int \dfrac{x}{\sqrt{1-x^{4}}}\,dx$.",$\dfrac{1}{2}\arcsin(x^{2})+C$,$\arcsin(x^{2})+C$,$\dfrac{1}{2}\arcsin(x)+C$,$\arctan(x^{2})+C$,A,Con $u=x^{2}$: $\tfrac{1}{2}\int\tfrac{du}{\sqrt{1-u^{2}}}=\tfrac{1}{2}\arcsin(x^{2})+C$.
