capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Derivadas,Definición y notación de la derivada,facil,¿Cuál es la definición de la derivada de $f(x)$ en el punto $x=a$?,$f'(a)=\lim_{h\to 0}\dfrac{f(a+h)-f(a)}{h}$,$f'(a)=\lim_{h\to 0}\dfrac{f(a)-f(a-h)}{h^2}$,$f'(a)=\lim_{h\to \infty}\dfrac{f(a+h)-f(a)}{h}$,$f'(a)=\dfrac{f(a+h)-f(a)}{h}$,A,La derivada en un punto se define como el límite del cociente incremental cuando $h\to 0$.
Derivadas,Definición y notación de la derivada,facil,¿Cuál de las siguientes NO es una notación válida para la derivada de $y=f(x)$?,$f'(x)$,"$\int f(x)\,dx$",$\dfrac{dy}{dx}$,$D_x f(x)$,B,"$\int f(x)\,dx$ denota la integral indefinida (antiderivada), no la derivada."
Derivadas,Definición y notación de la derivada,facil,"Usando la definición, la derivada de $f(x)=5x$ es:",$1$,$5x$,$5$,$0$,C,$\lim_{h\to 0}\dfrac{5(x+h)-5x}{h}=\lim_{h\to 0}\dfrac{5h}{h}=5$.
Derivadas,Definición y notación de la derivada,facil,"Usando la definición, la derivada de $f(x)=7$ es:",$7$,$1$,$x$,$0$,D,"Como $f(x+h)-f(x)=7-7=0$, el cociente vale $0$ y su límite es $0$."
Derivadas,Definición y notación de la derivada,facil,Al calcular $\lim_{h\to 0}\dfrac{(x+h)^2-x^2}{h}$ se obtiene:,$2x$,$x^2$,$2x+h$,$0$,A,"$(x+h)^2-x^2=2xh+h^2$; al dividir entre $h$ queda $2x+h$, cuyo límite cuando $h\to 0$ es $2x$."
Derivadas,Definición y notación de la derivada,facil,¿Qué representa geométricamente $f'(a)$?,El área bajo la curva en $x=a$.,La pendiente de la recta tangente a $f$ en $x=a$.,El valor de $f$ en $x=a$.,La distancia al origen.,B,"La derivada es, por definición, el límite de pendientes de rectas secantes, que converge a la pendiente de la recta tangente."
Derivadas,Definición y notación de la derivada,medio,"Usando definición, la derivada de $f(x)=x^3$ en un punto genérico $x$ es:",$x^2$,$3x^2+3xh+h^2$,$3x^2$,$3x$,C,$(x+h)^3-x^3=3x^2h+3xh^2+h^3$; al dividir por $h$ y hacer $h\to 0$ queda $3x^2$.
Derivadas,Definición y notación de la derivada,medio,"Usando definición, la derivada de $f(x)=\dfrac{1}{x}$ en $x\ne 0$ es:",$-\dfrac{1}{x}$,$\dfrac{1}{x^2}$,$\dfrac{1}{2x}$,$-\dfrac{1}{x^2}$,D,$\dfrac{1/(x+h)-1/x}{h}=\dfrac{-1}{x(x+h)}$; cuando $h\to 0$ tiende a $-\dfrac{1}{x^2}$.
Derivadas,Definición y notación de la derivada,medio,"Si $f(x)=3x^2-x$, entonces $f'(2)$ vale:",$11$,$10$,$12$,$-11$,A,"$f'(x)=6x-1$, por lo tanto $f'(2)=12-1=11$."
Derivadas,Definición y notación de la derivada,medio,La pendiente de la recta tangente a $f(x)=x^2+1$ en $x=3$ es:,$3$,$6$,$9$,$10$,B,"$f'(x)=2x$, entonces $f'(3)=6$."
