capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Funciones de Varias Variables,Dominio y rango,facil,"Si $f(x,y) = x^2 + 3xy - y^2$, determine $f(1,2)$.",$3$,$-1$,$11$,$5$,A,"Se sustituye: $f(1,2) = 1 + 6 - 4 = 3$."
Funciones de Varias Variables,Dominio y rango,facil,"El dominio de $f(x,y) = x^2 + 3xy - y^2$ es:","$\{(x,y) \in \mathbb{R}^2 : x \neq 0\}$",$\mathbb{R}^2$,"$\{(x,y) \in \mathbb{R}^2 : x > 0,\; y > 0\}$","$\{(x,y) \in \mathbb{R}^2 : x + y \geq 0\}$",B,"Es un polinomio, definido para todo par $(x,y)$ real. Dominio $= \mathbb{R}^2$."
Funciones de Varias Variables,Dominio y rango,facil,"Si $g(x,y) = \sqrt{9 - x^2 - y^2}$, determine $g(1,2)$.",$\sqrt{6}$,$4$,$2$,$\sqrt{8}$,C,"$g(1,2) = \sqrt{9-1-4} = \sqrt{4} = 2$."
Funciones de Varias Variables,Dominio y rango,facil,"El rango de $f(x,y) = x^2 + y^2$ es:",$\mathbb{R}$,"$(-\infty, 0]$","$(0, +\infty)$","$[0, +\infty)$",D,"Como $x^2 + y^2 \geq 0$ y alcanza el valor $0$ en $(0,0)$, el rango es $[0,+\infty)$."
Funciones de Varias Variables,Dominio y rango,facil,"Las curvas de nivel de $f(x,y) = x^2 + y^2$ para $k > 0$ son:",Circunferencias centradas en el origen,Rectas paralelas,Parabolas,Hiperbolas,A,Al fijar $x^2 + y^2 = k$ con $k>0$ se obtiene una circunferencia de radio $\sqrt{k}$.
Funciones de Varias Variables,Dominio y rango,facil,"La grafica de $f(x,y) = 6 - 3x - 2y$ representa:",Un paraboloide,Un plano,Una esfera,Un cono,B,"La ecuacion $z = 6 - 3x - 2y$ es lineal en $x$, $y$ y $z$, por lo tanto es un plano."
Funciones de Varias Variables,Dominio y rango,medio,"El dominio de $f(x,y) = \frac{\sqrt{x+y+1}}{x-1}$ es:","$\{(x,y) : x+y+1 > 0,\; x \neq 1\}$","$\{(x,y) : x+y \geq 0,\; x \neq 1\}$","$\{(x,y) : x+y+1 \geq 0,\; x \neq 1\}$","$\{(x,y) : x+y+1 \geq 0\}$",C,Se necesita $x+y+1 \geq 0$ para la raiz y $x \neq 1$ para el denominador.
Funciones de Varias Variables,Dominio y rango,medio,"El dominio de $f(x,y) = \ln(y^2 - x)$ es:","$\{(x,y) : x \leq y^2\}$","$\{(x,y) : y^2 > 0\}$","$\{(x,y) : x > y^2\}$","$\{(x,y) : x < y^2\}$",D,"El logaritmo requiere argumento estrictamente positivo: $y^2 - x > 0$, es decir $x < y^2$."
Funciones de Varias Variables,Dominio y rango,medio,"El dominio de $g(x,y) = \sqrt{9 - x^2 - y^2}$ es:","$\{(x,y) : x^2 + y^2 \leq 9\}$","$\{(x,y) : x^2 + y^2 < 9\}$","$\{(x,y) : x^2 + y^2 \geq 9\}$","$\{(x,y) : x^2 + y^2 = 9\}$",A,"Se necesita $9 - x^2 - y^2 \geq 0$, es decir $x^2+y^2 \leq 9$: disco cerrado de radio 3."
Funciones de Varias Variables,Dominio y rango,medio,"El rango de $g(x,y) = \sqrt{9 - x^2 - y^2}$ con dominio $x^2 + y^2 \leq 9$ es:","$[0, 9]$","$[0, 3]$","$(-3, 3)$","$[0, +\infty)$",B,"El minimo es $0$ (en la frontera) y el maximo es $\sqrt{9} = 3$ (en el origen). Rango $=[0,3]$."
