capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Derivadas Parciales,Derivadas parciales,facil,"¿Qué representa la derivada parcial $f_x(x,y)$ de una función $f(x,y)$?",La derivada de $f$ respecto a $x$ tratando $y$ como constante,La derivada de $f$ respecto a $y$ tratando $x$ como constante,El producto $f\cdot x$,La derivada total de $f$,A,"Por definición, $f_x$ es el límite del cociente incremental en la dirección $x$, manteniendo $y$ fija como un parámetro constante."
Derivadas Parciales,Derivadas parciales,facil,"Si $f(x,y)=4x+5y^{3}$, entonces $f_x(x,y)=$",$5y^{3}$,$4$,$15y^{2}$,$4+15y^{2}$,B,Tratando $y$ como constante: $\partial(4x)/\partial x=4$ y $\partial(5y^{3})/\partial x=0$ porque no depende de $x$.
Derivadas Parciales,Derivadas parciales,facil,"Si $f(x,y)=x^{2}y$, entonces $f_y(x,y)=$",$2xy$,$2x$,$x^{2}$,$xy$,C,Derivando respecto a $y$ (con $x$ constante): $\partial(x^{2}y)/\partial y=x^{2}\cdot 1=x^{2}$.
Derivadas Parciales,Derivadas parciales,facil,¿Cuál de las siguientes notaciones NO representa la derivada parcial de $f$ respecto a $x$?,$f_x$,$\dfrac{\partial f}{\partial x}$,$D_x f$,$\dfrac{df}{dx}$,D,"$\dfrac{df}{dx}$ es la notación de derivada total (Leibniz para una variable). Para parciales se usa $\partial$, no $d$."
Derivadas Parciales,Derivadas parciales,facil,"Si $f(x,y,z)=2xyz$, entonces $f_z(x,y,z)=$",$2xy$,$2yz$,$2xz$,$2xyz$,A,"Derivando respecto a $z$ con $x,y$ constantes: $\partial(2xyz)/\partial z=2xy$."
Derivadas Parciales,Derivadas parciales,facil,"Geométricamente, $f_y(a,b)$ es la pendiente de la recta tangente a la curva intersección de $z=f(x,y)$ con el plano:",$y=b$,$x=a$,"$z=f(a,b)$",$x=y$,B,"Fijar $x=a$ deja una curva $z=f(a,y)$ en el plano $x=a$; $f_y(a,b)$ es la pendiente de esa curva en $y=b$."
Derivadas Parciales,Derivadas parciales,medio,"Si $f(x,y)=\sin(xy)$, entonces $f_x(x,y)=$",$\cos(xy)$,$xy\cos(xy)$,$y\cos(xy)$,$x\cos(xy)$,C,Por regla de la cadena: $f_x=\cos(xy)\cdot\partial(xy)/\partial x=\cos(xy)\cdot y=y\cos(xy)$.
Derivadas Parciales,Derivadas parciales,medio,"Si $f(x,y)=\dfrac{x}{y}$ (con $y\ne 0$), entonces $f_y(x,y)=$",$\dfrac{1}{y}$,$-\dfrac{1}{y^{2}}$,$\dfrac{x}{y^{2}}$,$-\dfrac{x}{y^{2}}$,D,Reescribiendo $f=xy^{-1}$ con $x$ constante: $f_y=x\cdot(-1)y^{-2}=-\dfrac{x}{y^{2}}$.
Derivadas Parciales,Derivadas parciales,medio,"Si $f(x,y)=x^{2}\,e^{xy}$, entonces $f_y(x,y)=$","$x^{3}\,e^{xy}$","$2xy\,e^{xy}$","$x^{2}\,e^{xy}$","$y\,e^{xy}$",A,Producto y cadena: $f_y=x^{2}\cdot e^{xy}\cdot\partial(xy)/\partial y=x^{2}\cdot e^{xy}\cdot x=x^{3}e^{xy}$.
Derivadas Parciales,Derivadas parciales,medio,"Si $f(x,y)=\ln(x+y^{2})$, determine $f_x(2,1)$.",$\dfrac{1}{4}$,$\dfrac{1}{3}$,$\dfrac{2}{3}$,$3$,B,"$f_x=\dfrac{1}{x+y^{2}}\cdot 1=\dfrac{1}{x+y^{2}}$. En $(2,1)$: $\dfrac{1}{2+1}=\dfrac{1}{3}$."
