capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Métodos de Integración,Integrales impropias,facil,"Por definición, $\int_{a}^{\infty} f(x)\,dx$ es:","$\int_{a}^{t} f(x)\,dx$ con $t$ muy grande","$\lim_{t\to\infty}\int_{a}^{t} f(x)\,dx$",$f(\infty)-f(a)$,"$\int_{a}^{\infty} f'(x)\,dx$",B,"Una integral impropia con límite superior infinito se define como el límite de la integral propia: $\int_{a}^{\infty} f(x)\,dx=\lim_{t\to\infty}\int_{a}^{t} f(x)\,dx$."
Métodos de Integración,Integrales impropias,facil,¿Cuál de las siguientes integrales NO es impropia?,"$\int_{0}^{1} x^{2}\,dx$","$\int_{0}^{\infty} e^{-x}\,dx$","$\int_{0}^{1}\dfrac{1}{\sqrt{x}}\,dx$","$\int_{-\infty}^{\infty}\dfrac{1}{1+x^{2}}\,dx$",A,"$\int_{0}^{1} x^{2}\,dx$ tiene intervalo finito y un integrando continuo y acotado en $[0,1]$. Las otras tres tienen un límite infinito o un integrando no acotado, por lo que son impropias."
Métodos de Integración,Integrales impropias,facil,"Según el criterio $p$ en $[1,\infty)$, $\int_{1}^{\infty}\dfrac{1}{x^{p}}\,dx$ converge si y solo si:",$p>1$,$p>0$,$p\ge 1$,$p<1$,A,"Para que el área bajo $1/x^{p}$ en $[1,\infty)$ sea finita, el integrando debe decrecer suficientemente rápido. La frontera está en $p=1$: estricta superioridad ($p>1$) implica convergencia."
Métodos de Integración,Integrales impropias,facil,"Según el criterio $p$ en $(0,1]$, $\int_{0}^{1}\dfrac{1}{x^{p}}\,dx$ converge si y solo si:",$p>1$,$p\ge 1$,$p<1$,$p>0$,C,"Cerca de $0$ el integrando $1/x^{p}$ crece a infinito; el área es finita solo si la singularidad es suave, esto es $p<1$. Es la condición opuesta al criterio en $[1,\infty)$."
Métodos de Integración,Integrales impropias,facil,"Para que una integral impropia converja, el límite que la define debe:",Ser igual a infinito,Existir y ser finito,Cambiar de signo,No depender del integrando,B,"Por definición, una integral impropia $\textbf{converge}$ a $L$ si el límite asociado existe y vale $L\in\mathbb{R}$. Si el límite es $\pm\infty$ o no existe, $\textbf{diverge}$."
Métodos de Integración,Integrales impropias,facil,"$\int_{0}^{1}\dfrac{1}{x}\,dx$ es impropia tipo 2 con asíntota en $x=0$. Su definición correcta es:","$\lim_{t\to 0^{+}}\int_{t}^{1}\dfrac{1}{x}\,dx$","$\lim_{t\to\infty}\int_{0}^{t}\dfrac{1}{x}\,dx$","$\int_{0}^{1}\dfrac{1}{x}\,dx$ por Barrow directo","$\lim_{t\to 0^{-}}\int_{0}^{t}\dfrac{1}{x}\,dx$",A,"Cuando el integrando es no acotado en el extremo izquierdo $a=0$, se reemplaza ese extremo por $t\to a^{+}$ y se calcula el límite de la integral propia $\int_{t}^{1} f(x)\,dx$."
Métodos de Integración,Integrales impropias,medio,"Calcula $\int_{1}^{\infty}\dfrac{1}{x^{2}}\,dx$.",$0$,$\infty$,$\dfrac{1}{2}$,$1$,D,"$\int_{1}^{t}\dfrac{1}{x^{2}}\,dx=\left[-\dfrac{1}{x}\right]_{1}^{t}=1-\dfrac{1}{t}\to 1$ cuando $t\to\infty$. Converge a $1$."
Métodos de Integración,Integrales impropias,medio,"Calcula $\int_{0}^{\infty}e^{-x}\,dx$.",$0$,$e$,$1$,Diverge,C,"$\int_{0}^{t}e^{-x}\,dx=1-e^{-t}\to 1$ cuando $t\to\infty$. La integral converge a $1$."
Métodos de Integración,Integrales impropias,medio,"Calcula $\int_{0}^{1}\dfrac{1}{\sqrt{x}}\,dx$.",$1$,Diverge,$\dfrac{1}{2}$,$2$,D,"$\int_{t}^{1} x^{-1/2}\,dx=\left[2\sqrt{x}\right]_{t}^{1}=2-2\sqrt{t}\to 2$ cuando $t\to 0^{+}$. Converge a $2$ (criterio $p$ con $p=1/2<1$)."
Métodos de Integración,Integrales impropias,medio,"Calcula $\int_{1}^{\infty}\dfrac{1}{x^{3}}\,dx$.",$\dfrac{1}{3}$,$1$,$\dfrac{1}{2}$,Diverge,C,"Antiderivada $-\dfrac{1}{2x^{2}}$. Evaluando: $-\dfrac{1}{2t^{2}}+\dfrac{1}{2}\to\dfrac{1}{2}$ cuando $t\to\infty$. (Criterio $p$ con $p=3>1$.)"
