capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Fundamentos,Números reales,facil,¿Cuál de los siguientes números es un número natural?,5,$-3$,"$0,5$",$\sqrt{2}$,A,"Los números naturales son $1, 2, 3, 4, \ldots$ El número $5$ pertenece a este conjunto."
Fundamentos,Números reales,facil,¿A qué conjunto numérico pertenece el número $-7$?,Naturales,Enteros,Irracionales,No es real,B,"El número $-7$ es entero porque pertenece al conjunto $\{\ldots, -2, -1, 0, 1, 2, \ldots\}$."
Fundamentos,Números reales,facil,¿Cuál es el resultado de aplicar la propiedad conmutativa de la suma a $3 + 8$?,$3 \cdot 8$,$(3 + 8) + 0$,$8 + 3$,$8 - 3$,C,"La propiedad conmutativa de la suma establece que $a + b = b + a$, por lo tanto $3 + 8 = 8 + 3$."
Fundamentos,Números reales,facil,El número $\frac{2}{3}$ pertenece al conjunto de los:,Naturales,Enteros,Irracionales,Racionales,D,"$\frac{2}{3}$ es el cociente de dos enteros con denominador distinto de cero, por lo que es racional."
Fundamentos,Números reales,facil,¿Cuál de las siguientes expresiones corresponde a la propiedad distributiva?,$a(b + c) = ab + ac$,$a + b = b + a$,$(a + b) + c = a + (b + c)$,$a \cdot 1 = a$,A,La propiedad distributiva establece que $a(b + c) = ab + ac$.
Fundamentos,Números reales,facil,¿Cuál de los siguientes números es irracional?,$\frac{1}{3}$,$\sqrt{3}$,"$0,5$",$-4$,B,"$\sqrt{3}$ no puede representarse como fracción de enteros, por lo que es un número irracional."
Fundamentos,Números reales,medio,"Si $a = 3$ y $b = 5$, ¿cuál es el valor de $a(b + 2) - ab$?",$10$,$8$,$6$,$15$,C,$a(b + 2) - ab = ab + 2a - ab = 2a = 2(3) = 6$.
Fundamentos,Números reales,medio,¿Cuál de los siguientes números es racional?,$\pi$,$\sqrt{5}$,$\sqrt[3]{2}$,"$0,\overline{6}$",D,"El número $0,\overline{6} = \frac{2}{3}$ es un decimal periódico que se expresa como fracción de enteros."
Fundamentos,Números reales,medio,¿Cuál propiedad justifica que $(2 \cdot 5) \cdot 3 = 2 \cdot (5 \cdot 3)$?,Asociativa de la multiplicación,Conmutativa de la multiplicación,Distributiva,Conmutativa de la suma,A,La propiedad asociativa de la multiplicación establece que $(ab)c = a(bc)$.
Fundamentos,Números reales,medio,El número $\sqrt{16}$ pertenece al conjunto de los:,Irracionales,Naturales,Solo racionales no enteros,No es real,B,"$\sqrt{16} = 4$, que es un número natural."
Fundamentos,Números reales,medio,¿Cuál es el resultado de $5 \cdot (3 + 7) - 5 \cdot 3$?,$50$,$20$,$35$,$15$,C,"Usando la propiedad distributiva: $5(3 + 7) = 5 \cdot 3 + 5 \cdot 7$, luego $5 \cdot 3 + 5 \cdot 7 - 5 \cdot 3 = 5 \cdot 7 = 35$."
Fundamentos,Números reales,medio,¿Cuál de las siguientes afirmaciones es verdadera?,Todo número irracional es entero,Todo número natural es irracional,Todo número entero es natural,Todo número natural es entero,D,"Los naturales $\{1, 2, 3, \ldots\}$ están contenidos en los enteros, por lo tanto todo natural es entero."
Fundamentos,Números reales,medio,"Si se aplica la propiedad distributiva a $3(x + 4)$, se obtiene:",$3x + 12$,$3x + 4$,$x + 12$,$3x + 7$,A,$3(x + 4) = 3 \cdot x + 3 \cdot 4 = 3x + 12$.
Fundamentos,Números reales,medio,¿Cuál de los siguientes conjuntos contiene solamente números racionales?,"$\{1, \sqrt{2}, 3\}$","$\{-2, \frac{1}{4}, 0,75\}$","$\{\pi, 2, 5\}$","$\{0, 1, \sqrt{3}\}$",B,"En $\{-2, \frac{1}{4}, 0,75\}$ todos son racionales: $-2 = \frac{-2}{1}$, $\frac{1}{4}$ y $0,75 = \frac{3}{4}$."
Fundamentos,Números reales,dificil,¿Cuál de las siguientes expresiones es equivalente a $(a + b)(a + b)$ usando propiedades de los reales?,$a^2 + b^2$,$2a + 2b$,$a^2 + 2ab + b^2$,$a^2 - b^2$,C,Aplicando distributiva: $(a+b)(a+b) = a^2 + ab + ba + b^2 = a^2 + 2ab + b^2$.
Fundamentos,Números reales,dificil,"Si $x$ es irracional e $y$ es racional distinto de cero, entonces $x \cdot y$ es:",Siempre racional,Siempre natural,Siempre entero,Siempre irracional,D,"El producto de un irracional por un racional no nulo es siempre irracional, pues si fuera racional, $x = \frac{xy}{y}$ sería racional, lo cual contradice la hipótesis."
Fundamentos,Números reales,dificil,¿Cuál de las siguientes afirmaciones sobre los números reales es FALSA?,La resta de dos irracionales siempre es irracional,La suma de dos racionales siempre es racional,El producto de dos enteros siempre es entero,Todo número natural es real,A,"La resta de irracionales no siempre es irracional. Por ejemplo, $\sqrt{2} - \sqrt{2} = 0$, que es racional."
Fundamentos,Números reales,dificil,El número $\sqrt{2} + \sqrt{8}$ es equivalente a:,$\sqrt{10}$,$3\sqrt{2}$,$2\sqrt{5}$,$4\sqrt{2}$,B,"$\sqrt{8} = \sqrt{4 \cdot 2} = 2\sqrt{2}$, luego $\sqrt{2} + 2\sqrt{2} = 3\sqrt{2}$."
Fundamentos,Números reales,dificil,¿Cuál de los siguientes números NO es un número real?,$-\sqrt{9}$,$\frac{0}{5}$,$\sqrt{-4}$,$\pi - 3$,C,"$\sqrt{-4}$ no está definido en los reales, ya que no existe un real cuyo cuadrado sea negativo."
Fundamentos,Números reales,dificil,La propiedad distributiva permite calcular $5 \cdot 98$ como:,$5(100 + 2) = 510$,$5(90 + 8) = 500$,$5(100 - 2) = 510$,$5(100 - 2) = 490$,D,"$5 \cdot 98 = 5(100 - 2) = 500 - 10 = 490$, aplicando la propiedad distributiva."
Fundamentos,Conjuntos e intervalos,facil,¿Cómo se llama un conjunto que no contiene elementos?,Conjunto vacío,Conjunto universal,Conjunto finito,Conjunto infinito,A,El conjunto vacío no tiene elementos y se denota como $\emptyset$.
Fundamentos,Conjuntos e intervalos,facil,"¿Cuál es la notación para el intervalo que incluye todos los números entre $2$ y $5$, incluyendo ambos extremos?","$(2, 5)$","$[2, 5]$","$[2, 5)$","$(2, 5]$",B,"El intervalo cerrado $[2, 5]$ incluye ambos extremos: $2 \leq x \leq 5$."
Fundamentos,Conjuntos e intervalos,facil,"Si $A = \{1, 2, 3\}$ y $B = \{3, 4, 5\}$, ¿cuál es $A \cap B$?","$\{1, 2, 3, 4, 5\}$","$\{1, 2\}$",$\{3\}$,$\emptyset$,C,La intersección contiene los elementos comunes a ambos conjuntos. El único elemento común es $3$.
Fundamentos,Conjuntos e intervalos,facil,"¿Qué tipo de intervalo es $(3, 7)$?",Cerrado,Semiabierto,Infinito,Abierto,D,"El intervalo $(3, 7)$ es abierto porque no incluye ninguno de sus extremos."
Fundamentos,Conjuntos e intervalos,facil,"Si $A = \{1, 2, 3, 4\}$ y $B = \{2, 4, 6\}$, ¿cuál es $A \cup B$?","$\{1, 2, 3, 4, 6\}$","$\{2, 4\}$","$\{1, 3, 6\}$","$\{1, 2, 3, 4, 5, 6\}$",A,"La unión contiene todos los elementos de $A$ o de $B$: $\{1, 2, 3, 4, 6\}$."
Fundamentos,Conjuntos e intervalos,facil,"El intervalo $[1, +\infty)$ representa:",Todos los reales menores que $1$,Todos los reales mayores o iguales que $1$,Solo el número $1$,Todos los reales positivos,B,"El intervalo $[1, +\infty)$ incluye todos los $x$ tales que $x \geq 1$."
Fundamentos,Conjuntos e intervalos,medio,"Si $A = \{1, 2, 3, 4, 5\}$ y $B = \{3, 4, 5, 6, 7\}$, ¿cuál es $A - B$?","$\{3, 4, 5\}$","$\{6, 7\}$","$\{1, 2\}$","$\{1, 2, 6, 7\}$",C,"La diferencia $A - B$ contiene los elementos de $A$ que no están en $B$: $\{1, 2\}$."
Fundamentos,Conjuntos e intervalos,medio,"¿Cuál descripción corresponde al intervalo $(-\infty, 4]$?",Todos los reales mayores que $4$,Todos los reales entre $0$ y $4$,Todos los reales menores que $4$,Todos los reales menores o iguales que $4$,D,"El intervalo $(-\infty, 4]$ incluye todos los $x$ tales que $x \leq 4$."
Fundamentos,Conjuntos e intervalos,medio,"Si $U = \{1, 2, 3, 4, 5, 6\}$ y $A = \{2, 4, 6\}$, ¿cuál es el complemento de $A$?","$\{1, 3, 5\}$","$\{2, 4, 6\}$",$\emptyset$,$U$,A,"El complemento $A^c$ contiene los elementos de $U$ que no están en $A$: $\{1, 3, 5\}$."
Fundamentos,Conjuntos e intervalos,medio,"¿Cuál es la intersección de los intervalos $[1, 5]$ y $[3, 8]$?","$[1, 8]$","$[3, 5]$","$(3, 5)$","$[1, 3]$",B,"La intersección contiene los valores en ambos intervalos simultáneamente: $[3, 5]$."
Fundamentos,Conjuntos e intervalos,medio,"Si $A = \{x \in \mathbb{R} : 1 < x \leq 4\}$, ¿cuál es su notación de intervalo?","$[1, 4]$","$[1, 4)$","$(1, 4]$","$(1, 4)$",C,"Como $x > 1$ (no incluye $1$) y $x \leq 4$ (incluye $4$), el intervalo es semiabierto: $(1, 4]$."
Fundamentos,Conjuntos e intervalos,medio,"¿Cuál es la unión de los intervalos $(-\infty, 2)$ y $(2, +\infty)$?",$\mathbb{R}$,"$(-\infty, +\infty)$",$\{2\}$,$\mathbb{R} \setminus \{2\}$,D,"La unión incluye todos los reales excepto el $2$, es decir $\mathbb{R} \setminus \{2\}$."
