capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Determinantes,Determinante,facil,Calcule el determinante de $A = \begin{bmatrix} 3 & 5 \\ 1 & 4 \end{bmatrix}$.,$7$,$17$,$-2$,$12$,A,$\det(A) = 3 \cdot 4 - 5 \cdot 1 = 12 - 5 = 7$.
Determinantes,Determinante,facil,¿Cuanto vale $\det\begin{bmatrix} 2 & 0 \\ 0 & 5 \end{bmatrix}$?,$7$,$10$,$0$,$-10$,B,$\det = 2 \cdot 5 - 0 \cdot 0 = 10$.
Determinantes,Determinante,facil,"Sea $A$ una matriz triangular superior de $3 \times 3$ con diagonal $2, -1, 5$. ¿Cuanto vale $\det(A)$?",$6$,$-6$,$-10$,$10$,C,"Para una matriz triangular, $\det(A) = 2 \cdot (-1) \cdot 5 = -10$."
Determinantes,Determinante,facil,Calcule $\det\begin{bmatrix} 1 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & -2 \end{bmatrix}$.,$1$,$-5$,$6$,$-6$,D,Es diagonal: $\det = 1 \cdot 3 \cdot (-2) = -6$.
Determinantes,Determinante,facil,Calcule $\det\begin{bmatrix} -1 & 3 \\ 2 & -4 \end{bmatrix}$.,$-2$,$2$,$-10$,$10$,A,$\det = (-1)(-4) - 3 \cdot 2 = 4 - 6 = -2$.
Determinantes,Determinante,facil,¿Cual es el cofactor $C_{11}$ de $A = \begin{bmatrix} 4 & 7 \\ 2 & 3 \end{bmatrix}$?,$-3$,$3$,$4$,$7$,B,$C_{11} = (-1)^{1+1} \cdot 3 = 3$. El menor $A_{11}$ es la entrada $[3]$.
Determinantes,Determinante,medio,Calcule $\det\begin{bmatrix} 1 & 5 & 0 \\ 2 & 4 & -1 \\ 0 & -2 & 0 \end{bmatrix}$ expandiendo por la columna 3.,$4$,$-4$,$-2$,$2$,C,Solo $a_{23}=-1$ es no nulo en columna 3. $C_{23} = (-1)^{5}\det\begin{bmatrix}1&5\\0&-2\end{bmatrix} = -(-2) = 2$. Luego $\det = (-1)(2) = -2$.
Determinantes,Determinante,medio,"Si $A$ es una matriz $n \times n$ con $\det(A) \neq 0$, ¿cual afirmacion es verdadera?",$A$ es singular,$Ax = b$ tiene infinitas soluciones para todo $b$,$A$ tiene al menos una fila de ceros,$A$ es invertible y $Ax = b$ tiene solucion unica para todo $b$,D,"$\det(A) \neq 0$ implica que $A$ es invertible, por lo que $Ax = b$ tiene solucion unica $x = A^{-1}b$."
Determinantes,Determinante,medio,Calcule el cofactor $C_{21}$ de $A = \begin{bmatrix} 3 & 1 & 2 \\ 0 & -1 & 4 \\ 5 & 2 & -3 \end{bmatrix}$.,$7$,$-7$,$13$,$-13$,A,$C_{21} = (-1)^{3}\det\begin{bmatrix}1&2\\2&-3\end{bmatrix} = -((-3) - 4) = 7$.
Determinantes,Determinante,medio,Sea $A = \begin{bmatrix} 1 & 3 & 0 \\ 0 & 2 & 0 \\ 4 & 1 & 5 \end{bmatrix}$. Calcule $\det(A)$.,$-10$,$10$,$30$,$-30$,B,Expandiendo por la columna 3: $\det = 5 \cdot C_{33} = 5 \cdot \det\begin{bmatrix}1&3\\0&2\end{bmatrix} = 5 \cdot 2 = 10$.
Determinantes,Determinante,medio,Calcule $\det\begin{bmatrix} 2 & 0 & 1 \\ 3 & 1 & 0 \\ -1 & 4 & 2 \end{bmatrix}$.,$13$,$-17$,$17$,$-13$,C,Fila 1: $2(2-0) - 0 + 1(12+1) = 4 + 13 = 17$.
Determinantes,Determinante,medio,¿Que significa geometricamente que $\det(A) = 0$ para una matriz $A$ de $2 \times 2$?,La transformacion duplica el area,La transformacion invierte la orientacion,La transformacion es una rotacion,La transformacion colapsa el plano a una recta o un punto,D,"$\det(A)=0$ significa que el factor de escala del area es cero, colapsando $\mathbb{R}^2$ a un subespacio de menor dimension."
Determinantes,Determinante,medio,"Sea $A = \begin{bmatrix} 5 & 2 \\ -3 & 1 \end{bmatrix}$. Si $B = A^{-1}$, ¿cuanto vale $\det(B)$?",$\frac{1}{11}$,$11$,$-\frac{1}{11}$,$-11$,A,$\det(A) = 5 + 6 = 11$. Luego $\det(A^{-1}) = \frac{1}{11}$.
Determinantes,Determinante,medio,¿Cual es la ventaja de expandir por cofactores a lo largo de una fila con muchos ceros?,El determinante siempre es positivo,Se anulan terminos y se reduce la cantidad de cofactores a calcular,Se elimina el patron de signos alternantes,El resultado es siempre un entero,B,"Cada cero anula su termino en la expansion, reduciendo la cantidad de menores a evaluar."
Determinantes,Determinante,dificil,Calcule $\det\begin{bmatrix} 1 & 5 & 0 \\ 2 & 4 & -1 \\ 0 & -2 & 0 \end{bmatrix}$ expandiendo por la fila 3.,$4$,$2$,$-2$,$-4$,C,Fila 3 tiene dos ceros. Solo $(-2) \cdot C_{32} = (-2)(-1)^{5}\det\begin{bmatrix}1&0\\2&-1\end{bmatrix} = (-2)(-1)(-1) = -2$.
Determinantes,Determinante,dificil,"Sea $A$ una matriz $4 \times 4$ triangular inferior con diagonal $1, -2, 3, 4$. ¿Cuanto vale $\det(A)$?",$6$,$-6$,$48$,$-24$,D,$\det(A) = 1 \cdot (-2) \cdot 3 \cdot 4 = -24$.
