capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Aplicaciones de las Derivadas,Razones relacionadas,facil,"Si $A=\pi r^2$ es el área de un círculo y $r$ depende del tiempo, ¿cuál es $\dfrac{dA}{dt}$?","$2\pi r\,\dfrac{dr}{dt}$","$\pi r^2\,\dfrac{dr}{dt}$","$2\pi\,\dfrac{dr}{dt}$","$\pi r\,\dfrac{dr}{dt}$",A,"Derivando $A=\pi r^2$ respecto a $t$ por la regla de la cadena: $\dfrac{dA}{dt}=2\pi r\,\dfrac{dr}{dt}$."
Aplicaciones de las Derivadas,Razones relacionadas,facil,"En un problema de razones relacionadas, la herramienta principal para derivar una ecuación implícita respecto al tiempo es:",La regla del producto,La regla de la cadena,La regla del cociente,La integración por partes,B,"Al derivar respecto a $t$ expresiones que dependen de otras variables, se aplica la regla de la cadena $\dfrac{d}{dt}f(x)=f'(x)\dfrac{dx}{dt}$."
Aplicaciones de las Derivadas,Razones relacionadas,facil,"Un cuadrado tiene lado $\ell$ que aumenta a razón de $3\,\mathrm{cm/s}$. ¿A qué velocidad crece su área cuando $\ell=4\,\mathrm{cm}$?","$12\,\mathrm{cm^2/s}$","$16\,\mathrm{cm^2/s}$","$24\,\mathrm{cm^2/s}$","$9\,\mathrm{cm^2/s}$",C,"Con $A=\ell^2$, $\dfrac{dA}{dt}=2\ell\dfrac{d\ell}{dt}=2(4)(3)=24\,\mathrm{cm^2/s}$."
Aplicaciones de las Derivadas,Razones relacionadas,facil,"Si $V=\tfrac{4}{3}\pi r^3$ es el volumen de una esfera y $r$ varía con el tiempo, ¿cuál es $\dfrac{dV}{dt}$?","$\dfrac{4}{3}\pi r^2\,\dfrac{dr}{dt}$","$4\pi r^3\,\dfrac{dr}{dt}$","$\dfrac{4}{3}\pi r\,\dfrac{dr}{dt}$","$4\pi r^2\,\dfrac{dr}{dt}$",D,Derivando $V=\tfrac{4}{3}\pi r^3$ respecto a $t$: $\dfrac{dV}{dt}=\tfrac{4}{3}\pi\cdot 3r^2\dfrac{dr}{dt}=4\pi r^2\dfrac{dr}{dt}$.
Aplicaciones de las Derivadas,Razones relacionadas,facil,"En la mayoría de problemas de razones relacionadas, ¿cuál suele ser la variable independiente respecto a la cual se deriva implícitamente?",La longitud,El volumen,El tiempo $t$,El área,C,"Los problemas de razones relacionadas modelan cantidades que cambian respecto al tiempo, por lo que se deriva implícitamente respecto a $t$."
Aplicaciones de las Derivadas,Razones relacionadas,facil,"El perímetro de un círculo es $P=2\pi r$. Si el radio crece a $1\,\mathrm{cm/s}$, ¿cuánto vale $\dfrac{dP}{dt}$?","$\pi\,\mathrm{cm/s}$","$2\pi\,\mathrm{cm/s}$","$2\pi r\,\mathrm{cm/s}$","$\pi r\,\mathrm{cm/s}$",B,"$\dfrac{dP}{dt}=2\pi\dfrac{dr}{dt}=2\pi(1)=2\pi\,\mathrm{cm/s}$, independiente del valor de $r$."
Aplicaciones de las Derivadas,Razones relacionadas,medio,"Un globo esférico se infla de modo que $\dfrac{dV}{dt}=100\,\mathrm{cm^3/s}$. ¿A qué razón crece el radio cuando $r=5\,\mathrm{cm}$?","$\dfrac{1}{\pi}\,\mathrm{cm/s}$","$\dfrac{4}{\pi}\,\mathrm{cm/s}$","$\dfrac{1}{4\pi}\,\mathrm{cm/s}$","$\dfrac{25}{\pi}\,\mathrm{cm/s}$",A,"De $\dfrac{dV}{dt}=4\pi r^2\dfrac{dr}{dt}$ se despeja $\dfrac{dr}{dt}=\dfrac{100}{4\pi(25)}=\dfrac{1}{\pi}\,\mathrm{cm/s}$."
Aplicaciones de las Derivadas,Razones relacionadas,medio,"Una escalera de $10\,\mathrm{m}$ apoyada en una pared resbala y la base se aleja del muro a $1\,\mathrm{m/s}$. ¿A qué velocidad baja el extremo superior cuando la base está a $6\,\mathrm{m}$ de la pared?","$-\dfrac{3}{4}\,\mathrm{m/s}$","$-\dfrac{4}{3}\,\mathrm{m/s}$","$-1\,\mathrm{m/s}$","$-\dfrac{6}{8}\cdot 10\,\mathrm{m/s}$",A,"$x^2+y^2=100$, con $x=6$ se tiene $y=8$. Derivando: $2x\dfrac{dx}{dt}+2y\dfrac{dy}{dt}=0$, luego $\dfrac{dy}{dt}=-\dfrac{6}{8}=-\dfrac{3}{4}\,\mathrm{m/s}$."
Aplicaciones de las Derivadas,Razones relacionadas,medio,"Un depósito cónico invertido tiene radio de base $2\,\mathrm{m}$ y altura $4\,\mathrm{m}$. Si entra agua a $2\,\mathrm{m^3/min}$, ¿con qué rapidez sube el nivel cuando la profundidad es $3\,\mathrm{m}$?","$\dfrac{2}{9\pi}\,\mathrm{m/min}$","$\dfrac{8}{9\pi}\,\mathrm{m/min}$","$\dfrac{9}{8\pi}\,\mathrm{m/min}$","$\dfrac{4}{9\pi}\,\mathrm{m/min}$",B,"Por semejanza $r=h/2$, así $V=\dfrac{\pi h^3}{12}$ y $\dfrac{dV}{dt}=\dfrac{\pi h^2}{4}\dfrac{dh}{dt}$. Con $h=3$: $\dfrac{dh}{dt}=\dfrac{8}{9\pi}\,\mathrm{m/min}$."
Aplicaciones de las Derivadas,Razones relacionadas,medio,"Un niño de $1{,}5\,\mathrm{m}$ camina alejándose de un poste de $6\,\mathrm{m}$ a $2\,\mathrm{m/s}$. ¿A qué velocidad se mueve la punta de su sombra?","$\dfrac{2}{3}\,\mathrm{m/s}$","$\dfrac{4}{3}\,\mathrm{m/s}$","$2\,\mathrm{m/s}$","$\dfrac{8}{3}\,\mathrm{m/s}$",D,"Por semejanza $\dfrac{x+s}{6}=\dfrac{s}{1{,}5}$, de donde $s=\dfrac{x}{3}$. La punta avanza a $\dfrac{d(x+s)}{dt}=2+\dfrac{2}{3}=\dfrac{8}{3}\,\mathrm{m/s}$."
