capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Series y Sucesiones,Integrales impropias,facil,"Determine si la integral impropia $\int_1^{\infty} \frac{1}{x^2}\,dx$ converge o diverge. Si converge, calcule su valor.",Converge a $\frac{1}{2}$,Diverge,Converge a $2$,Converge a $1$,D,La antiderivada de $\frac{1}{x^2}$ es $-\frac{1}{x}$. Evaluando: $\lim_{t\to\infty}\left(-\frac{1}{t}+1\right)=1$.
Series y Sucesiones,Integrales impropias,facil,"La integral $\int_1^{\infty} \frac{1}{x^p}\,dx$ converge si y solo si:",$p > 0$,$p > 1$,$p \ge 1$,$p < 1$,B,Es la p-integral: converge cuando $p>1$ y diverge cuando $p\le 1$.
Series y Sucesiones,Integrales impropias,facil,"Clasifique la integral $\int_0^1 \frac{1}{\sqrt{x}}\,dx$.",Integral impropia de Tipo 1,Integral impropia de Tipo 2,No es impropia,Es divergente,C,"El integrando $\frac{1}{\sqrt{x}}$ tiene discontinuidad en $x=0$, que esta en el intervalo de integracion, por lo que es de Tipo 2. Evaluando: $\lim_{t\to 0^+} 2\sqrt{x}\Big\rvert_t^1 = 2$, converge."
Series y Sucesiones,Integrales impropias,facil,"Calcule $\int_0^1 \frac{1}{\sqrt{x}}\,dx$.",Diverge,$\frac{1}{2}$,$2$,$1$,A,La antiderivada es $2\sqrt{x}$. Evaluando: $\lim_{t\to 0^+}(2\sqrt{1}-2\sqrt{t})=2$.
Series y Sucesiones,Integrales impropias,facil,"¿Cual es la definicion correcta de $\int_a^{\infty} f(x)\,dx$?","$\int_a^{\infty} f(x)\,dx = \infty$","$\lim_{t\to\infty}\int_a^t f(x)\,dx$","$\lim_{t\to a}\int_t^{\infty} f(x)\,dx$","$\int_a^b f(x)\,dx$ con $b$ muy grande",B,"Por definicion, la integral impropia de Tipo 1 se evalua como el limite $\lim_{t\to\infty}\int_a^t f(x)\,dx$."
Series y Sucesiones,Integrales impropias,facil,"Determine si $\int_1^{\infty} \frac{1}{x}\,dx$ converge o diverge.",Converge a $1$,Converge a $\ln(2)$,Diverge,Converge a $0$,C,"$\int_1^t \frac{1}{x}dx = \ln(t)$. Como $\lim_{t\to\infty}\ln(t)=\infty$, la integral diverge."
Series y Sucesiones,Integrales impropias,medio,"Calcule $\int_1^{\infty} \frac{1}{x^3}\,dx$.",$\frac{1}{3}$,$3$,$1$,$\frac{1}{2}$,D,La antiderivada es $-\frac{1}{2x^2}$. Evaluando: $\lim_{t\to\infty}\left(-\frac{1}{2t^2}+\frac{1}{2}\right)=\frac{1}{2}$.
Series y Sucesiones,Integrales impropias,medio,"Calcule $\int_0^{\infty} e^{-2x}\,dx$.",$2$,$-\frac{1}{2}$,$1$,$\frac{1}{2}$,D,La antiderivada es $-\frac{1}{2}e^{-2x}$. Evaluando: $\lim_{t\to\infty}\left(-\frac{1}{2}e^{-2t}+\frac{1}{2}\right)=\frac{1}{2}$.
Series y Sucesiones,Integrales impropias,medio,"Determine si $\int_2^{\infty} \frac{1}{x\ln(x)}\,dx$ converge o diverge.",Converge a $\ln(\ln 2)$,Diverge,Converge a $1$,Converge a $\frac{1}{\ln 2}$,B,"Con la sustitucion $u=\ln(x)$, $\int \frac{du}{u}=\ln(u)=\ln(\ln x)$. Como $\lim_{t\to\infty}\ln(\ln t)=\infty$, diverge."
Series y Sucesiones,Integrales impropias,medio,"Calcule $\int_{-\infty}^{0} e^{3x}\,dx$.",$3$,$-\frac{1}{3}$,$\frac{1}{3}$,Diverge,C,La antiderivada es $\frac{1}{3}e^{3x}$. Evaluando: $\frac{1}{3}e^0 - \lim_{t\to -\infty}\frac{1}{3}e^{3t} = \frac{1}{3}-0=\frac{1}{3}$.
