capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Curvas,Coordenadas polares,facil,El área de la región acotada por $r=f(\theta)\ge 0$ entre los rayos $\theta=\alpha$ y $\theta=\beta$ es:,"$A=\dfrac{1}{2}\int_{\alpha}^{\beta}[f(\theta)]^{2}\,d\theta$","$A=\int_{\alpha}^{\beta}f(\theta)\,d\theta$","$A=\int_{\alpha}^{\beta}[f(\theta)]^{2}\,d\theta$","$A=\dfrac{1}{2}\int_{\alpha}^{\beta}f(\theta)\,d\theta$",A,"Los sectores circulares infinitesimales tienen área $\tfrac{1}{2}r^{2}\,d\theta$. El factor $1/2$ es esencial: distingue un sector de un rectángulo."
Curvas,Coordenadas polares,facil,La curva polar $r=1+\cos\theta$ es:,Una espiral,Una cardioide,Una rosa de cuatro pétalos,Un limaçon con loop interno,B,Es el caso $a=b$ del limaçon $r=a+b\cos\theta$. La curva tiene forma de corazón con máximo $r=2$ en $\theta=0$ y mínimo $r=0$ en $\theta=\pi$.
Curvas,Coordenadas polares,facil,La curva polar $r=a$ (con $a$ constante) representa:,Una recta horizontal,Una espiral,Un círculo de radio $a$ centrado en el origen,Una elipse,C,"$r=a$ significa que todos los puntos están a distancia constante $a$ del origen: es la circunferencia de radio $a$ centrada en $(0,0)$."
Curvas,Coordenadas polares,facil,"El punto polar $(r,\theta)=(2,\pi/2)$ corresponde en cartesianas a:","$(2,0)$","$(0,-2)$","$(\sqrt{2},\sqrt{2})$","$(0,2)$",D,"$x=r\cos\theta=2\cos(\pi/2)=0$ y $y=r\sin\theta=2\sin(\pi/2)=2$, así el punto es $(0,2)$."
Curvas,Coordenadas polares,facil,"Para convertir la ecuación polar $r=2\cos\theta$ a cartesiana, se multiplica por $r$ y se sustituye, obteniendo:","$(x-1)^{2}+y^{2}=1$ (círculo de radio 1 centrado en $(1,0)$)",$y=2x$ (recta),$x^{2}+y^{2}=4$ (círculo de radio 2),$x^{2}+y^{2}=2y$ (otro círculo),A,"Multiplicando: $r^{2}=2r\cos\theta\Rightarrow x^{2}+y^{2}=2x\Rightarrow(x-1)^{2}+y^{2}=1$. Es un círculo de radio $1$ centrado en $(1,0)$ que pasa por el origen."
Curvas,Coordenadas polares,facil,"La fórmula de la longitud de arco para una curva polar $r=f(\theta)$ con $\theta\in[\alpha,\beta]$ es:","$L=\int_{\alpha}^{\beta} r\,d\theta$","$L=\int_{\alpha}^{\beta}\sqrt{r^{2}+(r')^{2}}\,d\theta$","$L=\int_{\alpha}^{\beta}\sqrt{1+(r')^{2}}\,d\theta$","$L=\dfrac{1}{2}\int_{\alpha}^{\beta} r^{2}\,d\theta$",B,"Se obtiene de $L=\int\sqrt{(x')^{2}+(y')^{2}}\,d\theta$ con $x=r\cos\theta,y=r\sin\theta$. Tras simplificar: $(x')^{2}+(y')^{2}=r^{2}+(r')^{2}$."
Curvas,Coordenadas polares,medio,El área dentro del círculo polar $r=a$ (con $a>0$) es:,$\pi a$,$2\pi a$,$\pi a^{2}$,$\dfrac{\pi a^{2}}{2}$,C,"$A=\tfrac{1}{2}\int_{0}^{2\pi} a^{2}\,d\theta=\tfrac{1}{2}a^{2}(2\pi)=\pi a^{2}$. Recupera la fórmula clásica del área del círculo."
Curvas,Coordenadas polares,medio,El área de un pétalo de la rosa $r=\cos(2\theta)$ es:,$\pi$,$\dfrac{\pi}{2}$,$\dfrac{\pi}{4}$,$\dfrac{\pi}{8}$,D,"Un pétalo se traza para $\theta\in[-\pi/4,\pi/4]$. $A=\tfrac{1}{2}\int_{-\pi/4}^{\pi/4}\cos^{2}(2\theta)\,d\theta=\tfrac{1}{4}\int(1+\cos 4\theta)\,d\theta=\dfrac{\pi}{8}$."
Curvas,Coordenadas polares,medio,El área dentro de la cardioide $r=1+\cos\theta$ es:,$\dfrac{3\pi}{2}$,$2\pi$,$\dfrac{\pi}{2}$,$\pi$,A,"$A=\tfrac{1}{2}\int_{0}^{2\pi}(1+\cos\theta)^{2}\,d\theta=\tfrac{1}{2}(2\pi+0+\pi)=\dfrac{3\pi}{2}$, usando $\int_{0}^{2\pi}\cos^{2}\theta\,d\theta=\pi$."
Curvas,Coordenadas polares,medio,La forma cartesiana de $r=2\sin\theta$ es:,$y=2x$,$x^{2}+(y-1)^{2}=1$,$x^{2}+y^{2}=4$,$(x-1)^{2}+y^{2}=1$,B,"Multiplicando por $r$: $r^{2}=2r\sin\theta\Rightarrow x^{2}+y^{2}=2y\Rightarrow x^{2}+(y-1)^{2}=1$. Círculo de radio $1$ centrado en $(0,1)$."
