capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Valores y Vectores Propios,Ecuación característica,facil,"Sea $A = \begin{pmatrix} 3 & -2 \\ 1 & 0 \end{pmatrix}$. Si $\mathbf{v} = \begin{pmatrix} 2 \\ 1 \end{pmatrix}$, ¿cuál es $A\mathbf{v}$?",$\begin{pmatrix} 5 \\ 2 \end{pmatrix}$,$\begin{pmatrix} 4 \\ 3 \end{pmatrix}$,$\begin{pmatrix} 5 \\ 3 \end{pmatrix}$,$\begin{pmatrix} 4 \\ 2 \end{pmatrix}$,D,"$A\mathbf{v} = \begin{pmatrix} 3(2)+(-2)(1) \\ 1(2)+0(1) \end{pmatrix} = \begin{pmatrix} 4 \\ 2 \end{pmatrix}$. Luego $A\mathbf{v} = 2\mathbf{v}$, confirmando que $\mathbf{v}$ es vector propio con $\lambda = 2$."
Valores y Vectores Propios,Ecuación característica,facil,¿Cuál es la ecuación característica de una matriz $A$ de $n \times n$?,$\det(A + \lambda I) = 0$,$\det(A - \lambda I) = 0$,$\det(A) - \lambda = 0$,$\det(A \cdot \lambda I) = 0$,B,"Por definición, la ecuación característica de $A$ es $\det(A - \lambda I) = 0$. Las raíces son los valores propios."
Valores y Vectores Propios,Ecuación característica,facil,Sea $A = \begin{pmatrix} 5 & 0 \\ 0 & -3 \end{pmatrix}$. ¿Cuáles son los valores propios de $A$?,$\lambda = 0$ y $\lambda = 2$,$\lambda = 5$ y $\lambda = 3$,$\lambda = 5$ y $\lambda = -3$,$\lambda = -5$ y $\lambda = 3$,C,"Para una matriz diagonal, los valores propios son las entradas de la diagonal principal: $5$ y $-3$."
Valores y Vectores Propios,Ecuación característica,facil,Sea $A = \begin{pmatrix} 4 & 0 & 0 \\ 0 & -1 & 0 \\ 0 & 0 & 7 \end{pmatrix}$. ¿Cuáles son los valores propios de $A$?,"$4, -1, 7$","$4, 1, 7$","$0, 0, 0$","$-4, 1, -7$",A,"Los valores propios de una matriz diagonal son las entradas de su diagonal principal: $4$, $-1$ y $7$."
Valores y Vectores Propios,Ecuación característica,facil,"Si $\lambda = 0$ es un valor propio de una matriz $A$, ¿qué se puede concluir sobre $A$?",$A$ es la matriz cero,$A$ no es invertible,$A$ es invertible,$A$ es simétrica,B,"Si $\lambda = 0$ es valor propio, $A\mathbf{x} = \mathbf{0}$ tiene solución no trivial, lo que implica que $A$ no es invertible."
Valores y Vectores Propios,Ecuación característica,facil,"Sea $A = \begin{pmatrix} 1 & 6 \\ 5 & 2 \end{pmatrix}$ y $\mathbf{u} = \begin{pmatrix} 6 \\ -5 \end{pmatrix}$. Si $A\mathbf{u} = \begin{pmatrix} -24 \\ 20 \end{pmatrix}$, ¿cuál es el valor propio asociado a $\mathbf{u}$?",$\lambda = 5$,$\lambda = -5$,$\lambda = -4$,$\lambda = 4$,C,$A\mathbf{u} = \begin{pmatrix} -24 \\ 20 \end{pmatrix} = -4\begin{pmatrix} 6 \\ -5 \end{pmatrix} = -4\mathbf{u}$. El valor propio es $\lambda = -4$.
Valores y Vectores Propios,Ecuación característica,medio,Determine los valores propios de $A = \begin{pmatrix} 2 & 3 \\ 3 & -6 \end{pmatrix}$.,$\lambda = 3$ y $\lambda = 7$,$\lambda = -3$ y $\lambda = 7$,$\lambda = -3$ y $\lambda = -7$,$\lambda = 3$ y $\lambda = -7$,D,$\det(A - \lambda I) = (2-\lambda)(-6-\lambda) - 9 = \lambda^2 + 4\lambda - 21 = (\lambda - 3)(\lambda + 7) = 0$.
Valores y Vectores Propios,Ecuación característica,medio,Sea $A = \begin{pmatrix} 1 & 4 \\ 2 & 3 \end{pmatrix}$. ¿Cuál es el polinomio característico de $A$?,$\lambda^2 - 4\lambda + 5$,$\lambda^2 + 4\lambda - 5$,$\lambda^2 - 4\lambda + 3$,$\lambda^2 - 4\lambda - 5$,D,$\det(A - \lambda I) = (1-\lambda)(3-\lambda) - 8 = \lambda^2 - 4\lambda + 3 - 8 = \lambda^2 - 4\lambda - 5$.
Valores y Vectores Propios,Ecuación característica,medio,Sea $A = \begin{pmatrix} 5 & -2 & 6 & -1 \\ 0 & 3 & -8 & 0 \\ 0 & 0 & 5 & 4 \\ 0 & 0 & 0 & 1 \end{pmatrix}$. ¿Cuáles son los valores propios de $A$?,"$\lambda = 5$, $\lambda = 3$, $\lambda = 4$, $\lambda = 1$","$\lambda = 5$ (multiplicidad 2), $\lambda = 3$, $\lambda = 1$","$\lambda = 5$, $\lambda = -2$, $\lambda = 6$, $\lambda = -1$","$\lambda = 5$ (multiplicidad 2), $\lambda = -3$, $\lambda = 1$",B,"Como $A$ es triangular superior, sus valores propios son las entradas de la diagonal: $5, 3, 5, 1$."
Valores y Vectores Propios,Ecuación característica,medio,Sea $A = \begin{pmatrix} 0 & 1 \\ -6 & 5 \end{pmatrix}$. ¿Cuáles son los valores propios de $A$?,$\lambda = 1$ y $\lambda = 6$,$\lambda = -1$ y $\lambda = 6$,$\lambda = 2$ y $\lambda = 3$,$\lambda = -2$ y $\lambda = -3$,C,$\det(A - \lambda I) = -\lambda(5-\lambda) + 6 = \lambda^2 - 5\lambda + 6 = (\lambda - 2)(\lambda - 3) = 0$.
