capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Desigualdades,Axiomas de orden,facil,"¿Cuál de los siguientes NO es un axioma de orden de los números reales?",Tricotomía,Transitividad,Compatibilidad con la suma,Distributividad,D,"Los cuatro axiomas de orden son: O1 tricotomía, O2 transitividad, O3 compatibilidad con la suma y O4 compatibilidad con el producto positivo. La distributividad es un axioma de cuerpo, no de orden."
Desigualdades,Axiomas de orden,facil,"Por la equivalencia fundamental, $a < b$ es equivalente a:",$a + b > 0$,$b - a \in \mathbb{R}^+$,$a - b \in \mathbb{R}^+$,$a \cdot b > 0$,B,"$a < b \iff b - a$ es positivo (pertenece a $\mathbb{R}^+$). Esta equivalencia convierte enunciados de orden en enunciados de positividad."
Desigualdades,Axiomas de orden,facil,"Si $a > 0$ y $b > 0$, ¿qué se puede afirmar sobre $a + b$ y $a \cdot b$?",Ambos están en $\mathbb{R}^+$,Solo $a + b$ está en $\mathbb{R}^+$,Solo $a \cdot b$ está en $\mathbb{R}^+$,Ninguno necesariamente está en $\mathbb{R}^+$,A,"$\mathbb{R}^+$ es **cerrado** bajo suma y producto: si $a, b \in \mathbb{R}^+$, entonces $a+b, a \cdot b \in \mathbb{R}^+$."
Desigualdades,Axiomas de orden,facil,"Para todo $a \in \mathbb{R}$, ¿qué se cumple sobre $a^2$?",$a^2 > 0$ siempre,$a^2 \geq 0$ siempre,$a^2 < 0$ si $a < 0$,$a^2$ puede ser negativo,B,"Por el teorema de los cuadrados, $a^2 \geq 0$ para todo real $a$, con igualdad si y solo si $a = 0$."
Desigualdades,Axiomas de orden,facil,"Si $a < b$ y $c < 0$, ¿qué se cumple?",$ac < bc$,$ac > bc$,$ac = bc$,No se puede afirmar nada,B,"Multiplicar (o dividir) ambos lados de una desigualdad por un número **negativo** invierte el sentido de la desigualdad."
Desigualdades,Axiomas de orden,facil,"Si $a > 0$, ¿cuál es el signo de $a^{-1}$?",Positivo,Negativo,Cero,Depende del valor de $a$,A,"Por el teorema del signo del inverso, si $a > 0$ entonces $a^{-1} > 0$."
Desigualdades,Axiomas de orden,facil,"Por el axioma de tricotomía (O1), para todo $a, b \in \mathbb{R}$:","Se cumple $a = b$ y $a < b$ simultáneamente","Se cumple **una y solo una** de $a = b$, $a < b$, $b < a$","Se cumple $a \leq b$ o $b \leq a$ pero no ambas","Solo se cumple $a < b$ si $a \neq b$",B,"La tricotomía es estricta: para cualquier par de reales se cumple **exactamente una** de las tres relaciones."
Desigualdades,Axiomas de orden,medio,"Sean $a, b > 0$ con $a < b$. ¿Cuál de las siguientes es **falsa**?",$a^2 < b^2$,$\sqrt{a} < \sqrt{b}$,$a^{-1} > b^{-1}$,$-a < -b$,D,"Si $a < b$, multiplicando por $-1 < 0$ se invierte: $-a > -b$. Las tres primeras son verdaderas (cuadrados, raíces, inversos en positivos)."
Desigualdades,Axiomas de orden,medio,"Por la desigualdad de medias (AM-GM), para $a, b > 0$:",$\sqrt{ab} \leq \dfrac{a+b}{2}$,$\sqrt{ab} \geq \dfrac{a+b}{2}$,$\sqrt{ab} = a + b$,$\sqrt{ab} = \dfrac{a-b}{2}$,A,"La desigualdad AM-GM establece que la media geométrica $\sqrt{ab}$ es siempre menor o igual que la media aritmética $\dfrac{a+b}{2}$ para reales positivos."
Desigualdades,Axiomas de orden,medio,"Si $a < b$, entonces el punto medio $\dfrac{a+b}{2}$ satisface:",$\dfrac{a+b}{2} < a$,$\dfrac{a+b}{2} > b$,$a < \dfrac{a+b}{2} < b$,$\dfrac{a+b}{2} = a$,C,"El punto medio entre $a$ y $b$ está estrictamente entre ambos, lo cual se prueba sumando $a$ y $b$ a la desigualdad original."
