capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Integrales Múltiples,Integrales dobles,facil,"Calcule la integral iterada $\int_0^1 \int_0^2 (x + y)\, dy\, dx$.",4,2,3,1,C,"Integrando primero en $y$: $\int_0^2 (x+y)\,dy = 2x+2$. Luego $\int_0^1 (2x+2)\,dx = 1+2 = 3$."
Integrales Múltiples,Integrales dobles,facil,"Evalúe $\int_0^2 \int_0^1 3x^2 y\, dx\, dy$.",1,4,3,2,D,"Integral interna: $\int_0^1 3x^2 y\,dx = y$. Luego $\int_0^2 y\,dy = 2$."
Integrales Múltiples,Integrales dobles,facil,"Calcule $\int_1^2 \int_0^3 2\, dy\, dx$.",3,2,6,12,C,"Integral interna: $\int_0^3 2\,dy = 6$. Luego $\int_1^2 6\,dx = 6$."
Integrales Múltiples,Integrales dobles,facil,"Evalúe $\int_0^1 \int_0^1 xy\, dx\, dy$.",$\frac{1}{2}$,$\frac{1}{3}$,$1$,$\frac{1}{4}$,D,"$\int_0^1 xy\,dx = \frac{y}{2}$. Luego $\int_0^1 \frac{y}{2}\,dy = \frac{1}{4}$."
Integrales Múltiples,Integrales dobles,facil,"Si $f(x,y) = 4$ en el rectangulo $R = [0,2]\times[0,3]$, entonces $\iint_R f(x,y)\,dA$ vale:",12,6,8,24,D,"$\iint_R 4\,dA = 4 \cdot \text{area}(R) = 4 \cdot 6 = 24$."
Integrales Múltiples,Integrales dobles,facil,"Calcule $\int_0^{\pi} \int_0^1 \operatorname{sen}(x)\, dy\, dx$.",$1$,$\pi$,$2$,$0$,C,"Integral interna: $\int_0^1 \operatorname{sen}(x)\,dy = \operatorname{sen}(x)$. Luego $\int_0^{\pi} \operatorname{sen}(x)\,dx = 2$."
Integrales Múltiples,Integrales dobles,medio,"Evalúe $\int_0^3 \int_1^2 x^2 y\, dy\, dx$.",$18$,$9$,$\frac{27}{4}$,$\frac{27}{2}$,D,"Integral interna: $\int_1^2 x^2 y\,dy = \frac{3}{2}x^2$. Luego $\int_0^3 \frac{3}{2}x^2\,dx = \frac{3}{2}\cdot 9 = \frac{27}{2}$."
Integrales Múltiples,Integrales dobles,medio,"Calcule $\iint_R \operatorname{sen}(x)\cos(y)\,dA$ donde $R = [0, \frac{\pi}{2}]\times[0, \frac{\pi}{2}]$.",$0$,$1$,$\frac{\pi}{4}$,$\frac{1}{2}$,B,"Por separacion de variables: $\int_0^{\pi/2}\operatorname{sen}(x)\,dx \cdot \int_0^{\pi/2}\cos(y)\,dy = 1 \cdot 1 = 1$."
Integrales Múltiples,Integrales dobles,medio,"Evalúe $\int_0^1 \int_0^2 (x^2 + y^2)\, dy\, dx$.",$\frac{10}{3}$,$\frac{8}{3}$,$4$,$\frac{14}{3}$,A,"Integral interna: $\int_0^2 (x^2+y^2)\,dy = 2x^2 + \frac{8}{3}$. Luego $\int_0^1 (2x^2+\frac{8}{3})\,dx = \frac{2}{3}+\frac{8}{3} = \frac{10}{3}$."
Integrales Múltiples,Integrales dobles,medio,"Calcule el valor promedio de $f(x,y) = xy$ en $R = [0,2]\times[0,4]$.",$\frac{8}{3}$,$2$,$4$,$\frac{16}{3}$,B,"$\iint_R xy\,dA = \int_0^2 x\,dx \cdot \int_0^4 y\,dy = 2 \cdot 8 = 16$. Valor promedio = $\frac{16}{8} = 2$."
