capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Álgebra de Matrices,Operaciones de matrices,facil,Sea $A = \begin{pmatrix} 2 & -1 & 0 \\ 3 & 4 & 5 \end{pmatrix}$. ¿Cual es el tamano de $A$?,$2 \times 3$,$3 \times 2$,$2 \times 2$,$3 \times 3$,A,"$A$ tiene 2 filas y 3 columnas, luego su tamano es $2 \times 3$."
Álgebra de Matrices,Operaciones de matrices,facil,Sea $A = \begin{pmatrix} 2 & -1 & 0 \\ 3 & 4 & 5 \end{pmatrix}$. ¿Cual es la entrada $a_{23}$?,$0$,$5$,$4$,$-1$,B,La entrada de la fila 2 y columna 3 es $5$.
Álgebra de Matrices,Operaciones de matrices,facil,¿Cual de las siguientes matrices es la identidad $I_3$?,$\begin{pmatrix} 1 & 1 & 1 \\ 1 & 1 & 1 \\ 1 & 1 & 1 \end{pmatrix}$,$\begin{pmatrix} 0 & 0 & 0 \\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{pmatrix}$,$\begin{pmatrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{pmatrix}$,$\begin{pmatrix} 3 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 3 \end{pmatrix}$,C,La identidad $I_3$ tiene unos en la diagonal principal y ceros en las demas entradas.
Álgebra de Matrices,Operaciones de matrices,facil,"Si $A = \begin{pmatrix} 1 & -2 \\ 3 & 4 \end{pmatrix}$, ¿cual es $2A$?",$\begin{pmatrix} 2 & -2 \\ 3 & 8 \end{pmatrix}$,$\begin{pmatrix} 3 & 0 \\ 5 & 6 \end{pmatrix}$,$\begin{pmatrix} 1 & -4 \\ 6 & 4 \end{pmatrix}$,$\begin{pmatrix} 2 & -4 \\ 6 & 8 \end{pmatrix}$,D,Se multiplica cada entrada por $2$: $2A = \begin{pmatrix} 2 & -4 \\ 6 & 8 \end{pmatrix}$.
Álgebra de Matrices,Operaciones de matrices,facil,Sean $A = \begin{pmatrix} 4 & 0 & 5 \\ -1 & 3 & 2 \end{pmatrix}$ y $B = \begin{pmatrix} 1 & 1 & 1 \\ 3 & 5 & 7 \end{pmatrix}$. ¿Cual es $A + B$?,$\begin{pmatrix} 5 & 1 & 6 \\ 2 & 8 & 9 \end{pmatrix}$,$\begin{pmatrix} 5 & 1 & 6 \\ 2 & 8 & 5 \end{pmatrix}$,$\begin{pmatrix} 3 & 1 & 6 \\ 2 & 8 & 9 \end{pmatrix}$,$\begin{pmatrix} 5 & -1 & 6 \\ 2 & 8 & 9 \end{pmatrix}$,A,Se suma entrada a entrada: $A + B = \begin{pmatrix} 5 & 1 & 6 \\ 2 & 8 & 9 \end{pmatrix}$.
Álgebra de Matrices,Operaciones de matrices,facil,Sea $A = \begin{pmatrix} 1 & 0 & -2 \\ 4 & 3 & 1 \end{pmatrix}$. ¿Cual es el tamano de $A^T$?,$2 \times 2$,$3 \times 2$,$2 \times 3$,$3 \times 3$,B,"Si $A$ es $2 \times 3$, entonces $A^T$ es $3 \times 2$."
Álgebra de Matrices,Operaciones de matrices,medio,"Sean $A = \begin{pmatrix} 2 & 3 \\ 1 & -5 \end{pmatrix}$ y $B = \begin{pmatrix} 4 & 3 & 6 \\ 1 & -2 & 3 \end{pmatrix}$. ¿Cual es la entrada $(1,3)$ de $AB$?",$15$,$3$,$21$,$-3$,C,$(AB)_{13} = 2 \cdot 6 + 3 \cdot 3 = 12 + 9 = 21$.
Álgebra de Matrices,Operaciones de matrices,medio,Sea $A \in \mathbb{R}^{3 \times 4}$ y $B \in \mathbb{R}^{4 \times 2}$. ¿Cual es el tamano de $AB$?,$4 \times 4$,$4 \times 2$,$3 \times 4$,$3 \times 2$,D,"Si $A$ es $3 \times 4$ y $B$ es $4 \times 2$, entonces $AB$ es $3 \times 2$."
Álgebra de Matrices,Operaciones de matrices,medio,Sean $A = \begin{pmatrix} 1 & 2 \\ 0 & 1 \end{pmatrix}$ y $B = \begin{pmatrix} 2 & 0 \\ 0 & 3 \end{pmatrix}$. ¿Cual es $AB$?,$\begin{pmatrix} 2 & 2 \\ 0 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 0 \\ 0 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 6 \\ 0 & 3 \end{pmatrix}$,$\begin{pmatrix} 2 & 4 \\ 0 & 3 \end{pmatrix}$,C,$AB = \begin{pmatrix} 2+0 & 0+6 \\ 0 & 3 \end{pmatrix} = \begin{pmatrix} 2 & 6 \\ 0 & 3 \end{pmatrix}$.
Álgebra de Matrices,Operaciones de matrices,medio,¿Cual de las siguientes propiedades es verdadera para matrices de tamano compatible?,$AB = BA$ siempre,"Si $AB = AC$, entonces $B = C$",$(AB)^T = B^T A^T$,$(AB)^T = A^T B^T$,C,La transpuesta del producto invierte el orden: $(AB)^T = B^T A^T$.
Álgebra de Matrices,Operaciones de matrices,medio,"Sea $D = \mathrm{diag}(2, -1, 3)$. ¿Cual es $D^2$?","$\mathrm{diag}(4, 1, 9)$","$\mathrm{diag}(4, -2, 6)$","$\mathrm{diag}(2, 1, 9)$","$\mathrm{diag}(4, -1, 9)$",A,"Para diagonal, $D^2 = \mathrm{diag}(2^2, (-1)^2, 3^2) = \mathrm{diag}(4, 1, 9)$."
Álgebra de Matrices,Operaciones de matrices,medio,"Sean $A = \begin{pmatrix} 4 & 0 & 5 \\ -1 & 3 & 2 \end{pmatrix}$ y $B = \begin{pmatrix} 1 & 1 & 1 \\ 3 & 5 & 7 \end{pmatrix}$. Calcule la entrada $(2,3)$ de $A - 2B$.",$-10$,$3$,$-14$,$-12$,D,$(A - 2B)_{23} = 2 - 2(7) = 2 - 14 = -12$.
Álgebra de Matrices,Operaciones de matrices,medio,"Sea $A = \begin{pmatrix} 2 & -5 & 0 \\ -1 & 3 & -4 \end{pmatrix}$ y $B = \begin{pmatrix} 4 & -6 \\ 7 & 1 \\ 3 & 2 \end{pmatrix}$. ¿Cual es la entrada $(2,1)$ de $AB$?",$-1$,$5$,$17$,$-7$,B,$(AB)_{21} = (-1)(4) + (3)(7) + (-4)(3) = -4 + 21 - 12 = 5$.
