capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Límites,Introducción,facil,¿Qué representa intuitivamente $\lim_{x\to a} f(x) = L$?,El valor al que se aproxima $f(x)$ cuando $x$ se acerca a $a$,El valor exacto de $f(a)$,La pendiente de $f$ en $a$,El área bajo $f$ desde $0$ hasta $a$,A,"Por la definición intuitiva, el límite describe el valor al que se aproxima $f(x)$ cuando $x$ se acerca a $a$, sin importar el valor de $f$ en $a$."
Límites,Introducción,facil,"Una tabla muestra que $f(0{,}999)=1{,}999$ y $f(1{,}001)=2{,}001$. ¿A qué valor se aproxima $f(x)$ cuando $x\to 1$?",$0$,$1$,$2$,$3$,C,"Los valores de $f(x)$ se acercan a $2$ por ambos lados, por lo que $\lim_{x\to 1} f(x) = 2$."
Límites,Introducción,facil,Calcule $\lim_{x\to 0} \dfrac{\sin x}{x}$.,$0$,$1$,$\infty$,No existe,B,Es un límite notable: $\lim_{x\to 0} \dfrac{\sin x}{x} = 1$.
Límites,Introducción,facil,Calcule $\lim_{x\to 0} \dfrac{1-\cos x}{x}$.,$1$,$-1$,$0$,$\infty$,C,Es un límite notable: $\lim_{x\to 0} \dfrac{1-\cos x}{x} = 0$.
Límites,Introducción,facil,Calcule $\lim_{x\to \infty} \left(1+\dfrac{1}{x}\right)^{x}$.,$1$,$0$,$\infty$,$e$,D,Es el límite notable que define el número de Euler: $\lim_{x\to\infty}(1+1/x)^{x} = e$.
Límites,Introducción,facil,Calcule $\lim_{x\to 0} \dfrac{1}{x^2}$.,$\infty$,$0$,$-\infty$,$1$,A,"Como $x^2>0$ para todo $x\neq 0$ y $x^2\to 0$, el cociente $1/x^2$ crece sin cota: el límite es $+\infty$."
Límites,Introducción,medio,Sea $f(x)=x+1$ si $x<2$ y $f(x)=x^2-2$ si $x>2$. ¿Existe $\lim_{x\to 2} f(x)$?,"Sí, vale $3$","Sí, vale $2$","No, porque los límites laterales son distintos","No, porque $f(2)$ no está definida",C,"$\lim_{x\to 2^-} f(x) = 3$ y $\lim_{x\to 2^+} f(x) = 2$. Al diferir los laterales, el límite no existe."
Límites,Introducción,medio,Calcule $\lim_{t\to 0} \dfrac{\sqrt{t^2+9}-3}{t^2}$.,$\dfrac{1}{6}$,$\dfrac{1}{3}$,$0$,$\dfrac{1}{2}$,A,Racionalizando: $\dfrac{t^2}{t^2(\sqrt{t^2+9}+3)}=\dfrac{1}{\sqrt{t^2+9}+3}$. En $t=0$: $1/6$.
Límites,Introducción,medio,Calcule $\lim_{x\to 0^+} \dfrac{1}{x}$.,$0$,$-\infty$,$1$,$+\infty$,D,"Al acercarse a $0$ por la derecha, $x>0$ y $x\to 0$, por lo que $1/x\to +\infty$."
Límites,Introducción,medio,Calcule $\lim_{x\to 1} \dfrac{x^2-1}{x-1}$.,$0$,$1$,$2$,No existe,C,"Factorizando: $\dfrac{(x-1)(x+1)}{x-1}=x+1$, válido para $x\neq 1$. Evaluando: $1+1=2$."
